,PSKY
2015-01-02,54.790000915527344
2015-01-05,54.2599983215332
2015-01-06,53.189998626708984
2015-01-07,53.11000061035156
2015-01-08,53.7400016784668
2015-01-09,54.560001373291016
2015-01-12,54.849998474121094
2015-01-13,55.599998474121094
2015-01-14,54.470001220703125
2015-01-15,53.54999923706055
2015-01-16,55.560001373291016
2015-01-20,55.470001220703125
2015-01-21,56.189998626708984
2015-01-22,56.72999954223633
2015-01-23,55.880001068115234
2015-01-26,57.060001373291016
2015-01-27,57.08000183105469
2015-01-28,56.290000915527344
2015-01-29,55.720001220703125
2015-01-30,54.810001373291016
2015-02-02,55.369998931884766
2015-02-03,56.91999816894531
2015-02-04,56.7400016784668
2015-02-05,56.0
2015-02-06,56.7400016784668
2015-02-09,56.7599983215332
2015-02-10,57.0
2015-02-11,56.75
2015-02-12,57.77000045776367
2015-02-13,59.83000183105469
2015-02-17,60.20000076293945
2015-02-18,59.810001373291016
2015-02-19,59.540000915527344
2015-02-20,59.5
2015-02-23,59.66999816894531
2015-02-24,59.400001525878906
2015-02-25,59.779998779296875
2015-02-26,59.13999938964844
2015-02-27,59.099998474121094
2015-03-02,61.75
2015-03-03,62.79999923706055
2015-03-04,62.459999084472656
2015-03-05,61.54999923706055
2015-03-06,60.59000015258789
2015-03-09,60.5099983215332
2015-03-10,59.43000030517578
2015-03-11,59.59000015258789
2015-03-12,61.650001525878906
2015-03-13,60.93000030517578
2015-03-16,62.08000183105469
2015-03-17,61.77000045776367
2015-03-18,63.11000061035156
2015-03-19,62.630001068115234
2015-03-20,63.349998474121094
2015-03-23,62.68000030517578
2015-03-24,62.380001068115234
2015-03-25,61.5099983215332
2015-03-26,61.0
2015-03-27,61.209999084472656
2015-03-30,61.869998931884766
2015-03-31,60.630001068115234
2015-04-01,59.619998931884766
2015-04-02,61.15999984741211
2015-04-06,60.88999938964844
2015-04-07,60.880001068115234
2015-04-08,61.27000045776367
2015-04-09,61.20000076293945
2015-04-10,61.599998474121094
2015-04-13,61.31999969482422
2015-04-14,61.5
2015-04-15,61.65999984741211
2015-04-16,61.779998779296875
2015-04-17,60.68000030517578
2015-04-20,61.20000076293945
2015-04-21,61.47999954223633
2015-04-22,61.56999969482422
2015-04-23,61.630001068115234
2015-04-24,62.720001220703125
2015-04-27,61.70000076293945
2015-04-28,61.599998474121094
2015-04-29,62.77000045776367
2015-04-30,62.130001068115234
2015-05-01,62.630001068115234
2015-05-04,62.619998931884766
2015-05-05,61.77000045776367
2015-05-06,61.119998931884766
2015-05-07,61.220001220703125
2015-05-08,60.81999969482422
2015-05-11,59.66999816894531
2015-05-12,59.720001220703125
2015-05-13,59.720001220703125
2015-05-14,59.63999938964844
2015-05-15,59.95000076293945
2015-05-18,60.779998779296875
2015-05-19,60.70000076293945
2015-05-20,61.08000183105469
2015-05-21,61.810001373291016
2015-05-22,61.59000015258789
2015-05-26,60.68000030517578
2015-05-27,62.650001525878906
2015-05-28,62.029998779296875
2015-05-29,61.720001220703125
2015-06-01,61.5
2015-06-02,61.650001525878906
2015-06-03,62.220001220703125
2015-06-04,61.7400016784668
2015-06-05,61.33000183105469
2015-06-08,60.279998779296875
2015-06-09,59.849998474121094
2015-06-10,59.4900016784668
2015-06-11,58.77000045776367
2015-06-12,58.4900016784668
2015-06-15,58.13999938964844
2015-06-16,57.689998626708984
2015-06-17,58.0
2015-06-18,58.5099983215332
2015-06-19,58.060001373291016
2015-06-22,58.34000015258789
2015-06-23,58.09000015258789
2015-06-24,56.77000045776367
2015-06-25,57.130001068115234
2015-06-26,57.0
2015-06-29,55.33000183105469
2015-06-30,55.5
2015-07-01,55.93000030517578
2015-07-02,55.52000045776367
2015-07-06,54.88999938964844
2015-07-07,55.58000183105469
2015-07-08,54.279998779296875
2015-07-09,54.25
2015-07-10,54.849998474121094
2015-07-13,55.540000915527344
2015-07-14,55.400001525878906
2015-07-15,55.369998931884766
2015-07-16,55.45000076293945
2015-07-17,54.70000076293945
2015-07-20,54.09000015258789
2015-07-21,54.099998474121094
2015-07-22,54.130001068115234
2015-07-23,53.75
2015-07-24,53.040000915527344
2015-07-27,52.66999816894531
2015-07-28,52.75
2015-07-29,52.61000061035156
2015-07-30,53.20000076293945
2015-07-31,53.470001220703125
2015-08-03,53.029998779296875
2015-08-04,52.86000061035156
2015-08-05,50.41999816894531
2015-08-06,52.2400016784668
2015-08-07,50.34000015258789
2015-08-10,51.18000030517578
2015-08-11,50.290000915527344
2015-08-12,50.16999816894531
2015-08-13,50.04999923706055
2015-08-14,49.220001220703125
2015-08-17,50.029998779296875
2015-08-18,49.349998474121094
2015-08-19,48.52000045776367
2015-08-20,46.029998779296875
2015-08-21,45.09000015258789
2015-08-24,43.95000076293945
2015-08-25,43.27000045776367
2015-08-26,44.349998474121094
2015-08-27,45.2599983215332
2015-08-28,45.790000915527344
2015-08-31,45.2400016784668
2015-09-01,43.790000915527344
2015-09-02,44.290000915527344
