,J
2015-07-10,33.210086822509766
2015-07-13,33.77254867553711
2015-07-14,34.161312103271484
2015-07-15,33.2431755065918
2015-07-16,33.45823287963867
2015-07-17,33.06947326660156
2015-07-20,33.29280471801758
2015-07-21,33.73119354248047
2015-07-22,33.71464920043945
2015-07-23,33.325889587402344
2015-07-24,32.722068786621094
2015-07-27,32.75515365600586
2015-07-28,34.4838981628418
2015-07-29,35.31105041503906
2015-07-30,35.49302291870117
2015-07-31,34.83957290649414
2015-08-03,35.195247650146484
2015-08-04,35.08771896362305
2015-08-05,35.26142120361328
2015-08-06,35.97277069091797
2015-08-07,35.75770950317383
2015-08-10,36.890907287597656
2015-08-11,36.67584609985352
2015-08-12,36.52696228027344
2015-08-13,36.22091674804688
2015-08-14,36.52696228027344
2015-08-17,36.34498977661133
2015-08-18,35.86524200439453
2015-08-19,35.60055160522461
2015-08-20,34.53352737426758
2015-08-21,33.342430114746094
2015-08-24,31.646774291992188
2015-08-25,30.64592170715332
2015-08-26,31.09258270263672
2015-08-27,32.589725494384766
2015-08-28,33.05292892456055
2015-08-31,33.425148010253906
2015-09-01,32.6558952331543
2015-09-02,33.06119918823242
2015-09-03,33.367244720458984
2015-09-04,32.614540100097656
2015-09-08,33.143917083740234
2015-09-09,32.912315368652344
2015-09-10,32.953670501708984
2015-09-11,33.2431755065918
2015-09-14,32.46565246582031
2015-09-15,32.424293518066406
2015-09-16,32.48219680786133
2015-09-17,32.424293518066406
2015-09-18,31.340728759765625
2015-09-21,31.415172576904297
2015-09-22,30.94369506835937
2015-09-23,30.604564666748047
2015-09-24,30.894067764282227
2015-09-25,30.9023380279541
2015-09-28,30.315061569213867
2015-09-29,30.860980987548828
2015-09-30,30.96023941040039
2015-10-01,30.40604782104492
2015-10-02,30.9354248046875
2015-10-05,32.53182601928711
2015-10-06,32.88750076293945
2015-10-07,33.40860366821289
2015-10-08,34.12822341918945
2015-10-09,34.202667236328125
2015-10-12,33.838722229003906
2015-10-13,33.813907623291016
2015-10-14,33.62366485595703
2015-10-15,33.557491302490234
2015-10-16,32.52355194091797
2015-10-19,32.31676483154297
2015-10-20,32.540096282958984
2015-10-21,32.200965881347656
2015-10-22,32.407752990722656
2015-10-23,32.87922668457031
2015-10-26,32.81305694580078
2015-10-27,31.32418441772461
2015-10-28,32.167877197265625
2015-10-29,32.29195022583008
2015-10-30,33.20181655883789
2015-11-02,34.1116828918457
2015-11-03,34.40118408203125
2015-11-04,34.384639739990234
2015-11-05,34.60797119140625
2015-11-06,34.08686828613281
2015-11-09,33.995880126953125
2015-11-10,34.32674026489258
2015-11-11,34.368099212646484
2015-11-12,33.441688537597656
2015-11-13,33.68156433105469
2015-11-16,34.29365539550781
2015-11-17,33.85526657104492
2015-11-18,34.599700927734375
2015-11-19,35.3524055480957
2015-11-20,35.05463409423828
2015-11-23,36.014129638671875
2015-11-24,36.36980056762695
2015-11-25,35.774253845214844
2015-11-27,35.95622634887695
2015-11-30,36.51041793823242
2015-12-01,37.18868255615234
2015-12-02,36.51041793823242
2015-12-03,36.99843597412109
2015-12-04,36.890907287597656
2015-12-07,36.3119010925293
2015-12-08,35.58401107788086
2015-12-09,35.377220153808594
2015-12-10,35.360679626464844
2015-12-11,34.63278579711914
2015-12-14,34.49217224121094
2015-12-15,34.86438751220703
2015-12-16,35.2117919921875
2015-12-17,34.409454345703125
2015-12-18,33.73119354248047
2015-12-21,33.8635368347168
2015-12-22,34.72377395629883
2015-12-23,35.86524200439453
2015-12-24,35.81561279296875
2015-12-28,35.29450607299805
2015-12-29,35.6253662109375
2015-12-30,35.08771896362305
2015-12-31,34.69895935058594
2016-01-04,34.67414474487305
2016-01-05,34.186126708984375
2016-01-06,33.52440643310547
2016-01-07,32.62281036376953
2016-01-08,32.05207824707031
2016-01-11,31.762575149536133
2016-01-12,32.308494567871094
2016-01-13,31.63850212097168
2016-01-14,31.74603271484375
2016-01-15,31.133939743041992
2016-01-19,30.14135932922364
2016-01-20,30.422590255737305
2016-01-21,30.290246963500977
2016-01-22,30.94369506835937
2016-01-25,30.37296295166016
2016-01-26,30.98505210876465
2016-01-27,30.98505210876465
2016-01-28,31.20011138916016
2016-01-29,32.4491081237793
2016-02-01,32.36639404296875
2016-02-02,31.97763442993164
2016-02-03,30.894067764282227
2016-02-04,30.9354248046875
2016-02-05,30.64592170715332
2016-02-08,29.537540435791016
2016-02-09,29.36383819580078
2016-02-10,29.28112411499023
2016-02-11,28.99989128112793
2016-02-12,29.84358596801757
2016-02-16,30.77826690673828
2016-02-17,31.787389755249023
2016-02-18,31.43171501159668
2016-02-19,31.42344284057617
2016-02-22,31.95281982421875
2016-02-23,31.621959686279297
2016-02-24,31.853561401367188
2016-02-25,31.82047462463379
2016-02-26,32.143062591552734
2016-02-29,31.969362258911133
2016-03-01,32.80478286743164
2016-03-02,33.06947326660156
2016-03-03,33.56576156616211
2016-03-04,33.68983459472656
2016-03-07,34.53352737426758
2016-03-08,33.71464920043945
2016-03-09,33.70637893676758
2016-03-10,33.582305908203125
2016-03-11,34.53352737426758
2016-03-14,34.3184700012207
2016-03-15,34.210941314697266
2016-03-16,35.05463409423828
2016-03-17,36.27881622314453
2016-03-18,36.46078872680664
2016-03-21,36.51041793823242
2016-03-22,36.88263702392578
2016-03-23,36.11338424682617
2016-03-24,35.79079818725586
2016-03-28,35.58401107788086
2016-03-29,36.005855560302734
2016-03-30,36.20437240600586
2016-03-31,36.02239990234375
2016-04-01,36.196102142333984
2016-04-04,35.60055160522461
2016-04-05,35.09598922729492
2016-04-06,34.97191619873047
2016-04-07,33.9048957824707
2016-04-08,34.07859420776367
2016-04-11,34.30192565917969
2016-04-12,34.574886322021484
2016-04-13,35.52610778808594
2016-04-14,35.05463409423828
2016-04-15,34.87266159057617
2016-04-18,35.23660659790039
2016-04-19,35.53438186645508
2016-04-20,35.88178253173828
2016-04-21,35.88178253173828
2016-04-22,36.20437240600586
2016-04-25,36.07202911376953
2016-04-26,36.70893478393555
2016-04-27,37.1804084777832
2016-04-28,36.80819320678711
2016-04-29,36.87436294555664
2016-05-02,37.12250900268555
2016-05-03,37.279666900634766
2016-05-04,36.7668342590332
2016-05-05,38.53693771362305
2016-05-06,40.240867614746094
2016-05-09,40.728885650634766
2016-05-10,41.71319580078125
2016-05-11,41.41542053222656
2016-05-12,41.20035934448242
2016-05-13,40.64617156982422
2016-05-16,41.4567756652832
2016-05-17,40.7950553894043
2016-05-18,40.86122894287109
2016-05-19,40.46419525146485
2016-05-20,40.71234130859375
2016-05-23,40.23259353637695
2016-05-24,40.53036880493164
2016-05-25,41.374061584472656
2016-05-26,41.374061584472656
2016-05-27,41.481590270996094
2016-05-31,41.928253173828125
2016-06-01,42.085411071777344
2016-06-02,42.0026969909668
2016-06-03,42.598243713378906
2016-06-06,42.97873306274414
2016-06-07,42.82157516479492
2016-06-08,43.516380310058594
2016-06-09,43.43366622924805
2016-06-10,42.64787292480469
2016-06-13,41.96133804321289
2016-06-14,42.20121383666992
2016-06-15,42.2094841003418
2016-06-16,42.159854888916016
2016-06-17,42.38318634033203
2016-06-20,43.33440780639648
2016-06-21,43.17724990844727
2016-06-22,43.27650833129883
2016-06-23,43.92168426513672
2016-06-24,41.08456039428711
2016-06-27,39.41371536254883
2016-06-28,39.58741760253906
2016-06-29,40.32358169555664
