,EVRG
2015-01-02,41.16999816894531
2015-01-05,40.83000183105469
2015-01-06,40.709999084472656
2015-01-07,41.400001525878906
2015-01-08,41.77000045776367
2015-01-09,41.16999816894531
2015-01-12,40.68999862670898
2015-01-13,41.290000915527344
2015-01-14,41.77000045776367
2015-01-15,41.77999877929688
2015-01-16,42.209999084472656
2015-01-20,42.66999816894531
2015-01-21,43.400001525878906
2015-01-22,43.540000915527344
2015-01-23,43.4900016784668
2015-01-26,43.5099983215332
2015-01-27,43.47999954223633
2015-01-28,43.18999862670898
2015-01-29,43.959999084472656
2015-01-30,42.720001220703125
2015-02-02,42.52999877929688
2015-02-03,42.84999847412109
2015-02-04,42.56999969482422
2015-02-05,43.15999984741211
2015-02-06,41.119998931884766
2015-02-09,40.43999862670898
2015-02-10,41.04999923706055
2015-02-11,40.43000030517578
2015-02-12,40.18999862670898
2015-02-13,39.40999984741211
2015-02-17,39.08000183105469
2015-02-18,40.16999816894531
2015-02-19,40.11000061035156
2015-02-20,40.0
2015-02-23,40.04999923706055
2015-02-24,40.130001068115234
2015-02-25,39.650001525878906
2015-02-26,39.400001525878906
2015-02-27,38.84999847412109
2015-03-02,38.31999969482422
2015-03-03,38.310001373291016
2015-03-04,38.13999938964844
2015-03-05,38.02999877929688
2015-03-06,37.0
2015-03-09,36.900001525878906
2015-03-10,37.20000076293945
2015-03-11,37.060001373291016
2015-03-12,37.70000076293945
2015-03-13,37.41999816894531
2015-03-16,37.810001373291016
2015-03-17,37.900001525878906
2015-03-18,38.77999877929688
2015-03-19,38.630001068115234
2015-03-20,39.02000045776367
2015-03-23,38.81999969482422
2015-03-24,38.150001525878906
2015-03-25,37.880001068115234
2015-03-26,37.79999923706055
2015-03-27,38.150001525878906
2015-03-30,38.56999969482422
2015-03-31,38.7599983215332
2015-04-01,38.86000061035156
2015-04-02,38.93999862670898
2015-04-06,39.459999084472656
2015-04-07,38.72999954223633
2015-04-08,38.43000030517578
2015-04-09,38.150001525878906
2015-04-10,38.709999084472656
2015-04-13,38.400001525878906
2015-04-14,38.540000915527344
2015-04-15,38.310001373291016
2015-04-16,37.90999984741211
2015-04-17,37.72999954223633
2015-04-20,38.02000045776367
2015-04-21,37.77000045776367
2015-04-22,38.27999877929688
2015-04-23,38.33000183105469
2015-04-24,38.7400016784668
2015-04-27,38.400001525878906
2015-04-28,38.7400016784668
2015-04-29,38.5
2015-04-30,37.650001525878906
2015-05-01,37.720001220703125
2015-05-04,38.02999877929688
2015-05-05,37.040000915527344
2015-05-06,36.20000076293945
2015-05-07,35.95000076293945
2015-05-08,36.0
2015-05-11,35.91999816894531
2015-05-12,35.93000030517578
2015-05-13,35.58000183105469
2015-05-14,35.91999816894531
2015-05-15,36.13999938964844
2015-05-18,36.470001220703125
2015-05-19,36.41999816894531
2015-05-20,36.650001525878906
2015-05-21,36.59000015258789
2015-05-22,36.58000183105469
2015-05-26,36.31999969482422
2015-05-27,36.540000915527344
2015-05-28,36.7400016784668
2015-05-29,36.66999816894531
2015-06-01,36.54999923706055
2015-06-02,36.060001373291016
2015-06-03,35.45000076293945
2015-06-04,35.189998626708984
2015-06-05,34.41999816894531
2015-06-08,34.369998931884766
2015-06-09,34.290000915527344
2015-06-10,34.61000061035156
2015-06-11,35.15999984741211
2015-06-12,34.77000045776367
2015-06-15,34.619998931884766
2015-06-16,34.70000076293945
2015-06-17,34.88999938964844
