,LII
2015-04-23,107.25
2015-04-24,108.0
2015-04-27,107.26000213623048
2015-04-28,107.5999984741211
2015-04-29,106.68000030517578
2015-04-30,105.95999908447266
2015-05-01,106.5
2015-05-04,107.43000030517578
2015-05-05,106.8000030517578
2015-05-06,106.52999877929688
2015-05-07,107.75
2015-05-08,108.62000274658205
2015-05-11,109.5199966430664
2015-05-12,110.0500030517578
2015-05-13,111.87000274658205
2015-05-14,113.55999755859376
2015-05-15,114.05999755859376
2015-05-18,114.02999877929688
2015-05-19,114.0999984741211
2015-05-20,114.04000091552734
2015-05-21,113.61000061035156
2015-05-22,114.0
2015-05-26,113.5500030517578
2015-05-27,115.0199966430664
2015-05-28,113.91999816894533
2015-05-29,112.5999984741211
2015-06-01,113.44000244140624
2015-06-02,113.44000244140624
2015-06-03,113.7699966430664
2015-06-04,112.58999633789062
2015-06-05,113.2699966430664
2015-06-08,112.66999816894533
2015-06-09,113.43000030517578
2015-06-10,115.37999725341795
2015-06-11,115.20999908447266
2015-06-12,115.0199966430664
2015-06-15,113.5999984741211
2015-06-16,112.51000213623048
2015-06-17,112.0199966430664
2015-06-18,111.7300033569336
2015-06-19,110.3499984741211
2015-06-22,110.62000274658205
2015-06-23,110.29000091552734
2015-06-24,109.88999938964844
2015-06-25,108.91999816894533
2015-06-26,108.52999877929688
2015-06-29,107.1999969482422
2015-06-30,107.69000244140624
2015-07-01,108.11000061035156
2015-07-02,107.9800033569336
2015-07-06,108.5
2015-07-07,109.11000061035156
2015-07-08,107.83999633789062
2015-07-09,108.1500015258789
2015-07-10,107.98999786376952
2015-07-13,108.97000122070312
2015-07-14,109.08000183105467
2015-07-15,107.56999969482422
2015-07-16,107.41999816894533
2015-07-17,107.58999633789062
2015-07-20,116.38999938964844
2015-07-21,115.70999908447266
2015-07-22,117.5
2015-07-23,117.38999938964844
2015-07-24,117.22000122070312
2015-07-27,115.6999969482422
2015-07-28,116.30999755859376
2015-07-29,116.9800033569336
2015-07-30,117.5999984741211
2015-07-31,118.06999969482422
2015-08-03,118.3000030517578
2015-08-04,118.61000061035156
2015-08-05,118.30999755859376
2015-08-06,118.47000122070312
2015-08-07,118.9499969482422
2015-08-10,120.98999786376952
2015-08-11,121.43000030517578
2015-08-12,122.45999908447266
2015-08-13,122.98999786376952
2015-08-14,125.0500030517578
2015-08-17,125.63999938964844
2015-08-18,126.7300033569336
2015-08-19,125.95999908447266
2015-08-20,122.6999969482422
2015-08-21,120.0
2015-08-24,116.18000030517578
2015-08-25,114.6500015258789
2015-08-26,116.93000030517578
2015-08-27,118.6500015258789
2015-08-28,119.68000030517578
2015-08-31,118.04000091552734
2015-09-01,116.16000366210938
2015-09-02,118.9800033569336
2015-09-03,119.41000366210938
2015-09-04,117.38999938964844
2015-09-08,120.69000244140624
2015-09-09,119.72000122070312
2015-09-10,119.04000091552734
2015-09-11,122.37999725341795
2015-09-14,122.83000183105467
2015-09-15,123.19000244140624
2015-09-16,124.08000183105467
2015-09-17,123.72000122070312
2015-09-18,121.97000122070312
2015-09-21,123.08999633789062
2015-09-22,121.45999908447266
2015-09-23,119.08999633789062
2015-09-24,117.4000015258789
2015-09-25,118.25
2015-09-28,115.16999816894533
2015-09-29,112.13999938964844
2015-09-30,113.33000183105467
2015-10-01,113.6999969482422
2015-10-02,113.3499984741211
2015-10-05,115.5
2015-10-06,113.80999755859376
2015-10-07,115.62000274658205
2015-10-08,117.87999725341795
2015-10-09,117.66999816894533
2015-10-12,119.05999755859376
2015-10-13,118.56999969482422
2015-10-14,116.9499969482422
2015-10-15,117.81999969482422
2015-10-16,117.76000213623048
2015-10-19,124.70999908447266
2015-10-20,124.1500015258789
2015-10-21,125.0500030517578
2015-10-22,127.77999877929688
2015-10-23,127.91000366210938
2015-10-26,129.42999267578125
2015-10-27,127.08000183105467
2015-10-28,131.16000366210938
2015-10-29,130.3699951171875
2015-10-30,132.80999755859375
2015-11-02,134.41000366210938
2015-11-03,134.67999267578125
2015-11-04,135.3699951171875
2015-11-05,136.2899932861328
2015-11-06,135.42999267578125
2015-11-09,133.47000122070312
2015-11-10,134.92999267578125
2015-11-11,135.24000549316406
2015-11-12,133.6199951171875
2015-11-13,133.3300018310547
2015-11-16,135.11000061035156
2015-11-17,134.1699981689453
2015-11-18,136.74000549316406
2015-11-19,136.5
2015-11-20,136.30999755859375
2015-11-23,136.69000244140625
2015-11-24,136.61000061035156
2015-11-25,136.8699951171875
2015-11-27,137.6300048828125
2015-11-30,135.9199981689453
2015-12-01,137.7899932861328
2015-12-02,135.4499969482422
2015-12-03,133.5
2015-12-04,136.3300018310547
2015-12-07,137.4600067138672
2015-12-08,135.58999633789062
2015-12-09,133.83999633789062
2015-12-10,133.0
2015-12-11,130.16000366210938
2015-12-14,129.6999969482422
2015-12-15,129.22000122070312
2015-12-16,130.42999267578125
2015-12-17,126.33999633789062
2015-12-18,124.20999908447266
2015-12-21,123.75
2015-12-22,125.33000183105467
2015-12-23,125.12999725341795
2015-12-24,126.41000366210938
2015-12-28,127.08000183105467
2015-12-29,127.87999725341795
2015-12-30,126.55999755859376
2015-12-31,124.9000015258789
2016-01-04,124.23999786376952
2016-01-05,123.08999633789062
2016-01-06,120.77999877929688
2016-01-07,118.93000030517578
2016-01-08,117.4499969482422
2016-01-11,116.73999786376952
2016-01-12,118.38999938964844
2016-01-13,115.66999816894533
2016-01-14,117.4000015258789
2016-01-15,115.7699966430664
2016-01-19,116.51000213623048
2016-01-20,115.12999725341795
2016-01-21,114.38999938964844
2016-01-22,118.72000122070312
2016-01-25,116.02999877929688
2016-01-26,120.44000244140624
2016-01-27,117.2699966430664
2016-01-28,115.72000122070312
2016-01-29,119.81999969482422
2016-02-01,118.7300033569336
2016-02-02,116.75
2016-02-03,117.44000244140624
2016-02-04,118.1999969482422
2016-02-05,114.33000183105467
2016-02-08,114.47000122070312
2016-02-09,113.97000122070312
2016-02-10,115.79000091552734
2016-02-11,117.44000244140624
2016-02-12,119.5
2016-02-16,119.75
2016-02-17,123.0
2016-02-18,121.26000213623048
2016-02-19,121.29000091552734
2016-02-22,121.44000244140624
2016-02-23,123.41999816894533
2016-02-24,126.58999633789062
2016-02-25,128.6699981689453
2016-02-26,131.63999938964844
2016-02-29,129.2100067138672
2016-03-01,129.30999755859375
2016-03-02,129.05999755859375
2016-03-03,128.50999450683594
2016-03-04,129.13999938964844
2016-03-07,128.88999938964844
2016-03-08,128.55999755859375
2016-03-09,129.36000061035156
