,TPL
2015-01-02,13.11111068725586
2015-01-05,12.976667404174805
2015-01-06,12.3100004196167
2015-01-07,12.777777671813965
2015-01-08,13.588889122009276
2015-01-09,13.694443702697754
2015-01-12,12.79444408416748
2015-01-13,12.411110877990724
2015-01-14,12.002222061157228
2015-01-15,11.915555953979492
2015-01-16,12.11111068725586
2015-01-20,12.19777774810791
2015-01-21,12.168889045715332
2015-01-22,12.51111125946045
2015-01-23,12.245555877685549
2015-01-26,12.54444408416748
2015-01-27,12.497777938842772
2015-01-28,12.587778091430664
2015-01-29,12.604443550109863
2015-01-30,12.838889122009276
2015-02-02,13.170000076293944
2015-02-03,13.588889122009276
2015-02-04,13.627778053283691
2015-02-05,13.92111110687256
2015-02-06,14.444443702697754
2015-02-09,14.666666984558104
2015-02-10,15.008889198303224
2015-02-11,15.222222328186035
2015-02-12,15.483332633972168
2015-02-13,15.109999656677246
2015-02-17,14.622221946716309
2015-02-18,14.144444465637209
2015-02-19,14.06999969482422
2015-02-20,14.155555725097656
2015-02-23,14.543333053588867
2015-02-24,14.307778358459473
2015-02-25,14.483332633972168
2015-02-26,14.88888931274414
2015-02-27,15.452221870422363
2015-03-02,15.688888549804688
2015-03-03,15.856666564941406
2015-03-04,15.877778053283691
2015-03-05,16.024444580078125
2015-03-06,16.266666412353516
2015-03-09,16.010000228881836
2015-03-10,15.94333267211914
2015-03-11,16.666667938232422
2015-03-12,16.572221755981445
2015-03-13,16.610000610351562
2015-03-16,16.22222137451172
2015-03-17,15.907777786254885
2015-03-18,15.495555877685549
2015-03-19,15.23888874053955
2015-03-20,15.478889465332031
2015-03-23,15.561111450195312
2015-03-24,15.59000015258789
2015-03-25,15.872221946716309
2015-03-26,16.158889770507812
2015-03-27,15.936667442321776
2015-03-30,15.976667404174805
2015-03-31,16.094444274902344
2015-04-01,16.22222137451172
2015-04-02,16.0
2015-04-06,16.198888778686523
2015-04-07,16.166667938232422
2015-04-08,16.364444732666016
2015-04-09,16.94444465637207
2015-04-10,16.85444450378418
2015-04-13,16.794443130493164
2015-04-14,16.96555519104004
2015-04-15,17.261110305786133
2015-04-16,17.226667404174805
2015-04-17,17.471111297607422
2015-04-20,17.55666732788086
2015-04-21,17.71666717529297
2015-04-22,17.554443359375
2015-04-23,17.438888549804688
2015-04-24,17.557777404785156
2015-04-27,17.438888549804688
2015-04-28,16.752222061157227
2015-04-29,15.94333267211914
2015-04-30,16.751110076904297
2015-05-01,17.262222290039062
2015-05-04,17.067777633666992
2015-05-05,17.601110458374023
2015-05-06,17.445556640625
2015-05-07,17.666667938232422
2015-05-08,17.690000534057617
2015-05-11,17.775556564331055
2015-05-12,17.88888931274414
2015-05-13,17.829999923706055
2015-05-14,17.99222183227539
2015-05-15,17.858888626098633
2015-05-18,17.69444465637207
2015-05-19,17.366666793823242
2015-05-20,17.2277774810791
2015-05-21,17.049999237060547
2015-05-22,16.88888931274414
2015-05-26,16.38777732849121
2015-05-27,16.67333221435547
2015-05-28,17.001110076904297
2015-05-29,16.713333129882812
2015-06-01,16.559999465942383
2015-06-02,16.583332061767578
2015-06-03,16.55555534362793
2015-06-04,16.61111068725586
2015-06-05,16.474443435668945
2015-06-08,16.61888885498047
2015-06-09,16.738889694213867
2015-06-10,16.883333206176758
2015-06-11,17.106666564941406
2015-06-12,16.994443893432617
2015-06-15,16.921110153198242
2015-06-16,16.897777557373047
2015-06-17,16.88888931274414
2015-06-18,16.666667938232422
2015-06-19,16.666667938232422
2015-06-22,16.721111297607422
2015-06-23,16.77666664123535
2015-06-24,16.44444465637207
2015-06-25,16.278888702392578
2015-06-26,16.666667938232422
2015-06-29,16.25666618347168
2015-06-30,16.719999313354492
2015-07-01,16.360000610351562
2015-07-02,16.3255558013916
