,LHX
2015-01-02,71.62000274658203
2015-01-05,69.69000244140625
2015-01-06,68.29000091552734
2015-01-07,68.47000122070312
2015-01-08,70.04000091552734
2015-01-09,69.94000244140625
2015-01-12,68.87999725341797
2015-01-13,68.43000030517578
2015-01-14,68.41999816894531
2015-01-15,67.30999755859375
2015-01-16,67.63999938964844
2015-01-20,67.62999725341797
2015-01-21,68.22000122070312
2015-01-22,69.08999633789062
2015-01-23,69.69999694824219
2015-01-26,69.79000091552734
2015-01-27,69.37999725341797
2015-01-28,68.25
2015-01-29,67.94999694824219
2015-01-30,67.12999725341797
2015-02-02,68.05999755859375
2015-02-03,69.16999816894531
2015-02-04,68.68000030517578
2015-02-05,69.48999786376953
2015-02-06,76.18000030517578
2015-02-09,75.63999938964844
2015-02-10,76.05999755859375
2015-02-11,76.58000183105469
2015-02-12,77.30999755859375
2015-02-13,77.7300033569336
2015-02-17,78.12000274658203
2015-02-18,78.45999908447266
2015-02-19,78.72000122070312
2015-02-20,78.33999633789062
2015-02-23,78.05000305175781
2015-02-24,78.55000305175781
2015-02-25,78.19000244140625
2015-02-26,77.73999786376953
2015-02-27,77.68000030517578
2015-03-02,78.7699966430664
2015-03-03,77.44000244140625
2015-03-04,76.73999786376953
2015-03-05,76.44000244140625
2015-03-06,75.19999694824219
2015-03-09,75.08000183105469
2015-03-10,72.87000274658203
2015-03-11,72.5
2015-03-12,72.5
2015-03-13,71.88999938964844
2015-03-16,72.7300033569336
2015-03-17,72.0999984741211
2015-03-18,72.33000183105469
2015-03-19,72.18000030517578
2015-03-20,72.75
2015-03-23,72.88999938964844
2015-03-24,71.87000274658203
2015-03-25,70.63999938964844
2015-03-26,73.27999877929688
2015-03-27,76.75
2015-03-30,77.62999725341797
2015-03-31,78.76000213623047
2015-04-01,78.58999633789062
2015-04-02,78.69999694824219
2015-04-06,80.70999908447266
2015-04-07,79.77999877929688
2015-04-08,80.12999725341797
2015-04-09,80.68000030517578
2015-04-10,81.0
2015-04-13,80.3499984741211
2015-04-14,80.5
2015-04-15,81.11000061035156
2015-04-16,80.3499984741211
2015-04-17,78.55000305175781
2015-04-20,79.30000305175781
2015-04-21,81.93000030517578
2015-04-22,82.45999908447266
2015-04-23,82.0
2015-04-24,81.0999984741211
2015-04-27,80.73999786376953
2015-04-28,81.08999633789062
2015-04-29,79.26000213623047
2015-04-30,80.23999786376953
2015-05-01,80.44999694824219
2015-05-04,80.47000122070312
2015-05-05,79.2699966430664
2015-05-06,78.5
2015-05-07,78.19999694824219
2015-05-08,78.87000274658203
2015-05-11,78.26000213623047
2015-05-12,77.7699966430664
2015-05-13,77.3499984741211
2015-05-14,78.75
2015-05-15,78.66999816894531
2015-05-18,79.20999908447266
2015-05-19,79.4000015258789
2015-05-20,79.41000366210938
2015-05-21,79.31999969482422
2015-05-22,80.26000213623047
2015-05-26,79.08999633789062
2015-05-27,80.19000244140625
2015-05-28,79.25
2015-05-29,79.22000122070312
2015-06-01,79.69999694824219
2015-06-02,78.80999755859375
2015-06-03,78.55000305175781
2015-06-04,77.80000305175781
2015-06-05,78.48999786376953
2015-06-08,78.0
2015-06-09,78.01000213623047
2015-06-10,78.91000366210938
2015-06-11,78.63999938964844
2015-06-12,78.25
2015-06-15,78.0199966430664
2015-06-16,78.5999984741211
2015-06-17,78.5999984741211
2015-06-18,79.02999877929688
2015-06-19,79.16999816894531
2015-06-22,80.18000030517578
2015-06-23,79.6500015258789
2015-06-24,78.97000122070312
2015-06-25,78.4000015258789
2015-06-26,78.2699966430664
2015-06-29,77.11000061035156
2015-06-30,76.91000366210938
2015-07-01,77.37999725341797
2015-07-02,77.73999786376953
2015-07-06,76.66999816894531
2015-07-07,77.41000366210938
2015-07-08,76.83999633789062
2015-07-09,78.48999786376953
2015-07-10,79.3499984741211
2015-07-13,80.26000213623047
2015-07-14,80.79000091552734
2015-07-15,82.0999984741211
2015-07-16,82.31999969482422
2015-07-17,82.16999816894531
2015-07-20,81.55000305175781
2015-07-21,81.29000091552734
2015-07-22,81.61000061035156
2015-07-23,82.08999633789062
2015-07-24,81.04000091552734
2015-07-27,79.91000366210938
2015-07-28,80.5
2015-07-29,81.77999877929688
2015-07-30,82.33999633789062
2015-07-31,82.94000244140625
2015-08-03,82.29000091552734
2015-08-04,82.27999877929688
2015-08-05,83.05999755859375
2015-08-06,82.94000244140625
2015-08-07,81.56999969482422
2015-08-10,84.58999633789062
2015-08-11,82.93000030517578
2015-08-12,83.41000366210938
2015-08-13,82.58000183105469
2015-08-14,82.87000274658203
2015-08-17,83.0199966430664
2015-08-18,82.62999725341797
2015-08-19,81.98999786376953
2015-08-20,80.20999908447266
2015-08-21,78.41999816894531
2015-08-24,75.18000030517578
2015-08-25,73.76000213623047
2015-08-26,75.83999633789062
2015-08-27,77.05999755859375
2015-08-28,77.54000091552734
2015-08-31,76.81999969482422
2015-09-01,74.63999938964844
2015-09-02,75.33999633789062
2015-09-03,75.75
2015-09-04,73.95999908447266
2015-09-08,76.9800033569336
2015-09-09,75.52999877929688
2015-09-10,75.06999969482422
2015-09-11,74.08999633789062
2015-09-14,73.9000015258789
2015-09-15,73.93000030517578
2015-09-16,74.54000091552734
2015-09-17,74.6500015258789
2015-09-18,73.16999816894531
2015-09-21,73.48999786376953
2015-09-22,72.27999877929688
2015-09-23,72.44999694824219
2015-09-24,71.55000305175781
2015-09-25,72.22000122070312
2015-09-28,70.27999877929688
2015-09-29,71.06999969482422
2015-09-30,73.1500015258789
2015-10-01,73.23999786376953
2015-10-02,73.95999908447266
2015-10-05,74.73999786376953
2015-10-06,74.44000244140625
2015-10-07,74.7300033569336
2015-10-08,75.5
2015-10-09,75.7300033569336
2015-10-12,77.0
2015-10-13,75.56999969482422
2015-10-14,76.02999877929688
