,CPT
2015-01-02,75.25
2015-01-05,74.94999694824219
2015-01-06,75.62000274658203
2015-01-07,77.69999694824219
2015-01-08,76.88999938964844
2015-01-09,77.66000366210938
2015-01-12,78.72000122070312
2015-01-13,77.38999938964844
2015-01-14,78.0
2015-01-15,78.8499984741211
2015-01-16,79.30999755859375
2015-01-20,78.58999633789062
2015-01-21,79.38999938964844
2015-01-22,80.19999694824219
2015-01-23,79.69000244140625
2015-01-26,80.91999816894531
2015-01-27,80.7699966430664
2015-01-28,79.86000061035156
2015-01-29,79.38999938964844
2015-01-30,77.05000305175781
2015-02-02,76.66999816894531
2015-02-03,77.55000305175781
2015-02-04,76.98999786376953
2015-02-05,77.26000213623047
2015-02-06,75.19000244140625
2015-02-09,75.02999877929688
2015-02-10,75.16999816894531
2015-02-11,74.98999786376953
2015-02-12,76.2699966430664
2015-02-13,75.23999786376953
2015-02-17,75.05000305175781
2015-02-18,75.81999969482422
2015-02-19,74.36000061035156
2015-02-20,75.66999816894531
2015-02-23,75.25
2015-02-24,73.30000305175781
2015-02-25,72.87000274658203
2015-02-26,72.37000274658203
2015-02-27,72.79000091552734
2015-03-02,73.12000274658203
2015-03-03,73.12999725341797
2015-03-04,72.62000274658203
2015-03-05,73.55999755859375
2015-03-06,73.2699966430664
2015-03-09,74.68000030517578
2015-03-10,75.30000305175781
2015-03-11,74.68000030517578
2015-03-12,75.62999725341797
2015-03-13,75.62999725341797
2015-03-16,76.6500015258789
2015-03-17,76.63999938964844
2015-03-18,77.94000244140625
2015-03-19,77.86000061035156
2015-03-20,80.61000061035156
2015-03-23,80.47000122070312
2015-03-24,79.5999984741211
2015-03-25,78.41999816894531
2015-03-26,78.02999877929688
2015-03-27,77.4800033569336
2015-03-30,78.7300033569336
2015-03-31,78.12999725341797
2015-04-01,77.62999725341797
2015-04-02,78.5199966430664
2015-04-06,79.11000061035156
2015-04-07,78.5
2015-04-08,78.87999725341797
2015-04-09,76.75
2015-04-10,76.62999725341797
2015-04-13,76.0199966430664
2015-04-14,76.62000274658203
2015-04-15,75.8499984741211
2015-04-16,76.27999877929688
2015-04-17,75.97000122070312
2015-04-20,76.04000091552734
2015-04-21,76.75
2015-04-22,77.5
2015-04-23,77.44000244140625
2015-04-24,77.2699966430664
2015-04-27,77.6500015258789
2015-04-28,77.44999694824219
2015-04-29,76.27999877929688
2015-04-30,75.08000183105469
2015-05-01,74.97000122070312
2015-05-04,75.5
2015-05-05,73.44000244140625
2015-05-06,73.86000061035156
2015-05-07,75.05999755859375
2015-05-08,75.76000213623047
2015-05-11,74.51000213623047
2015-05-12,74.94000244140625
2015-05-13,73.95999908447266
2015-05-14,75.05000305175781
2015-05-15,76.1500015258789
2015-05-18,75.37000274658203
2015-05-19,75.81999969482422
2015-05-20,75.87000274658203
2015-05-21,75.58999633789062
2015-05-22,75.52999877929688
2015-05-26,74.94000244140625
2015-05-27,75.73999786376953
2015-05-28,76.02999877929688
2015-05-29,74.9800033569336
2015-06-01,76.0
2015-06-02,74.9800033569336
2015-06-03,73.62999725341797
2015-06-04,73.63999938964844
2015-06-05,73.58000183105469
2015-06-08,73.56999969482422
2015-06-09,73.02999877929688
2015-06-10,73.7699966430664
2015-06-11,74.72000122070312
2015-06-12,75.16000366210938
2015-06-15,74.77999877929688
2015-06-16,75.80000305175781
2015-06-17,76.16000366210938
2015-06-18,77.7300033569336
2015-06-19,76.80999755859375
2015-06-22,76.30000305175781
2015-06-23,75.5199966430664
2015-06-24,75.04000091552734
2015-06-25,74.70999908447266
2015-06-26,74.75
2015-06-29,74.0999984741211
2015-06-30,74.27999877929688
2015-07-01,75.87999725341797
2015-07-02,76.37999725341797
2015-07-06,76.5999984741211
2015-07-07,77.16999816894531
2015-07-08,76.87999725341797
2015-07-09,77.20999908447266
2015-07-10,77.55999755859375
2015-07-13,77.55000305175781
2015-07-14,77.86000061035156
2015-07-15,78.01000213623047
2015-07-16,78.36000061035156
2015-07-17,78.44000244140625
2015-07-20,78.88999938964844
2015-07-21,78.44999694824219
2015-07-22,78.91999816894531
2015-07-23,78.26000213623047
2015-07-24,78.94000244140625
2015-07-27,78.91999816894531
2015-07-28,78.62000274658203
2015-07-29,78.62000274658203
2015-07-30,78.69999694824219
2015-07-31,79.62999725341797
2015-08-03,79.75
2015-08-04,79.16999816894531
2015-08-05,78.8499984741211
2015-08-06,79.0
2015-08-07,79.62000274658203
2015-08-10,79.7300033569336
2015-08-11,79.86000061035156
2015-08-12,80.08999633789062
2015-08-13,80.0
2015-08-14,80.12000274658203
2015-08-17,80.75
2015-08-18,81.27999877929688
2015-08-19,80.20999908447266
2015-08-20,79.0
2015-08-21,77.45999908447266
2015-08-24,72.76000213623047
2015-08-25,71.47000122070312
2015-08-26,72.4000015258789
2015-08-27,73.75
2015-08-28,73.95999908447266
2015-08-31,72.02999877929688
2015-09-01,70.76000213623047
2015-09-02,71.12999725341797
2015-09-03,71.08999633789062
2015-09-04,69.4800033569336
2015-09-08,70.77999877929688
2015-09-09,69.44999694824219
2015-09-10,69.80000305175781
2015-09-11,70.7300033569336
2015-09-14,70.54000091552734
2015-09-15,71.55999755859375
2015-09-16,72.33000183105469
2015-09-17,72.69999694824219
2015-09-18,72.87999725341797
2015-09-21,73.20999908447266
2015-09-22,72.61000061035156
2015-09-23,73.0999984741211
2015-09-24,72.08000183105469
2015-09-25,72.41999816894531
2015-09-28,71.19000244140625
2015-09-29,73.2699966430664
2015-09-30,73.9000015258789
2015-10-01,74.12000274658203
2015-10-02,74.6500015258789
2015-10-05,75.3499984741211
2015-10-06,74.80000305175781
2015-10-07,76.06999969482422
2015-10-08,76.94000244140625
2015-10-09,76.80000305175781
2015-10-12,77.3499984741211
2015-10-13,76.86000061035156
2015-10-14,76.30999755859375
2015-10-15,77.41999816894531
2015-10-16,77.62000274658203
2015-10-19,79.04000091552734
2015-10-20,78.75
2015-10-21,78.55999755859375
2015-10-22,78.94999694824219
2015-10-23,78.11000061035156
2015-10-26,77.55999755859375
2015-10-27,77.58000183105469
2015-10-28,76.70999908447266
2015-10-29,76.37999725341797
2015-10-30,73.79000091552734
2015-11-02,76.05999755859375
2015-11-03,75.87999725341797
2015-11-04,75.4800033569336
2015-11-05,76.33999633789062
2015-11-06,73.98999786376953
2015-11-09,73.55999755859375
2015-11-10,75.1500015258789
2015-11-11,75.56999969482422
2015-11-12,74.9800033569336
2015-11-13,74.33999633789062
2015-11-16,75.22000122070312
2015-11-17,75.5999984741211
2015-11-18,75.73999786376953
2015-11-19,76.04000091552734
2015-11-20,76.44999694824219
2015-11-23,76.5199966430664
2015-11-24,75.9800033569336
2015-11-25,76.83000183105469
2015-11-27,77.72000122070312
2015-11-30,76.37999725341797
2015-12-01,77.97000122070312
2015-12-02,76.69000244140625
2015-12-03,75.27999877929688
2015-12-04,77.38999938964844
2015-12-07,76.19999694824219
2015-12-08,76.41999816894531
2015-12-09,75.73999786376953
2015-12-10,74.61000061035156
2015-12-11,74.9000015258789
2015-12-14,74.73999786376953
2015-12-15,74.55000305175781
2015-12-16,75.62999725341797
2015-12-17,75.33000183105469
2015-12-18,74.68000030517578
2015-12-21,75.87000274658203
2015-12-22,75.55000305175781
2015-12-23,76.69000244140625
2015-12-24,76.3499984741211
2015-12-28,76.8499984741211
2015-12-29,77.44999694824219
2015-12-30,77.41000366210938
2015-12-31,76.76000213623047
2016-01-04,75.79000091552734
2016-01-05,77.19999694824219
2016-01-06,76.93000030517578
2016-01-07,75.9000015258789
2016-01-08,74.58999633789062
2016-01-11,74.98999786376953
2016-01-12,74.5999984741211
2016-01-13,73.80999755859375
2016-01-14,73.16000366210938
2016-01-15,72.23999786376953
2016-01-19,73.30999755859375
2016-01-20,70.55000305175781
2016-01-21,70.58999633789062
2016-01-22,72.1500015258789
2016-01-25,71.6500015258789
2016-01-26,73.77999877929688
2016-01-27,73.68000030517578
2016-01-28,73.72000122070312
2016-01-29,76.30000305175781
2016-02-01,76.23999786376953
2016-02-02,75.58999633789062
2016-02-03,76.58999633789062
2016-02-04,77.2300033569336
2016-02-05,73.93000030517578
2016-02-08,72.62999725341797
2016-02-09,72.6500015258789
2016-02-10,72.62000274658203
2016-02-11,71.38999938964844
2016-02-12,71.70999908447266
2016-02-16,73.58000183105469
2016-02-17,73.41000366210938
2016-02-18,73.68000030517578
2016-02-19,73.83999633789062
2016-02-22,74.52999877929688
2016-02-23,74.33000183105469
2016-02-24,73.83000183105469
2016-02-25,74.26000213623047
2016-02-26,74.27999877929688
2016-02-29,74.73999786376953
2016-03-01,76.76000213623047
2016-03-02,78.43000030517578
2016-03-03,79.22000122070312
2016-03-04,79.13999938964844
2016-03-07,79.05999755859375
2016-03-08,79.05000305175781
2016-03-09,79.22000122070312
2016-03-10,78.75
2016-03-11,79.19000244140625
2016-03-14,79.36000061035156
2016-03-15,79.75
2016-03-16,80.18000030517578
2016-03-17,81.91999816894531
2016-03-18,82.37000274658203
2016-03-21,81.7300033569336
2016-03-22,82.0999984741211
2016-03-23,82.0199966430664
2016-03-24,81.55000305175781
2016-03-28,82.2699966430664
2016-03-29,83.5
2016-03-30,83.5199966430664
2016-03-31,84.08999633789062
2016-04-01,83.83000183105469
2016-04-04,84.06999969482422
2016-04-05,82.97000122070312
2016-04-06,83.41999816894531
2016-04-07,82.68000030517578
2016-04-08,82.9000015258789
2016-04-11,82.33000183105469
2016-04-12,82.51000213623047
2016-04-13,81.9000015258789
2016-04-14,80.08000183105469
2016-04-15,81.81999969482422
2016-04-18,82.16999816894531
2016-04-19,82.20999908447266
2016-04-20,80.76000213623047
2016-04-21,80.11000061035156
2016-04-22,81.31999969482422
2016-04-25,82.56999969482422
2016-04-26,82.63999938964844
2016-04-27,82.04000091552734
2016-04-28,82.2699966430664
2016-04-29,80.7300033569336
2016-05-02,82.30000305175781
2016-05-03,81.68000030517578
2016-05-04,83.23999786376953
2016-05-05,84.05000305175781
2016-05-06,85.66999816894531
2016-05-09,86.12999725341797
2016-05-10,86.45999908447266
2016-05-11,85.56999969482422
2016-05-12,86.62999725341797
2016-05-13,85.94999694824219
2016-05-16,86.80000305175781
2016-05-17,85.80000305175781
2016-05-18,85.31999969482422
2016-05-19,83.62999725341797
2016-05-20,84.51000213623047
2016-05-23,84.16999816894531
2016-05-24,85.04000091552734
2016-05-25,84.66999816894531
2016-05-26,84.88999938964844
2016-05-27,85.2300033569336
2016-05-31,85.20999908447266
2016-06-01,84.0999984741211
2016-06-02,83.98999786376953
2016-06-03,82.05999755859375
2016-06-06,80.33999633789062
2016-06-07,81.12999725341797
2016-06-08,80.55999755859375
