,BRO
2017-04-06,20.915000915527344
2017-04-07,20.905000686645508
2017-04-10,20.975000381469727
2017-04-11,21.075000762939453
2017-04-12,20.81999969482422
2017-04-13,20.65999984741211
2017-04-17,20.96500015258789
2017-04-18,21.165000915527344
2017-04-19,20.96999931335449
2017-04-20,21.395000457763672
2017-04-21,21.25
2017-04-24,21.549999237060547
2017-04-25,21.540000915527344
2017-04-26,21.665000915527344
2017-04-27,21.73500061035156
2017-04-28,21.450000762939453
2017-05-01,21.51499938964844
2017-05-02,21.415000915527344
2017-05-03,21.40999984741211
2017-05-04,21.5049991607666
2017-05-05,21.540000915527344
2017-05-08,21.52499961853028
2017-05-09,21.315000534057617
2017-05-10,21.3799991607666
2017-05-11,21.290000915527344
2017-05-12,21.145000457763672
2017-05-15,21.209999084472656
2017-05-16,21.2450008392334
2017-05-17,20.924999237060547
2017-05-18,21.049999237060547
2017-05-19,21.03499984741211
2017-05-22,21.225000381469727
2017-05-23,21.23500061035156
2017-05-24,21.229999542236328
2017-05-25,21.479999542236328
2017-05-26,21.434999465942383
2017-05-30,21.5
2017-05-31,21.71500015258789
2017-06-01,22.05500030517578
2017-06-02,21.905000686645508
2017-06-05,21.739999771118164
2017-06-06,21.53499984741211
2017-06-07,21.520000457763672
2017-06-08,21.709999084472656
2017-06-09,21.924999237060547
2017-06-12,22.0049991607666
2017-06-13,22.049999237060547
2017-06-14,22.02499961853028
2017-06-15,22.14999961853028
2017-06-16,22.165000915527344
2017-06-19,22.0
2017-06-20,21.875
2017-06-21,21.76000022888184
2017-06-22,21.584999084472656
2017-06-23,21.46500015258789
2017-06-26,21.575000762939453
2017-06-27,21.52499961853028
2017-06-28,21.770000457763672
2017-06-29,21.78499984741211
2017-06-30,21.53499984741211
2017-07-03,21.76000022888184
2017-07-05,21.584999084472656
2017-07-06,21.43000030517578
2017-07-07,21.57999992370605
2017-07-10,21.43000030517578
2017-07-11,21.354999542236328
2017-07-12,21.540000915527344
2017-07-13,21.540000915527344
2017-07-14,21.64999961853028
2017-07-17,21.5049991607666
2017-07-18,21.51499938964844
2017-07-19,21.88500022888184
2017-07-20,21.940000534057617
2017-07-21,22.03499984741211
2017-07-24,22.125
2017-07-25,22.325000762939453
2017-07-26,22.23500061035156
2017-07-27,22.0049991607666
2017-07-28,22.290000915527344
2017-07-31,22.299999237060547
2017-08-01,22.295000076293945
2017-08-02,22.20499992370605
2017-08-03,21.975000381469727
2017-08-04,22.030000686645508
2017-08-07,21.94499969482422
2017-08-08,21.86000061035156
2017-08-09,21.905000686645508
2017-08-10,21.739999771118164
2017-08-11,21.770000457763672
2017-08-14,21.95499992370605
2017-08-15,22.075000762939453
2017-08-16,22.020000457763672
2017-08-17,21.684999465942383
2017-08-18,21.815000534057617
2017-08-21,21.90999984741211
2017-08-22,22.049999237060547
2017-08-23,21.850000381469727
2017-08-24,21.905000686645508
2017-08-25,22.145000457763672
2017-08-28,22.57999992370605
2017-08-29,22.3799991607666
2017-08-30,22.45499992370605
2017-08-31,22.479999542236328
2017-09-01,22.52499961853028
2017-09-05,22.739999771118164
2017-09-06,22.940000534057617
2017-09-07,23.01499938964844
2017-09-08,24.065000534057617
2017-09-11,23.450000762939453
2017-09-12,23.415000915527344
2017-09-13,23.295000076293945
2017-09-14,23.170000076293945
2017-09-15,23.209999084472656
2017-09-18,23.45499992370605
2017-09-19,23.479999542236328
2017-09-20,23.665000915527344
2017-09-21,23.53499984741211
2017-09-22,23.709999084472656
2017-09-25,23.84000015258789
2017-09-26,24.114999771118164
2017-09-27,24.434999465942383
2017-09-28,24.14999961853028
2017-09-29,24.09499931335449
2017-10-02,24.190000534057617
2017-10-03,24.375
2017-10-04,24.3799991607666
2017-10-05,24.434999465942383
2017-10-06,24.364999771118164
2017-10-09,24.424999237060547
2017-10-10,24.46999931335449
2017-10-11,24.44499969482422
2017-10-12,24.59000015258789
2017-10-13,24.69499969482422
2017-10-16,24.48500061035156
2017-10-17,24.5049991607666
2017-10-18,24.46999931335449
2017-10-19,24.5
2017-10-20,24.65999984741211
2017-10-23,24.825000762939453
2017-10-24,24.725000381469727
2017-10-25,24.604999542236328
2017-10-26,24.690000534057617
2017-10-27,24.84000015258789
2017-10-30,24.7450008392334
2017-10-31,24.920000076293945
2017-11-01,25.045000076293945
2017-11-02,25.200000762939453
2017-11-03,25.19499969482422
2017-11-06,25.270000457763672
2017-11-07,25.114999771118164
2017-11-08,24.850000381469727
2017-11-09,24.684999465942383
2017-11-10,24.739999771118164
2017-11-13,24.700000762939453
2017-11-14,25.0
2017-11-15,24.975000381469727
2017-11-16,24.96500015258789
2017-11-17,24.940000534057617
2017-11-20,25.13500022888184
2017-11-21,25.2549991607666
2017-11-22,25.18000030517578
2017-11-24,25.02499961853028
2017-11-27,25.14999961853028
2017-11-28,25.38999938964844
2017-11-29,25.44499969482422
2017-11-30,25.625
2017-12-01,25.875
2017-12-04,25.76499938964844
2017-12-05,25.475000381469727
2017-12-06,25.834999084472656
2017-12-07,25.81999969482422
2017-12-08,25.96500015258789
2017-12-11,25.799999237060547
2017-12-12,25.82999992370605
2017-12-13,25.625
2017-12-14,25.52499961853028
2017-12-15,25.59000015258789
2017-12-18,25.73500061035156
2017-12-19,25.75
2017-12-20,25.69499969482422
2017-12-21,25.674999237060547
2017-12-22,25.55500030517578
2017-12-26,25.71999931335449
2017-12-27,25.780000686645508
2017-12-28,25.88999938964844
2017-12-29,25.729999542236328
2018-01-02,25.540000915527344
2018-01-03,25.82999992370605
2018-01-04,25.89999961853028
2018-01-05,26.145000457763672
2018-01-08,26.065000534057617
2018-01-09,26.27499961853028
2018-01-10,26.11000061035156
2018-01-11,26.100000381469727
2018-01-12,26.209999084472656
2018-01-16,26.184999465942383
2018-01-17,26.290000915527344
2018-01-18,26.18000030517578
2018-01-19,26.25
2018-01-22,26.125
2018-01-23,26.02499961853028
2018-01-24,26.44499969482422
2018-01-25,26.48500061035156
2018-01-26,26.88500022888184
2018-01-29,26.575000762939453
2018-01-30,26.434999465942383
2018-01-31,26.239999771118164
2018-02-01,26.59499931335449
2018-02-02,26.489999771118164
2018-02-05,25.739999771118164
2018-02-06,25.82999992370605
2018-02-07,25.88500022888184
2018-02-08,25.05500030517578
2018-02-09,25.2450008392334
2018-02-12,25.559999465942383
2018-02-13,25.780000686645508
2018-02-14,26.21999931335449
2018-02-15,26.31999969482422
2018-02-16,26.350000381469727
2018-02-20,26.30500030517578
2018-02-21,26.25
2018-02-22,26.125
2018-02-23,26.440000534057617
2018-02-26,26.690000534057617
2018-02-27,26.614999771118164
2018-02-28,26.31999969482422
2018-03-01,25.96999931335449
2018-03-02,26.13500022888184
2018-03-05,26.420000076293945
2018-03-06,26.5049991607666
2018-03-07,26.27499961853028
2018-03-08,26.28499984741211
2018-03-09,26.815000534057617
2018-03-12,26.665000915527344
2018-03-13,26.39999961853028
2018-03-14,26.270000457763672
2018-03-15,26.270000457763672
2018-03-16,26.375
2018-03-19,26.309999465942383
2018-03-20,26.43000030517578
2018-03-21,26.28499984741211
2018-03-22,25.46500015258789
2018-03-23,24.96999931335449
2018-03-26,25.520000457763672
2018-03-27,25.280000686645508
2018-03-28,25.51000022888184
2018-03-29,25.440000534057617
2018-04-02,24.84000015258789
2018-04-03,25.13999938964844
2018-04-04,25.309999465942383
2018-04-05,25.459999084472656
2018-04-06,25.09000015258789
2018-04-09,25.26000022888184
2018-04-10,25.489999771118164
2018-04-11,25.5
2018-04-12,25.75
2018-04-13,25.71999931335449
2018-04-16,26.059999465942383
2018-04-17,26.309999465942383
2018-04-18,26.25
2018-04-19,26.14999961853028
2018-04-20,25.950000762939453
2018-04-23,26.559999465942383
2018-04-24,26.38999938964844
2018-04-25,26.82999992370605
2018-04-26,27.420000076293945
2018-04-27,27.729999542236328
2018-04-30,27.229999542236328
2018-05-01,27.21999931335449
2018-05-02,26.90999984741211
2018-05-03,27.07999992370605
2018-05-04,27.51000022888184
2018-05-07,27.530000686645508
2018-05-08,27.39999961853028
2018-05-09,27.420000076293945
2018-05-10,27.489999771118164
2018-05-11,27.450000762939453
2018-05-14,27.239999771118164
2018-05-15,27.229999542236328
2018-05-16,27.299999237060547
2018-05-17,27.520000457763672
2018-05-18,27.61000061035156
2018-05-21,27.86000061035156
2018-05-22,27.780000686645508
2018-05-23,27.88999938964844
2018-05-24,27.96999931335449
2018-05-25,27.809999465942383
2018-05-29,27.32999992370605
2018-05-30,27.82999992370605
2018-05-31,27.780000686645508
2018-06-01,28.040000915527344
2018-06-04,28.100000381469727
2018-06-05,28.14999961853028
2018-06-06,28.100000381469727
2018-06-07,28.1200008392334
2018-06-08,28.479999542236328
2018-06-11,28.59000015258789
2018-06-12,28.440000534057617
2018-06-13,28.290000915527344
2018-06-14,28.32999992370605
2018-06-15,28.26000022888184
2018-06-18,28.420000076293945
2018-06-19,28.51000022888184
2018-06-20,28.15999984741211
2018-06-21,28.06999969482422
2018-06-22,28.21999931335449
2018-06-25,28.01000022888184
2018-06-26,27.89999961853028
2018-06-27,27.489999771118164
2018-06-28,27.56999969482422
2018-06-29,27.729999542236328
2018-07-02,27.709999084472656
2018-07-03,27.89999961853028
2018-07-05,28.1200008392334
2018-07-06,28.299999237060547
2018-07-09,28.770000457763672
2018-07-10,28.65999984741211
2018-07-11,28.559999465942383
2018-07-12,28.729999542236328
2018-07-13,28.75
2018-07-16,29.01000022888184
2018-07-17,29.14999961853028
2018-07-18,29.59000015258789
2018-07-19,29.459999084472656
2018-07-20,29.670000076293945
2018-07-23,29.600000381469727
2018-07-24,28.959999084472656
2018-07-25,29.1299991607666
2018-07-26,29.43000030517578
2018-07-27,29.280000686645508
2018-07-30,29.40999984741211
2018-07-31,29.26000022888184
2018-08-01,28.979999542236328
2018-08-02,29.190000534057617
2018-08-03,29.290000915527344
2018-08-06,29.440000534057617
2018-08-07,29.56999969482422
2018-08-08,29.780000686645508
2018-08-09,29.71999931335449
2018-08-10,29.64999961853028
2018-08-13,29.59000015258789
2018-08-14,29.739999771118164
2018-08-15,29.729999542236328
2018-08-16,29.82999992370605
2018-08-17,29.81999969482422
2018-08-20,29.88999938964844
2018-08-21,30.299999237060547
2018-08-22,30.21999931335449
2018-08-23,30.280000686645508
2018-08-24,30.3799991607666
2018-08-27,30.280000686645508
2018-08-28,30.1200008392334
2018-08-29,30.21999931335449
2018-08-30,30.13999938964844
2018-08-31,30.479999542236328
2018-09-04,30.459999084472656
2018-09-05,30.670000076293945
2018-09-06,30.770000457763672
2018-09-07,30.81999969482422
2018-09-10,31.0
2018-09-11,31.170000076293945
2018-09-12,31.190000534057617
2018-09-13,31.34000015258789
2018-09-14,31.06999969482422
2018-09-17,30.6299991607666
2018-09-18,30.07999992370605
2018-09-19,30.39999961853028
2018-09-20,30.39999961853028
2018-09-21,30.270000457763672
2018-09-24,30.01000022888184
2018-09-25,29.690000534057617
2018-09-26,29.530000686645508
2018-09-27,29.57999992370605
2018-09-28,29.56999969482422
2018-10-01,29.5
2018-10-02,29.420000076293945
2018-10-03,29.479999542236328
2018-10-04,29.6299991607666
2018-10-05,29.31999969482422
2018-10-08,29.489999771118164
2018-10-09,29.309999465942383
2018-10-10,28.64999961853028
2018-10-11,28.11000061035156
2018-10-12,27.90999984741211
2018-10-15,27.81999969482422
2018-10-16,28.38999938964844
2018-10-17,28.479999542236328
2018-10-18,28.200000762939453
2018-10-19,28.850000381469727
2018-10-22,29.1299991607666
2018-10-23,28.0
2018-10-24,27.61000061035156
2018-10-25,28.07999992370605
2018-10-26,27.940000534057617
2018-10-29,27.920000076293945
2018-10-30,28.059999465942383
2018-10-31,28.18000030517578
2018-11-01,28.229999542236328
2018-11-02,28.18000030517578
2018-11-05,28.420000076293945
2018-11-06,28.82999992370605
2018-11-07,29.030000686645508
2018-11-08,29.239999771118164
2018-11-09,29.290000915527344
2018-11-12,28.790000915527344
2018-11-13,28.88999938964844
2018-11-14,28.540000915527344
2018-11-15,28.81999969482422
2018-11-16,28.8700008392334
2018-11-19,28.920000076293945
2018-11-20,28.43000030517578
2018-11-21,28.280000686645508
2018-11-23,28.459999084472656
2018-11-26,28.59000015258789
2018-11-27,28.280000686645508
2018-11-28,28.850000381469727
2018-11-29,29.040000915527344
2018-11-30,29.020000457763672
2018-12-03,29.07999992370605
2018-12-04,28.59000015258789
2018-12-06,27.920000076293945
2018-12-07,27.59000015258789
2018-12-10,27.530000686645508
2018-12-11,27.350000381469727
2018-12-12,27.489999771118164
2018-12-13,27.700000762939453
2018-12-14,27.6200008392334
2018-12-17,27.200000762939453
2018-12-18,27.31999969482422
2018-12-19,27.059999465942383
2018-12-20,27.020000457763672
2018-12-21,26.530000686645508
2018-12-24,26.06999969482422
2018-12-26,26.86000061035156
2018-12-27,26.979999542236328
2018-12-28,27.18000030517578
2018-12-31,27.559999465942383
2019-01-02,27.06999969482422
2019-01-03,26.729999542236328
2019-01-04,27.38999938964844
2019-01-07,27.3700008392334
2019-01-08,27.729999542236328
2019-01-09,27.790000915527344
2019-01-10,27.989999771118164
2019-01-11,27.780000686645508
2019-01-14,27.86000061035156
2019-01-15,27.920000076293945
2019-01-16,28.31999969482422
2019-01-17,28.18000030517578
2019-01-18,28.63999938964844
2019-01-22,28.31999969482422
2019-01-23,28.43000030517578
2019-01-24,28.309999465942383
2019-01-25,28.200000762939453
2019-01-28,27.959999084472656
2019-01-29,26.75
2019-01-30,26.76000022888184
2019-01-31,27.15999984741211
2019-02-01,27.8700008392334
2019-02-04,27.8799991607666
2019-02-05,28.049999237060547
2019-02-06,27.940000534057617
2019-02-07,27.809999465942383
2019-02-08,27.82999992370605
2019-02-11,28.1299991607666
2019-02-12,28.46999931335449
2019-02-13,28.450000762939453
2019-02-14,28.479999542236328
2019-02-15,29.059999465942383
2019-02-19,29.1200008392334
2019-02-20,29.440000534057617
2019-02-21,29.440000534057617
2019-02-22,29.51000022888184
2019-02-25,29.51000022888184
2019-02-26,29.200000762939453
2019-02-27,29.34000015258789
2019-02-28,29.6200008392334
2019-03-01,29.8700008392334
2019-03-04,29.8700008392334
2019-03-05,29.440000534057617
2019-03-06,29.290000915527344
2019-03-07,29.06999969482422
2019-03-08,28.8700008392334
2019-03-11,29.170000076293945
2019-03-12,29.1299991607666
2019-03-13,29.170000076293945
2019-03-14,29.15999984741211
2019-03-15,29.459999084472656
2019-03-18,29.46999931335449
2019-03-19,29.07999992370605
2019-03-20,28.709999084472656
2019-03-21,29.11000061035156
2019-03-22,28.8799991607666
2019-03-25,29.01000022888184
2019-03-26,29.209999084472656
2019-03-27,29.290000915527344
2019-03-28,29.40999984741211
2019-03-29,29.51000022888184
2019-04-01,29.799999237060547
2019-04-02,29.65999984741211
2019-04-03,29.75
2019-04-04,29.940000534057617
2019-04-05,29.93000030517578
2019-04-08,29.89999961853028
2019-04-09,29.700000762939453
2019-04-10,29.96999931335449
2019-04-11,30.270000457763672
2019-04-12,30.51000022888184
2019-04-15,30.68000030517578
2019-04-16,30.729999542236328
2019-04-17,30.40999984741211
2019-04-18,30.56999969482422
2019-04-22,30.51000022888184
2019-04-23,31.56999969482422
2019-04-24,31.459999084472656
2019-04-25,31.5
2019-04-26,31.68000030517578
2019-04-29,31.549999237060547
2019-04-30,31.75
2019-05-01,31.32999992370605
2019-05-02,31.809999465942383
2019-05-03,32.34000015258789
2019-05-06,32.459999084472656
2019-05-07,32.040000915527344
2019-05-08,31.950000762939453
2019-05-09,31.670000076293945
2019-05-10,32.189998626708984
2019-05-13,31.39999961853028
2019-05-14,31.36000061035156
2019-05-15,31.71999931335449
2019-05-16,32.0
2019-05-17,31.690000534057617
2019-05-20,31.489999771118164
2019-05-21,31.90999984741211
2019-05-22,32.029998779296875
2019-05-23,31.809999465942383
2019-05-24,31.850000381469727
2019-05-28,31.59000015258789
2019-05-29,31.64999961853028
2019-05-30,31.65999984741211
2019-05-31,31.56999969482422
2019-06-03,31.940000534057617
2019-06-04,32.060001373291016
2019-06-05,32.58000183105469
2019-06-06,32.52000045776367
2019-06-07,32.869998931884766
2019-06-10,32.689998626708984
2019-06-11,32.59000015258789
2019-06-12,32.849998474121094
2019-06-13,32.689998626708984
2019-06-14,32.81999969482422
2019-06-17,32.68000030517578
2019-06-18,32.7400016784668
2019-06-19,33.15999984741211
2019-06-20,33.400001525878906
2019-06-21,32.900001525878906
2019-06-24,33.220001220703125
2019-06-25,33.16999816894531
2019-06-26,32.540000915527344
2019-06-27,33.150001525878906
2019-06-28,33.5
2019-07-01,34.02000045776367
2019-07-02,34.33000183105469
2019-07-03,34.72999954223633
2019-07-05,34.7599983215332
2019-07-08,34.529998779296875
2019-07-09,34.7599983215332
2019-07-10,34.779998779296875
2019-07-11,34.86000061035156
2019-07-12,34.9900016784668
2019-07-15,34.91999816894531
2019-07-16,35.02000045776367
2019-07-17,34.91999816894531
2019-07-18,35.130001068115234
2019-07-19,34.70000076293945
2019-07-22,34.650001525878906
2019-07-23,35.56999969482422
2019-07-24,36.150001525878906
2019-07-25,36.0
2019-07-26,36.38999938964844
2019-07-29,36.31999969482422
2019-07-30,36.40999984741211
2019-07-31,35.93000030517578
2019-08-01,35.88999938964844
2019-08-02,35.849998474121094
2019-08-05,35.279998779296875
2019-08-06,35.9900016784668
2019-08-07,36.13999938964844
2019-08-08,36.810001373291016
2019-08-09,36.7400016784668
2019-08-12,36.20000076293945
2019-08-13,36.5
2019-08-14,35.41999816894531
2019-08-15,35.65999984741211
2019-08-16,36.08000183105469
2019-08-19,36.38999938964844
2019-08-20,35.83000183105469
2019-08-21,36.040000915527344
2019-08-22,36.220001220703125
2019-08-23,35.41999816894531
2019-08-26,35.70000076293945
2019-08-27,35.459999084472656
2019-08-28,35.63999938964844
2019-08-29,36.220001220703125
2019-08-30,36.88999938964844
2019-09-03,36.52999877929688
2019-09-04,36.70000076293945
2019-09-05,36.84000015258789
2019-09-06,36.810001373291016
2019-09-09,36.5
2019-09-10,34.869998931884766
2019-09-11,35.58000183105469
2019-09-12,35.959999084472656
2019-09-13,35.97999954223633
2019-09-16,35.83000183105469
2019-09-17,36.400001525878906
2019-09-18,36.36000061035156
2019-09-19,36.5099983215332
2019-09-20,36.22999954223633
2019-09-23,36.27999877929688
2019-09-24,35.959999084472656
2019-09-25,36.130001068115234
2019-09-26,36.09000015258789
2019-09-27,35.790000915527344
2019-09-30,36.060001373291016
2019-10-01,35.41999816894531
2019-10-02,35.119998931884766
2019-10-03,35.619998931884766
2019-10-04,36.40999984741211
2019-10-07,36.18000030517578
2019-10-08,35.310001373291016
2019-10-09,35.59000015258789
2019-10-10,35.939998626708984
2019-10-11,36.040000915527344
2019-10-14,36.09999847412109
2019-10-15,36.02999877929688
2019-10-16,36.08000183105469
2019-10-17,36.29999923706055
2019-10-18,36.31999969482422
2019-10-21,36.619998931884766
2019-10-22,36.380001068115234
2019-10-23,36.31999969482422
2019-10-24,36.84000015258789
2019-10-25,35.959999084472656
2019-10-28,35.86000061035156
2019-10-29,37.310001373291016
2019-10-30,37.68999862670898
2019-10-31,37.68000030517578
2019-11-01,37.630001068115234
2019-11-04,37.16999816894531
2019-11-05,37.09000015258789
2019-11-06,37.75
2019-11-07,37.63999938964844
2019-11-08,37.75
2019-11-11,37.880001068115234
2019-11-12,37.84000015258789
2019-11-13,38.060001373291016
2019-11-14,37.88999938964844
2019-11-15,37.869998931884766
2019-11-18,37.810001373291016
2019-11-19,37.970001220703125
2019-11-20,38.09000015258789
2019-11-21,37.72999954223633
2019-11-22,37.84999847412109
2019-11-25,37.959999084472656
2019-11-26,37.88999938964844
2019-11-27,37.959999084472656
2019-11-29,37.7400016784668
2019-12-02,37.630001068115234
2019-12-03,37.59999847412109
2019-12-04,37.63999938964844
2019-12-05,38.13999938964844
2019-12-06,38.369998931884766
2019-12-09,38.220001220703125
2019-12-10,37.959999084472656
2019-12-11,38.25
2019-12-12,38.630001068115234
2019-12-13,38.86000061035156
2019-12-16,38.97999954223633
2019-12-17,39.540000915527344
2019-12-18,39.380001068115234
2019-12-19,39.52000045776367
2019-12-20,40.25
2019-12-23,39.33000183105469
2019-12-24,39.16999816894531
2019-12-26,39.369998931884766
2019-12-27,39.29999923706055
2019-12-30,39.36000061035156
2019-12-31,39.47999954223633
2020-01-02,39.61000061035156
2020-01-03,39.650001525878906
2020-01-06,39.619998931884766
2020-01-07,39.5
2020-01-08,39.790000915527344
2020-01-09,40.33000183105469
2020-01-10,40.400001525878906
2020-01-13,40.380001068115234
2020-01-14,40.209999084472656
2020-01-15,40.59000015258789
2020-01-16,41.119998931884766
2020-01-17,41.40999984741211
2020-01-21,41.20000076293945
