,TMUS
2015-01-02,27.299999237060547
2015-01-05,26.93000030517578
2015-01-06,26.8700008392334
2015-01-07,28.25
2015-01-08,29.020000457763672
2015-01-09,29.25
2015-01-12,29.270000457763672
2015-01-13,29.469999313354492
2015-01-14,29.56999969482422
2015-01-15,29.18000030517578
2015-01-16,29.139999389648438
2015-01-20,29.540000915527344
2015-01-21,30.079999923706055
2015-01-22,30.5
2015-01-23,30.15999984741211
2015-01-26,30.65999984741211
2015-01-27,30.65999984741211
2015-01-28,30.09000015258789
2015-01-29,29.549999237060547
2015-01-30,30.18000030517578
2015-02-02,30.34000015258789
2015-02-03,30.889999389648438
2015-02-04,30.75
2015-02-05,31.209999084472656
2015-02-06,31.309999465942383
2015-02-09,31.079999923706055
2015-02-10,31.299999237060547
2015-02-11,31.260000228881836
2015-02-12,31.59000015258789
2015-02-13,31.75
2015-02-17,31.760000228881836
2015-02-18,31.0
2015-02-19,31.850000381469727
2015-02-20,31.950000762939453
2015-02-23,31.360000610351562
2015-02-24,31.59000015258789
2015-02-25,32.189998626708984
2015-02-26,32.47999954223633
2015-02-27,33.029998779296875
2015-03-02,32.959999084472656
2015-03-03,32.7599983215332
2015-03-04,32.68000030517578
2015-03-05,32.79999923706055
2015-03-06,32.720001220703125
2015-03-09,33.02000045776367
2015-03-10,32.36000061035156
2015-03-11,32.11000061035156
2015-03-12,32.150001525878906
2015-03-13,32.040000915527344
2015-03-16,32.470001220703125
2015-03-17,32.66999816894531
2015-03-18,32.86000061035156
2015-03-19,33.20000076293945
2015-03-20,33.13999938964844
2015-03-23,33.150001525878906
2015-03-24,32.97999954223633
2015-03-25,32.34000015258789
2015-03-26,32.459999084472656
2015-03-27,32.380001068115234
2015-03-30,32.29999923706055
2015-03-31,31.690000534057617
2015-04-01,31.639999389648438
2015-04-02,32.959999084472656
2015-04-06,33.08000183105469
2015-04-07,32.97999954223633
2015-04-08,32.77000045776367
2015-04-09,32.380001068115234
2015-04-10,32.060001373291016
2015-04-13,31.489999771118164
2015-04-14,31.8700008392334
2015-04-15,32.0099983215332
2015-04-16,32.060001373291016
2015-04-17,32.09000015258789
2015-04-20,32.689998626708984
2015-04-21,33.349998474121094
2015-04-22,34.09000015258789
2015-04-23,34.439998626708984
2015-04-24,34.310001373291016
2015-04-27,34.060001373291016
2015-04-28,33.970001220703125
2015-04-29,34.619998931884766
2015-04-30,34.040000915527344
2015-05-01,33.849998474121094
2015-05-04,34.150001525878906
2015-05-05,33.79999923706055
2015-05-06,33.29999923706055
2015-05-07,33.29999923706055
2015-05-08,33.77000045776367
2015-05-11,33.970001220703125
2015-05-12,34.560001373291016
2015-05-13,33.93000030517578
2015-05-14,34.08000183105469
2015-05-15,34.400001525878906
2015-05-18,34.83000183105469
2015-05-19,34.400001525878906
2015-05-20,35.209999084472656
2015-05-21,36.25
2015-05-22,36.68000030517578
2015-05-26,38.54999923706055
2015-05-27,38.650001525878906
2015-05-28,38.31999969482422
2015-05-29,38.880001068115234
2015-06-01,38.88999938964844
2015-06-02,38.63999938964844
2015-06-03,38.33000183105469
2015-06-04,39.34000015258789
2015-06-05,40.2400016784668
2015-06-08,39.47999954223633
2015-06-09,38.790000915527344
2015-06-10,38.65999984741211
2015-06-11,38.119998931884766
2015-06-12,39.0
2015-06-15,38.959999084472656
2015-06-16,38.849998474121094
2015-06-17,39.77000045776367
2015-06-18,39.56999969482422
2015-06-19,39.15999984741211
2015-06-22,39.20000076293945
2015-06-23,39.5
2015-06-24,39.029998779296875
2015-06-25,39.29999923706055
2015-06-26,39.099998474121094
2015-06-29,38.68000030517578
2015-06-30,38.77000045776367
2015-07-01,38.630001068115234
2015-07-02,38.970001220703125
2015-07-06,38.54999923706055
2015-07-07,38.68000030517578
2015-07-08,38.470001220703125
2015-07-09,38.77000045776367
2015-07-10,39.029998779296875
2015-07-13,39.2599983215332
2015-07-14,39.439998626708984
2015-07-15,39.04999923706055
2015-07-16,38.619998931884766
2015-07-17,38.040000915527344
2015-07-20,38.08000183105469
2015-07-21,37.630001068115234
2015-07-22,37.72999954223633
2015-07-23,37.93000030517578
2015-07-24,37.400001525878906
2015-07-27,36.5
2015-07-28,36.91999816894531
2015-07-29,37.040000915527344
2015-07-30,38.86000061035156
2015-07-31,40.65999984741211
2015-08-03,41.4900016784668
2015-08-04,41.209999084472656
2015-08-05,40.7400016784668
2015-08-06,40.41999816894531
2015-08-07,40.36000061035156
2015-08-10,41.470001220703125
2015-08-11,40.95000076293945
2015-08-12,41.36000061035156
2015-08-13,41.22999954223633
2015-08-14,41.22999954223633
2015-08-17,42.0
2015-08-18,42.040000915527344
2015-08-19,41.86000061035156
2015-08-20,40.7400016784668
2015-08-21,40.130001068115234
