,NDSN
2019-02-15,139.6699981689453
2019-02-19,139.25999450683594
2019-02-20,138.82000732421875
2019-02-21,135.08999633789062
2019-02-22,137.47000122070312
2019-02-25,138.6300048828125
2019-02-26,136.74000549316406
2019-02-27,136.69000244140625
2019-02-28,135.75999450683594
2019-03-01,135.47000122070312
2019-03-04,136.42999267578125
2019-03-05,136.9499969482422
2019-03-06,135.7899932861328
2019-03-07,133.24000549316406
2019-03-08,131.9499969482422
2019-03-11,132.41000366210938
2019-03-12,132.35000610351562
2019-03-13,132.2899932861328
2019-03-14,131.22999572753906
2019-03-15,130.38999938964844
2019-03-18,132.97000122070312
2019-03-19,132.9199981689453
2019-03-20,131.74000549316406
2019-03-21,133.80999755859375
2019-03-22,127.9499969482422
2019-03-25,128.55999755859375
2019-03-26,130.2899932861328
2019-03-27,129.8800048828125
2019-03-28,131.55999755859375
2019-03-29,132.52000427246094
2019-04-01,135.83999633789062
2019-04-02,136.4499969482422
2019-04-03,137.3800048828125
2019-04-04,137.72000122070312
2019-04-05,138.9600067138672
2019-04-08,139.8800048828125
2019-04-09,138.83999633789062
2019-04-10,140.88999938964844
2019-04-11,141.4199981689453
2019-04-12,144.24000549316406
2019-04-15,144.08999633789062
2019-04-16,144.9499969482422
2019-04-17,144.3800048828125
2019-04-18,146.10000610351562
2019-04-22,145.75999450683594
2019-04-23,148.1199951171875
2019-04-24,147.3800048828125
2019-04-25,143.61000061035156
2019-04-26,145.0800018310547
2019-04-29,146.60000610351562
2019-04-30,145.9499969482422
2019-05-01,144.2899932861328
2019-05-02,145.30999755859375
2019-05-03,148.86000061035156
2019-05-06,147.6199951171875
2019-05-07,145.10000610351562
2019-05-08,144.36000061035156
2019-05-09,143.27000427246094
2019-05-10,142.9600067138672
2019-05-13,137.9600067138672
2019-05-14,137.72999572753906
2019-05-15,137.9499969482422
2019-05-16,138.25999450683594
2019-05-17,135.22999572753906
2019-05-20,130.58999633789062
2019-05-21,133.86000061035156
2019-05-22,131.22999572753906
2019-05-23,128.72999572753906
2019-05-24,127.97000122070312
2019-05-28,126.9000015258789
2019-05-29,127.2300033569336
2019-05-30,127.26000213623048
2019-05-31,125.62000274658205
2019-06-03,125.6999969482422
2019-06-04,129.41000366210938
2019-06-05,130.8699951171875
2019-06-06,131.33999633789062
2019-06-07,132.33999633789062
2019-06-10,134.57000732421875
2019-06-11,133.5399932861328
2019-06-12,133.24000549316406
2019-06-13,133.85000610351562
2019-06-14,130.1199951171875
2019-06-17,129.27999877929688
2019-06-18,132.3800048828125
2019-06-19,133.0
2019-06-20,135.80999755859375
2019-06-21,135.72000122070312
2019-06-24,135.16000366210938
2019-06-25,134.5399932861328
2019-06-26,135.9499969482422
2019-06-27,138.69000244140625
2019-06-28,141.30999755859375
2019-07-01,141.6199951171875
2019-07-02,139.99000549316406
2019-07-03,140.83999633789062
2019-07-05,138.66000366210938
2019-07-08,136.3000030517578
2019-07-09,135.1699981689453
2019-07-10,134.44000244140625
2019-07-11,135.77999877929688
2019-07-12,138.8699951171875
2019-07-15,138.97999572753906
2019-07-16,139.8800048828125
2019-07-17,138.19000244140625
2019-07-18,136.80999755859375
2019-07-19,137.50999450683594
2019-07-22,138.38999938964844
2019-07-23,140.19000244140625
2019-07-24,143.0500030517578
2019-07-25,141.39999389648438
2019-07-26,141.8300018310547
2019-07-29,139.7100067138672
2019-07-30,142.52000427246094
2019-07-31,141.66000366210938
2019-08-01,138.52999877929688
2019-08-02,135.41000366210938
2019-08-05,132.0
2019-08-06,133.2899932861328
2019-08-07,134.47000122070312
2019-08-08,139.24000549316406
2019-08-09,138.27999877929688
2019-08-12,136.2100067138672
2019-08-13,138.8800048828125
2019-08-14,133.4499969482422
2019-08-15,132.27999877929688
2019-08-16,136.83999633789062
2019-08-19,137.1999969482422
2019-08-20,135.47999572753906
2019-08-21,133.05999755859375
2019-08-22,134.82000732421875
2019-08-23,130.83999633789062
2019-08-26,131.38999938964844
2019-08-27,132.94000244140625
2019-08-28,133.1999969482422
2019-08-29,135.5800018310547
2019-08-30,135.9600067138672
2019-09-03,131.7899932861328
2019-09-04,133.47000122070312
2019-09-05,138.74000549316406
2019-09-06,138.42999267578125
2019-09-09,142.32000732421875
2019-09-10,145.3699951171875
2019-09-11,147.4499969482422
2019-09-12,146.8000030517578
2019-09-13,146.25999450683594
2019-09-16,145.2899932861328
2019-09-17,145.89999389648438
2019-09-18,144.99000549316406
2019-09-19,145.3300018310547
2019-09-20,143.6999969482422
2019-09-23,145.2899932861328
2019-09-24,143.00999450683594
2019-09-25,145.22000122070312
2019-09-26,144.6300048828125
2019-09-27,144.27000427246094
2019-09-30,146.25999450683594
2019-10-01,141.92999267578125
2019-10-02,137.9499969482422
2019-10-03,138.3300018310547
2019-10-04,140.85000610351562
2019-10-07,141.0399932861328
2019-10-08,136.97000122070312
2019-10-09,137.75999450683594
2019-10-10,139.27000427246094
2019-10-11,142.88999938964844
2019-10-14,143.27000427246094
2019-10-15,144.8800048828125
2019-10-16,144.60000610351562
2019-10-17,145.2899932861328
2019-10-18,146.77000427246094
2019-10-21,150.08999633789062
2019-10-22,153.0500030517578
2019-10-23,153.77999877929688
2019-10-24,154.80999755859375
2019-10-25,154.24000549316406
2019-10-28,156.02000427246094
2019-10-29,157.97000122070312
2019-10-30,157.8300018310547
2019-10-31,156.80999755859375
2019-11-01,160.02000427246094
2019-11-04,162.50999450683594
2019-11-05,164.3699951171875
2019-11-06,162.55999755859375
2019-11-07,164.32000732421875
2019-11-08,163.19000244140625
2019-11-11,164.60000610351562
2019-11-12,164.4499969482422
2019-11-13,162.9600067138672
2019-11-14,162.63999938964844
2019-11-15,163.27000427246094
2019-11-18,164.47999572753906
2019-11-19,164.9199981689453
2019-11-20,164.4600067138672
2019-11-21,163.83999633789062
2019-11-22,164.3000030517578
2019-11-25,165.2100067138672
2019-11-26,166.17999267578125
2019-11-27,166.97999572753906
2019-11-29,165.8300018310547
2019-12-02,165.33999633789062
2019-12-03,164.0399932861328
2019-12-04,164.60000610351562
2019-12-05,165.97000122070312
2019-12-06,167.66000366210938
2019-12-09,166.25
2019-12-10,165.6300048828125
2019-12-11,167.0
2019-12-12,163.0
2019-12-13,161.52000427246094
2019-12-16,164.80999755859375
2019-12-17,166.83999633789062
2019-12-18,163.85000610351562
2019-12-19,163.64999389648438
2019-12-20,164.38999938964844
2019-12-23,163.88999938964844
2019-12-24,163.27999877929688
2019-12-26,162.86000061035156
2019-12-27,162.8000030517578
2019-12-30,163.36000061035156
2019-12-31,162.83999633789062
2020-01-02,165.22999572753906
2020-01-03,164.05999755859375
2020-01-06,163.60000610351562
2020-01-07,163.00999450683594
2020-01-08,162.17999267578125
2020-01-09,164.6300048828125
2020-01-10,163.61000061035156
2020-01-13,165.3699951171875
2020-01-14,165.08999633789062
2020-01-15,165.99000549316406
2020-01-16,168.3300018310547
2020-01-17,169.5
2020-01-21,168.7100067138672
2020-01-22,170.33999633789062
2020-01-23,172.2899932861328
2020-01-24,170.97999572753906
2020-01-27,173.00999450683594
2020-01-28,175.3300018310547
2020-01-29,173.97999572753906
2020-01-30,172.55999755859375
2020-01-31,168.86000061035156
2020-02-03,171.6699981689453
2020-02-04,178.02999877929688
2020-02-05,178.75999450683594
2020-02-06,177.61000061035156
