,ERIE
2016-03-04,96.26000213623048
2016-03-07,89.91999816894531
2016-03-08,90.80999755859376
2016-03-09,90.79000091552734
2016-03-10,90.02999877929688
2016-03-11,91.19000244140624
2016-03-14,90.18000030517578
2016-03-15,91.33000183105467
2016-03-16,90.69000244140624
2016-03-17,92.61000061035156
2016-03-18,93.45999908447266
2016-03-21,92.1500015258789
2016-03-22,92.58000183105467
2016-03-23,92.25
2016-03-24,91.62999725341795
2016-03-28,92.5199966430664
2016-03-29,93.62999725341795
2016-03-30,94.16000366210938
2016-03-31,92.98999786376952
2016-04-01,93.76000213623048
2016-04-04,92.7300033569336
2016-04-05,91.26000213623048
2016-04-06,91.80999755859376
2016-04-07,90.5999984741211
2016-04-08,91.37000274658205
2016-04-11,91.02999877929688
2016-04-12,91.66999816894533
2016-04-13,92.56999969482422
2016-04-14,92.25
2016-04-15,92.16999816894533
2016-04-18,93.81999969482422
2016-04-19,93.83999633789062
2016-04-20,93.62000274658205
2016-04-21,90.9499969482422
2016-04-22,91.77999877929688
2016-04-25,91.77999877929688
2016-04-26,91.91000366210938
2016-04-27,93.06999969482422
2016-04-28,91.4800033569336
2016-04-29,94.38999938964844
2016-05-02,94.7300033569336
2016-05-03,94.95999908447266
2016-05-04,94.81999969482422
2016-05-05,95.55999755859376
2016-05-06,94.58999633789062
2016-05-09,96.08000183105467
2016-05-10,96.16000366210938
2016-05-11,95.88999938964844
2016-05-12,97.12000274658205
2016-05-13,96.97000122070312
2016-05-16,96.6999969482422
2016-05-17,95.44000244140624
2016-05-18,96.02999877929688
2016-05-19,95.8499984741211
2016-05-20,96.91999816894533
2016-05-23,96.30999755859376
2016-05-24,97.2300033569336
2016-05-25,96.93000030517578
2016-05-26,97.18000030517578
2016-05-27,97.70999908447266
2016-05-31,97.9000015258789
2016-06-01,98.91999816894533
2016-06-02,98.83000183105467
2016-06-03,98.88999938964844
2016-06-06,98.66999816894533
2016-06-07,98.33999633789062
2016-06-08,98.33000183105467
2016-06-09,98.4000015258789
2016-06-10,97.81999969482422
2016-06-13,96.12999725341795
2016-06-14,95.69000244140624
2016-06-15,94.87999725341795
2016-06-16,95.4000015258789
2016-06-17,93.70999908447266
2016-06-20,96.5
2016-06-21,97.26000213623048
2016-06-22,97.62000274658205
2016-06-23,98.4800033569336
2016-06-24,96.86000061035156
2016-06-27,95.47000122070312
2016-06-28,97.30999755859376
2016-06-29,97.80999755859376
2016-06-30,99.33999633789062
2016-07-01,97.73999786376952
2016-07-05,97.88999938964844
2016-07-06,97.66000366210938
2016-07-07,97.20999908447266
2016-07-08,98.4800033569336
2016-07-11,98.83999633789062
2016-07-12,98.26000213623048
2016-07-13,98.45999908447266
2016-07-14,97.87999725341795
2016-07-15,97.69000244140624
2016-07-18,97.04000091552734
2016-07-19,96.87000274658205
2016-07-20,96.68000030517578
2016-07-21,96.75
2016-07-22,97.69000244140624
2016-07-25,97.33000183105467
2016-07-26,97.5999984741211
2016-07-27,97.9499969482422
2016-07-28,97.77999877929688
2016-07-29,97.69000244140624
2016-08-01,98.5999984741211
2016-08-02,99.5500030517578
2016-08-03,98.9000015258789
2016-08-04,99.20999908447266
2016-08-05,99.3000030517578
2016-08-08,99.61000061035156
2016-08-09,99.31999969482422
2016-08-10,99.0999984741211
2016-08-11,99.33999633789062
2016-08-12,99.20999908447266
2016-08-15,98.9800033569336
2016-08-16,98.12000274658205
2016-08-17,97.98999786376952
2016-08-18,98.87999725341795
2016-08-19,98.76000213623048
2016-08-22,99.16000366210938
2016-08-23,98.52999877929688
2016-08-24,99.12999725341795
2016-08-25,100.6500015258789
2016-08-26,100.7699966430664
2016-08-29,101.72000122070312
2016-08-30,102.0999984741211
2016-08-31,102.02999877929688
2016-09-01,102.4800033569336
2016-09-02,103.69000244140624
2016-09-06,102.4499969482422
2016-09-07,102.13999938964844
2016-09-08,101.47000122070312
2016-09-09,99.43000030517578
2016-09-12,99.56999969482422
2016-09-13,98.91000366210938
2016-09-14,97.08000183105467
2016-09-15,97.77999877929688
2016-09-16,98.29000091552734
2016-09-19,99.26000213623048
2016-09-20,99.0999984741211
2016-09-21,100.55999755859376
2016-09-22,101.33999633789062
2016-09-23,100.48999786376952
2016-09-26,100.37999725341795
2016-09-27,101.88999938964844
2016-09-28,101.8499984741211
2016-09-29,100.8000030517578
2016-09-30,102.06999969482422
2016-10-03,100.1999969482422
2016-10-04,99.70999908447266
2016-10-05,99.68000030517578
2016-10-06,99.38999938964844
2016-10-07,100.16000366210938
2016-10-10,100.04000091552734
2016-10-11,100.13999938964844
2016-10-12,101.62999725341795
2016-10-13,102.62999725341795
2016-10-14,103.04000091552734
2016-10-17,103.2300033569336
2016-10-18,104.72000122070312
2016-10-19,103.04000091552734
2016-10-20,101.91999816894533
2016-10-21,102.26000213623048
2016-10-24,102.58000183105467
2016-10-25,102.5999984741211
2016-10-26,101.9800033569336
2016-10-27,101.88999938964844
2016-10-28,101.36000061035156
2016-10-31,102.38999938964844
2016-11-01,103.0
2016-11-02,101.54000091552734
2016-11-03,101.41999816894533
2016-11-04,101.0999984741211
2016-11-07,101.77999877929688
2016-11-08,102.8000030517578
2016-11-09,103.4800033569336
2016-11-10,104.61000061035156
2016-11-11,106.54000091552734
2016-11-14,105.8499984741211
2016-11-15,105.23999786376952
2016-11-16,104.62999725341795
2016-11-17,105.70999908447266
2016-11-18,106.3000030517578
2016-11-21,105.88999938964844
2016-11-22,107.0199966430664
2016-11-23,108.5
2016-11-25,108.98999786376952
2016-11-28,108.26000213623048
2016-11-29,107.83999633789062
2016-11-30,107.16999816894533
2016-12-01,108.04000091552734
2016-12-02,108.3000030517578
2016-12-05,108.7300033569336
2016-12-06,109.91000366210938
2016-12-07,112.44000244140624
2016-12-08,114.48999786376952
2016-12-09,114.5999984741211
2016-12-12,113.83000183105467
2016-12-13,113.61000061035156
2016-12-14,112.75
2016-12-15,113.05999755859376
2016-12-16,111.5
2016-12-19,112.8499984741211
2016-12-20,112.12000274658205
2016-12-21,112.62000274658205
2016-12-22,113.06999969482422
2016-12-23,113.66000366210938
2016-12-27,113.41000366210938
2016-12-28,112.58000183105467
2016-12-29,113.47000122070312
2016-12-30,112.4499969482422
2017-01-03,111.93000030517578
2017-01-04,112.31999969482422
2017-01-05,111.9000015258789
2017-01-06,112.23999786376952
2017-01-09,111.30999755859376
2017-01-10,111.88999938964844
2017-01-11,111.58999633789062
2017-01-12,110.33999633789062
2017-01-13,110.4000015258789
2017-01-17,110.94000244140624
2017-01-18,111.56999969482422
2017-01-19,111.7300033569336
2017-01-20,112.4499969482422
2017-01-23,112.22000122070312
2017-01-24,112.4800033569336
2017-01-25,112.62999725341795
2017-01-26,112.5
2017-01-27,113.31999969482422
2017-01-30,113.04000091552734
2017-01-31,112.11000061035156
2017-02-01,111.55999755859376
2017-02-02,112.75
2017-02-03,112.9499969482422
2017-02-06,112.72000122070312
2017-02-07,113.52999877929688
2017-02-08,112.51000213623048
2017-02-09,113.52999877929688
2017-02-10,113.3000030517578
2017-02-13,114.0
2017-02-14,113.2300033569336
