,TT
2015-01-02,49.076805114746094
2015-01-05,48.22343063354492
2015-01-06,47.21489334106445
2015-01-07,47.47090911865234
2015-01-08,48.43289566040039
2015-01-09,47.90535354614258
2015-01-12,48.25445938110352
2015-01-13,48.01396560668945
2015-01-14,47.65710067749024
2015-01-15,47.75019454956055
2015-01-16,47.804500579833984
2015-01-20,48.38634490966797
2015-01-21,48.96819305419922
2015-01-22,50.224979400634766
2015-01-23,50.16291809082031
2015-01-26,50.68270111083984
2015-01-27,50.24049758911133
2015-01-28,49.53452301025391
2015-01-29,50.16291809082031
2015-01-30,51.51280212402344
2015-02-02,51.32661056518555
2015-02-03,52.32738494873047
2015-02-04,51.83087539672852
2015-02-05,51.85415267944336
2015-02-06,51.66020202636719
2015-02-09,51.51280212402344
2015-02-10,51.97052001953125
2015-02-11,51.71450805664063
2015-02-12,52.4670295715332
2015-02-13,52.51357650756836
2015-02-17,52.5678825378418
2015-02-18,52.68424987792969
2015-02-19,52.73080062866211
2015-02-20,53.38246536254883
2015-02-23,53.25058364868164
2015-02-24,53.33591842651367
2015-02-25,52.924747467041016
2015-02-26,52.70752334594727
2015-02-27,52.12567901611328
2015-03-02,52.58339691162109
2015-03-03,52.32738494873047
2015-03-04,51.97827911376953
2015-03-05,52.50581741333008
2015-03-06,51.869667053222656
2015-03-09,52.49030303955078
2015-03-10,51.38091659545898
2015-03-11,51.357643127441406
2015-03-12,52.28083801269531
2015-03-13,52.14895248413086
2015-03-16,53.21955108642578
2015-03-17,52.58339691162109
2015-03-18,53.17300033569336
2015-03-19,52.65322113037109
2015-03-20,52.916988372802734
2015-03-23,52.412723541259766
2015-03-24,52.71528244018555
2015-03-25,51.79984664916992
2015-03-26,52.342899322509766
2015-03-27,52.57564163208008
2015-03-30,53.10317993164063
2015-03-31,52.81613540649414
2015-04-01,52.017066955566406
2015-04-02,52.38945007324219
2015-04-06,52.63770294189453
2015-04-07,52.24980545043945
2015-04-08,52.373931884765625
2015-04-09,52.65322113037109
2015-04-10,53.2117919921875
2015-04-13,53.2971305847168
2015-04-14,53.20403289794922
2015-04-15,53.6772689819336
2015-04-16,53.37471008300781
2015-04-17,52.24204635620117
2015-04-20,52.50581741333008
2015-04-21,52.13343811035156
2015-04-22,52.35841751098633
2015-04-23,53.576416015625
2015-04-24,53.24282455444336
2015-04-27,53.24282455444336
2015-04-28,53.6772689819336
2015-04-29,52.4825439453125
2015-04-30,51.07835388183594
2015-05-01,51.861907958984375
2015-05-04,51.89294052124024
2015-05-05,51.07059860229492
2015-05-06,51.8386344909668
2015-05-07,52.08688735961914
2015-05-08,52.31962966918945
2015-05-11,52.110164642333984
2015-05-12,52.38169097900391
2015-05-13,52.84716796875
2015-05-14,54.44530487060547
2015-05-15,55.01163864135742
2015-05-18,54.69356155395508
2015-05-19,54.10395812988281
2015-05-20,53.79363632202149
2015-05-21,53.93328094482422
2015-05-22,53.73933410644531
2015-05-26,53.2117919921875
2015-05-27,53.93328094482422
2015-05-28,53.871219635009766
2015-05-29,53.35919189453125
2015-06-01,53.52210998535156
2015-06-02,53.71606063842773
2015-06-03,53.59968948364258
2015-06-04,53.56865692138672
2015-06-05,53.61520767211914
2015-06-08,53.2117919921875
2015-06-09,53.2273063659668
2015-06-10,53.6772689819336
2015-06-11,54.03413391113281
2015-06-12,54.197052001953125
2015-06-15,53.5609016418457
2015-06-16,53.576416015625
2015-06-17,53.51435089111328
2015-06-18,53.86346054077149
2015-06-19,53.52210998535156
2015-06-22,53.73933410644531
2015-06-23,53.42901611328125
2015-06-24,53.1962776184082
2015-06-25,52.88595962524414
2015-06-26,53.08766555786133
2015-06-29,52.42823791503906
2015-06-30,52.30411148071289
2015-07-01,52.443756103515625
2015-07-02,52.373931884765625
2015-07-06,52.00155258178711
2015-07-07,52.21101760864258
2015-07-08,51.34212493896485
2015-07-09,51.28006362915039
2015-07-10,51.52055740356445
2015-07-13,52.15671157836914
2015-07-14,52.32738494873047
2015-07-15,52.265323638916016
2015-07-16,52.50581741333008
2015-07-17,52.4670295715332
2015-07-20,53.34367752075195
2015-07-21,52.746315002441406
2015-07-22,52.90923309326172
2015-07-23,51.95500564575195
2015-07-24,51.202484130859375
2015-07-27,50.42668533325195
2015-07-28,47.09076690673828
2015-07-29,47.711402893066406
2015-07-30,47.40884399414063
2015-07-31,47.63382339477539
2015-08-03,46.95888137817383
2015-08-04,46.06671905517578
2015-08-05,46.51668167114258
2015-08-06,46.55546951293945
2015-08-07,46.741661071777344
2015-08-10,47.78898239135742
2015-08-11,47.37005233764648
2015-08-12,47.82001495361328
2015-08-13,47.618309020996094
2015-08-14,47.75019454956055
2015-08-17,48.19239807128906
2015-08-18,48.20791244506836
2015-08-19,47.26144409179688
2015-08-20,46.22963333129883
2015-08-21,44.82544708251953
2015-08-24,43.10317993164063
2015-08-25,42.13343811035156
2015-08-26,42.95578002929688
2015-08-27,43.39798355102539
2015-08-28,43.23506546020508
2015-08-31,42.89371490478516
2015-09-01,41.56710433959961
2015-09-02,42.07137298583984
2015-09-03,41.63692855834961
2015-09-04,40.99301910400391
2015-09-08,41.80760192871094
2015-09-09,42.09464645385742
2015-09-10,42.117919921875
2015-09-11,42.66873550415039
2015-09-14,42.63770294189453
2015-09-15,43.81691360473633
2015-09-16,44.29790496826172
2015-09-17,43.53762435913086
2015-09-18,42.62994766235352
2015-09-21,42.52133560180664
2015-09-22,41.8386344909668
2015-09-23,41.22575759887695
2015-09-24,40.85337448120117
2015-09-25,40.7447624206543
2015-09-28,39.54228210449219
2015-09-29,39.262996673583984
2015-09-30,39.38712310791016
2015-10-01,39.32505798339844
2015-10-02,39.86811447143555
2015-10-05,40.96974563598633
2015-10-06,41.36539840698242
2015-10-07,41.69898986816406
2015-10-08,42.56012344360352
2015-10-09,42.552364349365234
2015-10-12,42.342899322509766
2015-10-13,41.76105499267578
2015-10-14,41.48952865600586
2015-10-15,42.08688735961914
2015-10-16,41.58262252807617
2015-10-19,41.388671875
2015-10-20,42.14895248413086
2015-10-21,42.14119338989258
2015-10-22,43.18851852416992
2015-10-23,43.894493103027344
2015-10-26,44.07292556762695
2015-10-27,44.52288436889648
2015-10-28,45.50814437866211
2015-10-29,45.75640106201172
2015-10-30,45.9736213684082
2015-11-02,46.71062850952149
2015-11-03,46.40031051635742
2015-11-04,46.19084548950195
2015-11-05,46.47789001464844
2015-11-06,46.58650207519531
2015-11-09,45.88828659057617
2015-11-10,45.67106246948242
2015-11-11,45.64778900146485
2015-11-12,44.26687240600586
2015-11-13,44.11171340942383
2015-11-16,44.76338195800781
2015-11-17,44.41427612304688
2015-11-18,45.01939392089844
2015-11-19,45.51590347290039
2015-11-20,45.53917694091797
2015-11-23,45.3141975402832
2015-11-24,45.38401794433594
2015-11-25,45.39177703857422
2015-11-27,45.40729141235352
2015-11-30,45.51590347290039
2015-12-01,45.75640106201172
2015-12-02,45.02715301513672
2015-12-03,44.716835021972656
2015-12-04,45.3297119140625
2015-12-07,44.41427612304688
2015-12-08,42.948020935058594
2015-12-09,42.62994766235352
2015-12-10,42.58339691162109
2015-12-11,42.32738494873047
2015-12-14,42.017066955566406
2015-12-15,41.50504302978516
2015-12-16,42.17222595214844
2015-12-17,41.44297790527344
2015-12-18,40.82234191894531
2015-12-21,41.22575759887695
2015-12-22,42.07137298583984
2015-12-23,43.16524505615234
2015-12-24,43.15748596191406
2015-12-28,43.06439208984375
2015-12-29,43.62296295166016
2015-12-30,43.312644958496094
2015-12-31,42.89371490478516
2016-01-04,42.77734756469727
2016-01-05,42.31962966918945
2016-01-06,41.41970443725586
2016-01-07,40.18619155883789
2016-01-08,39.80604934692383
2016-01-11,39.93793487548828
2016-01-12,40.589603424072266
2016-01-13,39.86811447143555
2016-01-14,40.38789749145508
2016-01-15,40.139644622802734
2016-01-19,39.23971939086914
2016-01-20,37.95190048217773
2016-01-21,37.882080078125
2016-01-22,39.14662551879883
2016-01-25,37.87432098388672
2016-01-26,39.24747848510742
2016-01-27,38.805274963378906
2016-01-28,38.75096893310547
2016-01-29,39.93017959594727
2016-02-01,39.495731353759766
2016-02-02,37.85880661010742
2016-02-03,38.75096893310547
2016-02-04,39.79829406738281
2016-02-05,39.82932662963867
2016-02-08,38.37083053588867
2016-02-09,38.9061279296875
2016-02-10,38.440650939941406
2016-02-11,38.00620651245117
2016-02-12,39.81380844116211
2016-02-16,40.139644622802734
2016-02-17,40.69045639038086
2016-02-18,40.41893005371094
2016-02-19,40.35686492919922
2016-02-22,41.66020202636719
2016-02-23,41.44297790527344
2016-02-24,43.01784133911133
2016-02-25,43.824668884277344
2016-02-26,43.871219635009766
2016-02-29,43.10317993164063
2016-03-01,44.29790496826172
2016-03-02,44.39875793457031
2016-03-03,44.66252899169922
2016-03-04,44.55391693115234
2016-03-07,45.23661804199219
2016-03-08,44.375484466552734
2016-03-09,44.46082305908203
2016-03-10,44.53840255737305
2016-03-11,45.6089973449707
2016-03-14,45.84949493408203
2016-03-15,45.49263000488281
2016-03-16,45.94259262084961
2016-03-17,47.32350540161133
2016-03-18,47.85880661010742
2016-03-21,48.06051254272461
2016-03-22,47.76570892333984
2016-03-23,47.64158248901367
2016-03-24,47.54072952270508
2016-03-28,47.54072952270508
2016-03-29,48.15360641479492
2016-03-30,48.15360641479492
2016-03-31,48.107059478759766
2016-04-01,48.1613655090332
2016-04-04,47.65710067749024
2016-04-05,46.66408157348633
2016-04-06,46.45461654663086
2016-04-07,46.23739242553711
2016-04-08,46.81924057006836
2016-04-11,47.051979064941406
2016-04-12,47.67261505126953
2016-04-13,49.131107330322266
2016-04-14,49.40263748168945
2016-04-15,49.47245788574219
2016-04-18,49.57331466674805
2016-04-19,49.55779647827149
2016-04-20,49.3560905456543
2016-04-21,49.2862663269043
2016-04-22,49.99224090576172
2016-04-25,49.67416763305664
2016-04-26,50.729248046875
2016-04-27,51.24903106689453
2016-04-28,50.68270111083984
2016-04-29,50.84561538696289
2016-05-02,51.31109237670898
2016-05-03,51.202484130859375
2016-05-04,50.31031799316406
2016-05-05,50.31031799316406
2016-05-06,50.83786010742188
2016-05-09,50.620635986328125
2016-05-10,51.466251373291016
2016-05-11,51.15593338012695
2016-05-12,51.140419006347656
2016-05-13,50.88440704345703
2016-05-16,51.45849609375
2016-05-17,50.91543960571289
2016-05-18,50.581844329833984
2016-05-19,49.65864944458008
2016-05-20,49.80604934692383
