,APO
2015-01-02,23.56999969482422
2015-01-05,22.850000381469727
2015-01-06,22.1299991607666
2015-01-07,22.780000686645508
2015-01-08,23.81999969482422
2015-01-09,23.8700008392334
2015-01-12,23.440000534057617
2015-01-13,23.959999084472656
2015-01-14,24.100000381469727
2015-01-15,23.520000457763672
2015-01-16,23.950000762939453
2015-01-20,23.920000076293945
2015-01-21,24.229999542236328
2015-01-22,24.790000915527344
2015-01-23,24.6200008392334
2015-01-26,25.15999984741211
2015-01-27,25.26000022888184
2015-01-28,25.209999084472656
2015-01-29,25.049999237060547
2015-01-30,24.8700008392334
2015-02-02,24.84000015258789
2015-02-03,25.690000534057617
2015-02-04,25.15999984741211
2015-02-05,24.549999237060547
2015-02-06,24.299999237060547
2015-02-09,23.93000030517578
2015-02-10,23.76000022888184
2015-02-11,24.030000686645508
2015-02-12,23.34000015258789
2015-02-13,23.700000762939453
2015-02-17,23.68000030517578
2015-02-18,23.32999992370605
2015-02-19,23.479999542236328
2015-02-20,23.5
2015-02-23,23.01000022888184
2015-02-24,23.1200008392334
2015-02-25,23.530000686645508
2015-02-26,23.100000381469727
2015-02-27,23.31999969482422
2015-03-02,23.190000534057617
2015-03-03,23.200000762939453
2015-03-04,22.84000015258789
2015-03-05,22.700000762939453
2015-03-06,22.280000686645508
2015-03-09,21.84000015258789
2015-03-10,21.6200008392334
2015-03-11,22.01000022888184
2015-03-12,22.280000686645508
2015-03-13,22.530000686645508
2015-03-16,22.75
2015-03-17,22.290000915527344
2015-03-18,22.06999969482422
2015-03-19,22.190000534057617
2015-03-20,22.239999771118164
2015-03-23,22.09000015258789
2015-03-24,22.01000022888184
2015-03-25,21.76000022888184
2015-03-26,21.270000457763672
2015-03-27,21.06999969482422
2015-03-30,21.5
2015-03-31,21.600000381469727
2015-04-01,21.489999771118164
2015-04-02,21.489999771118164
2015-04-06,21.489999771118164
2015-04-07,21.40999984741211
2015-04-08,21.01000022888184
2015-04-09,21.040000915527344
2015-04-10,21.25
2015-04-13,21.3700008392334
2015-04-14,21.690000534057617
2015-04-15,21.93000030517578
2015-04-16,22.07999992370605
2015-04-17,22.059999465942383
2015-04-20,22.11000061035156
2015-04-21,21.920000076293945
2015-04-22,21.75
2015-04-23,21.75
2015-04-24,22.020000457763672
2015-04-27,22.270000457763672
2015-04-28,22.36000061035156
2015-04-29,22.559999465942383
2015-04-30,22.86000061035156
2015-05-01,22.8799991607666
