,WST
2015-01-02,52.15999984741211
2015-01-05,51.43999862670898
2015-01-06,50.560001373291016
2015-01-07,51.380001068115234
2015-01-08,52.38999938964844
2015-01-09,51.790000915527344
2015-01-12,51.880001068115234
2015-01-13,52.47999954223633
2015-01-14,51.630001068115234
2015-01-15,50.83000183105469
2015-01-16,51.86000061035156
2015-01-20,51.59999847412109
2015-01-21,51.0
2015-01-22,51.0
2015-01-23,50.70000076293945
2015-01-26,51.38999938964844
2015-01-27,50.7599983215332
2015-01-28,49.810001373291016
2015-01-29,50.18999862670898
2015-01-30,49.310001373291016
2015-02-02,49.18999862670898
2015-02-03,49.880001068115234
2015-02-04,50.119998931884766
2015-02-05,51.380001068115234
2015-02-06,50.970001220703125
2015-02-09,49.83000183105469
2015-02-10,50.59999847412109
2015-02-11,51.04999923706055
2015-02-12,50.77999877929688
2015-02-13,51.34999847412109
2015-02-17,51.52999877929688
2015-02-18,52.36000061035156
2015-02-19,53.650001525878906
2015-02-20,53.75
2015-02-23,54.13999938964844
2015-02-24,54.72999954223633
2015-02-25,54.90999984741211
2015-02-26,54.95000076293945
2015-02-27,54.720001220703125
2015-03-02,55.310001373291016
2015-03-03,54.709999084472656
2015-03-04,54.52000045776367
2015-03-05,54.790000915527344
2015-03-06,53.91999816894531
2015-03-09,54.27999877929688
2015-03-10,53.869998931884766
2015-03-11,54.15999984741211
2015-03-12,54.380001068115234
2015-03-13,54.209999084472656
2015-03-16,55.63999938964844
2015-03-17,55.91999816894531
2015-03-18,56.27999877929688
2015-03-19,56.7599983215332
2015-03-20,57.90999984741211
2015-03-23,57.90999984741211
2015-03-24,58.33000183105469
2015-03-25,57.90999984741211
2015-03-26,57.65999984741211
2015-03-27,58.36000061035156
2015-03-30,59.70000076293945
2015-03-31,60.209999084472656
2015-04-01,56.88999938964844
2015-04-02,56.68000030517578
2015-04-06,56.040000915527344
2015-04-07,55.88999938964844
2015-04-08,56.22999954223633
2015-04-09,56.04999923706055
2015-04-10,56.400001525878906
2015-04-13,56.56999969482422
2015-04-14,56.61000061035156
2015-04-15,56.91999816894531
2015-04-16,56.11000061035156
2015-04-17,55.58000183105469
2015-04-20,56.369998931884766
2015-04-21,56.56999969482422
2015-04-22,56.130001068115234
2015-04-23,56.59999847412109
2015-04-24,57.380001068115234
2015-04-27,55.93000030517578
2015-04-28,56.0099983215332
2015-04-29,55.33000183105469
2015-04-30,53.27999877929688
2015-05-01,53.61000061035156
2015-05-04,53.93000030517578
2015-05-05,53.09000015258789
2015-05-06,53.43999862670898
2015-05-07,53.959999084472656
2015-05-08,54.02999877929688
2015-05-11,53.97999954223633
2015-05-12,53.630001068115234
2015-05-13,53.900001525878906
2015-05-14,54.470001220703125
2015-05-15,54.20000076293945
2015-05-18,54.88999938964844
2015-05-19,54.72999954223633
2015-05-20,54.79999923706055
2015-05-21,54.68000030517578
2015-05-22,55.130001068115234
2015-05-26,54.0
2015-05-27,55.4900016784668
2015-05-28,54.959999084472656
2015-05-29,54.13999938964844
2015-06-01,54.70000076293945
2015-06-02,54.900001525878906
2015-06-03,56.27999877929688
2015-06-04,55.02999877929688
2015-06-05,55.43000030517578
2015-06-08,55.220001220703125
2015-06-09,55.2400016784668
2015-06-10,55.970001220703125
2015-06-11,56.08000183105469
2015-06-12,56.310001373291016
2015-06-15,55.68000030517578
2015-06-16,56.90999984741211
2015-06-17,56.91999816894531
2015-06-18,58.33000183105469
