,IRM
2015-01-02,38.959999084472656
2015-01-05,39.150001525878906
2015-01-06,39.5099983215332
2015-01-07,39.56999969482422
2015-01-08,40.29999923706055
2015-01-09,39.47999954223633
2015-01-12,39.31999969482422
2015-01-13,39.68999862670898
2015-01-14,40.0
2015-01-15,40.36000061035156
2015-01-16,40.33000183105469
2015-01-20,40.75
2015-01-21,39.900001525878906
2015-01-22,40.34000015258789
2015-01-23,40.75
2015-01-26,40.86000061035156
2015-01-27,40.36000061035156
2015-01-28,40.16999816894531
2015-01-29,40.66999816894531
2015-01-30,39.84000015258789
2015-02-02,39.66999816894531
2015-02-03,40.20000076293945
2015-02-04,40.54999923706055
2015-02-05,41.09000015258789
2015-02-06,40.90999984741211
2015-02-09,39.52999877929688
2015-02-10,39.75
2015-02-11,39.86000061035156
2015-02-12,40.470001220703125
2015-02-13,39.369998931884766
2015-02-17,39.08000183105469
2015-02-18,39.52999877929688
2015-02-19,38.83000183105469
2015-02-20,36.709999084472656
2015-02-23,36.290000915527344
2015-02-24,36.58000183105469
2015-02-25,36.47999954223633
2015-02-26,36.84999847412109
2015-02-27,36.75
2015-03-02,37.4900016784668
2015-03-03,37.38999938964844
2015-03-04,36.4900016784668
2015-03-05,36.59000015258789
2015-03-06,36.27999877929688
2015-03-09,36.560001373291016
2015-03-10,36.25
2015-03-11,35.970001220703125
2015-03-12,36.70000076293945
2015-03-13,36.869998931884766
2015-03-16,37.59999847412109
2015-03-17,37.7400016784668
2015-03-18,38.56999969482422
2015-03-19,38.27000045776367
2015-03-20,38.650001525878906
2015-03-23,38.33000183105469
2015-03-24,37.81999969482422
2015-03-25,36.43000030517578
2015-03-26,36.369998931884766
2015-03-27,36.63999938964844
2015-03-30,36.75
2015-03-31,36.47999954223633
2015-04-01,36.290000915527344
2015-04-02,37.150001525878906
2015-04-06,37.75
2015-04-07,36.790000915527344
2015-04-08,37.56999969482422
2015-04-09,37.369998931884766
2015-04-10,37.16999816894531
2015-04-13,36.93000030517578
2015-04-14,36.880001068115234
2015-04-15,36.40999984741211
2015-04-16,36.880001068115234
2015-04-17,36.880001068115234
2015-04-20,36.790000915527344
2015-04-21,36.4900016784668
2015-04-22,36.38999938964844
2015-04-23,36.5
2015-04-24,36.52000045776367
2015-04-27,36.2400016784668
2015-04-28,37.27999877929688
2015-04-29,35.400001525878906
2015-04-30,34.4900016784668
2015-05-01,34.599998474121094
2015-05-04,34.849998474121094
2015-05-05,34.209999084472656
2015-05-06,34.25
2015-05-07,34.93000030517578
2015-05-08,35.439998626708984
2015-05-11,35.66999816894531
2015-05-12,35.880001068115234
2015-05-13,36.13999938964844
2015-05-14,36.58000183105469
2015-05-15,36.9900016784668
2015-05-18,37.220001220703125
2015-05-19,37.59999847412109
2015-05-20,37.22999954223633
2015-05-21,36.72999954223633
2015-05-22,36.63999938964844
