,GEN
2015-01-02,25.59000015258789
2015-01-05,25.229999542236328
2015-01-06,24.84000015258789
2015-01-07,25.06999969482422
2015-01-08,25.530000686645508
2015-01-09,25.36000061035156
2015-01-12,25.290000915527344
2015-01-13,25.34000015258789
2015-01-14,25.209999084472656
2015-01-15,24.90999984741211
2015-01-16,25.6299991607666
2015-01-20,25.68000030517578
2015-01-21,25.6200008392334
2015-01-22,26.690000534057617
2015-01-23,26.649999618530277
2015-01-26,26.59000015258789
2015-01-27,25.940000534057617
2015-01-28,25.3799991607666
2015-01-29,25.600000381469727
2015-01-30,24.770000457763672
2015-02-02,24.940000534057617
2015-02-03,25.46999931335449
2015-02-04,25.600000381469727
2015-02-05,25.96999931335449
2015-02-06,24.780000686645508
2015-02-09,24.75
2015-02-10,25.239999771118164
2015-02-11,25.739999771118164
2015-02-12,26.149999618530277
2015-02-13,26.32999992370605
2015-02-17,26.0
2015-02-18,25.690000534057617
2015-02-19,25.600000381469727
2015-02-20,25.690000534057617
2015-02-23,25.43000030517578
2015-02-24,25.209999084472656
2015-02-25,25.489999771118164
2015-02-26,25.049999237060547
2015-02-27,25.15999984741211
2015-03-02,25.26000022888184
2015-03-03,24.76000022888184
2015-03-04,24.479999542236328
2015-03-05,24.63999938964844
2015-03-06,24.170000076293945
2015-03-09,24.479999542236328
2015-03-10,23.850000381469727
2015-03-11,23.459999084472656
2015-03-12,23.71999931335449
2015-03-13,23.36000061035156
2015-03-16,23.690000534057617
2015-03-17,23.770000457763672
2015-03-18,24.270000457763672
2015-03-19,24.01000022888184
2015-03-20,24.3799991607666
2015-03-23,24.40999984741211
2015-03-24,24.1200008392334
2015-03-25,23.309999465942383
2015-03-26,23.280000686645508
2015-03-27,23.36000061035156
2015-03-30,23.549999237060547
2015-03-31,23.3700008392334
2015-04-01,23.32999992370605
2015-04-02,23.549999237060547
2015-04-06,23.82999992370605
2015-04-07,23.799999237060547
2015-04-08,24.01000022888184
2015-04-09,24.229999542236328
2015-04-10,25.57999992370605
2015-04-13,24.13999938964844
2015-04-14,23.809999465942383
2015-04-15,23.790000915527344
2015-04-16,24.299999237060547
2015-04-17,24.239999771118164
