,WTW
2015-10-30,118.17218780517578
2015-11-02,120.052978515625
2015-11-03,119.01986694335938
2015-11-04,119.1523208618164
2015-11-05,119.947021484375
2015-11-06,116.92715454101562
2015-11-09,116.6887435913086
2015-11-10,116.7682113647461
2015-11-11,117.35099029541016
2015-11-12,116.10595703125
2015-11-13,116.0
2015-11-16,116.98013305664062
2015-11-17,117.32450103759766
2015-11-18,118.30463409423828
2015-11-19,119.89404296875
2015-11-20,121.05960083007812
2015-11-23,122.86092376708984
2015-11-24,122.67549896240234
2015-11-25,122.14569854736328
2015-11-27,122.19867706298828
2015-11-30,121.74834442138672
2015-12-01,121.69536590576172
2015-12-02,122.19867706298828
2015-12-03,120.47682189941406
2015-12-04,123.73509979248048
2015-12-07,123.04635620117188
2015-12-08,120.0
2015-12-09,118.86092376708984
2015-12-10,119.1258316040039
2015-12-11,123.62914276123048
2015-12-14,120.7682113647461
2015-12-15,122.06622314453124
2015-12-16,122.96688842773438
2015-12-17,122.19867706298828
2015-12-18,122.33112335205078
2015-12-21,122.70198822021484
2015-12-22,122.70198822021484
2015-12-23,123.8675537109375
2015-12-24,124.29138946533205
2015-12-28,124.6357650756836
2015-12-29,130.3046417236328
2015-12-30,129.6423797607422
2015-12-31,128.66224670410156
2016-01-04,124.98013305664062
2016-01-05,125.83999633789062
2016-01-06,125.83999633789062
2016-01-07,114.9499969482422
2016-01-08,116.62000274658205
2016-01-11,114.97000122070312
2016-01-12,115.5500030517578
2016-01-13,112.8499984741211
2016-01-14,114.37999725341795
2016-01-15,112.52999877929688
2016-01-19,110.37999725341795
2016-01-20,109.3000030517578
2016-01-21,110.0
2016-01-22,111.9499969482422
2016-01-25,110.12000274658205
2016-01-26,111.0
2016-01-27,110.70999908447266
2016-01-28,112.58000183105467
2016-01-29,114.47000122070312
2016-02-01,114.5
2016-02-02,110.55999755859376
2016-02-03,114.0500030517578
2016-02-04,115.70999908447266
2016-02-05,114.0199966430664
2016-02-08,111.16000366210938
2016-02-09,110.6500015258789
2016-02-10,107.5199966430664
2016-02-11,107.12999725341795
2016-02-12,107.83999633789062
2016-02-16,110.7699966430664
2016-02-17,111.23999786376952
2016-02-18,111.5999984741211
2016-02-19,110.33000183105467
2016-02-22,113.04000091552734
2016-02-23,111.88999938964844
2016-02-24,111.55999755859376
2016-02-25,112.87999725341795
2016-02-26,112.75
2016-02-29,113.31999969482422
2016-03-01,115.51000213623048
2016-03-02,116.77999877929688
2016-03-03,117.0
2016-03-04,117.19000244140624
2016-03-07,116.9499969482422
2016-03-08,116.70999908447266
2016-03-09,116.48999786376952
2016-03-10,116.81999969482422
2016-03-11,120.62000274658205
2016-03-14,120.62999725341795
2016-03-15,120.6999969482422
2016-03-16,120.81999969482422
2016-03-17,124.02999877929688
2016-03-18,121.2699966430664
2016-03-21,121.4499969482422
2016-03-22,121.47000122070312
2016-03-23,119.37999725341795
2016-03-24,119.41000366210938
2016-03-28,118.72000122070312
2016-03-29,117.9800033569336
2016-03-30,118.73999786376952
2016-03-31,118.66000366210938
2016-04-01,119.93000030517578
2016-04-04,117.6500015258789
2016-04-05,114.06999969482422
2016-04-06,115.47000122070312
2016-04-07,113.54000091552734
2016-04-08,113.41000366210938
2016-04-11,114.63999938964844
2016-04-12,115.79000091552734
2016-04-13,117.98999786376952
2016-04-14,117.72000122070312
2016-04-15,118.4499969482422
2016-04-18,121.26000213623048
2016-04-19,121.68000030517578
2016-04-20,122.30999755859376
2016-04-21,123.01000213623048
2016-04-22,123.79000091552734
2016-04-25,123.3000030517578
2016-04-26,124.4000015258789
2016-04-27,124.69000244140624
2016-04-28,124.1500015258789
2016-04-29,124.9000015258789
2016-05-02,125.95999908447266
2016-05-03,126.2699966430664
2016-05-04,126.55999755859376
2016-05-05,127.66000366210938
2016-05-06,121.55999755859376
2016-05-09,123.44000244140624
2016-05-10,125.51000213623048
2016-05-11,124.20999908447266
2016-05-12,123.88999938964844
2016-05-13,122.97000122070312
2016-05-16,123.91000366210938
2016-05-17,123.41000366210938
2016-05-18,125.2699966430664
2016-05-19,125.12000274658205
2016-05-20,125.56999969482422
2016-05-23,125.9499969482422
2016-05-24,126.62000274658205
2016-05-25,126.45999908447266
2016-05-26,126.61000061035156
2016-05-27,127.91000366210938
2016-05-31,128.02000427246094
2016-06-01,128.07000732421875
2016-06-02,128.75
2016-06-03,127.4800033569336
2016-06-06,127.68000030517578
2016-06-07,129.25
2016-06-08,129.02999877929688
2016-06-09,129.5800018310547
2016-06-10,127.01000213623048
2016-06-13,125.47000122070312
2016-06-14,124.95999908447266
2016-06-15,124.13999938964844
2016-06-16,124.83999633789062
2016-06-17,125.33000183105467
2016-06-20,126.2699966430664
2016-06-21,127.33000183105467
2016-06-22,126.48999786376952
2016-06-23,127.6500015258789
2016-06-24,117.01000213623048
2016-06-27,113.4000015258789
2016-06-28,117.55999755859376
2016-06-29,121.0
2016-06-30,124.30999755859376
2016-07-01,124.0
2016-07-05,123.4800033569336
2016-07-06,124.87000274658205
2016-07-07,124.44000244140624
2016-07-08,125.05999755859376
2016-07-11,125.5199966430664
2016-07-12,127.1999969482422
2016-07-13,126.41999816894533
2016-07-14,126.04000091552734
2016-07-15,124.58999633789062
2016-07-18,123.9800033569336
2016-07-19,124.16999816894533
2016-07-20,124.0
2016-07-21,123.33000183105467
2016-07-22,123.94000244140624
2016-07-25,124.0
2016-07-26,123.76000213623048
2016-07-27,124.2699966430664
2016-07-28,123.73999786376952
2016-07-29,123.62000274658205
2016-08-01,123.83999633789062
2016-08-02,123.16999816894533
2016-08-03,123.81999969482422
2016-08-04,124.08999633789062
2016-08-05,119.91999816894533
2016-08-08,120.58999633789062
