,LVS
2015-01-02,56.29999923706055
2015-01-05,54.7599983215332
2015-01-06,53.36000061035156
2015-01-07,55.119998931884766
2015-01-08,55.869998931884766
2015-01-09,55.11000061035156
2015-01-12,55.0099983215332
2015-01-13,55.45000076293945
2015-01-14,54.84999847412109
2015-01-15,54.84000015258789
2015-01-16,54.88999938964844
2015-01-20,53.20000076293945
2015-01-21,53.29999923706055
2015-01-22,53.970001220703125
2015-01-23,53.88999938964844
2015-01-26,56.79999923706055
2015-01-27,56.93000030517578
2015-01-28,56.02000045776367
2015-01-29,55.45000076293945
2015-01-30,54.369998931884766
2015-02-02,55.29999923706055
2015-02-03,57.72999954223633
2015-02-04,55.40999984741211
2015-02-05,56.06999969482422
2015-02-06,55.369998931884766
2015-02-09,55.720001220703125
2015-02-10,57.63999938964844
2015-02-11,56.77000045776367
2015-02-12,58.720001220703125
2015-02-13,60.43000030517578
2015-02-17,60.43000030517578
2015-02-18,60.560001373291016
2015-02-19,60.470001220703125
2015-02-20,60.34999847412109
2015-02-23,58.709999084472656
2015-02-24,56.150001525878906
2015-02-25,56.29999923706055
2015-02-26,56.70000076293945
2015-02-27,56.900001525878906
2015-03-02,57.09000015258789
2015-03-03,57.2400016784668
2015-03-04,57.0
2015-03-05,56.36000061035156
2015-03-06,55.09000015258789
2015-03-09,53.790000915527344
2015-03-10,52.52000045776367
2015-03-11,51.41999816894531
2015-03-12,51.91999816894531
2015-03-13,52.369998931884766
2015-03-16,52.90999984741211
2015-03-17,53.34000015258789
2015-03-18,54.79999923706055
2015-03-19,56.18000030517578
2015-03-20,56.040000915527344
2015-03-23,55.97999954223633
2015-03-24,55.68999862670898
2015-03-25,55.130001068115234
2015-03-26,54.68999862670898
2015-03-27,54.75
2015-03-30,55.290000915527344
2015-03-31,55.040000915527344
2015-04-01,54.970001220703125
2015-04-02,56.16999816894531
2015-04-06,56.84999847412109
2015-04-07,56.0099983215332
2015-04-08,56.93000030517578
2015-04-09,59.560001373291016
2015-04-10,59.290000915527344
2015-04-13,58.04999923706055
2015-04-14,55.79999923706055
2015-04-15,56.77000045776367
2015-04-16,56.220001220703125
2015-04-17,55.15999984741211
2015-04-20,56.34000015258789
2015-04-21,55.43999862670898
2015-04-22,56.38999938964844
2015-04-23,55.119998931884766
2015-04-24,55.25
2015-04-27,54.4900016784668
2015-04-28,55.38999938964844
2015-04-29,52.900001525878906
2015-04-30,52.880001068115234
