,FDXF
2026-05-27,151.0
2026-05-28,185.0
2026-05-29,160.3699951171875
2026-06-01,149.52999877929688
2026-06-02,153.33999633789062
2026-06-03,152.0
2026-06-04,157.7100067138672
2026-06-05,167.83999633789062
2026-06-08,178.77000427246094
2026-06-09,188.4600067138672
2026-06-10,175.35000610351562
2026-06-11,180.0
2026-06-12,174.75999450683594
