,LNT
2022-07-07,57.810001373291016
2022-07-08,57.34000015258789
2022-07-11,57.91999816894531
2022-07-12,57.81999969482422
2022-07-13,57.77000045776367
2022-07-14,57.880001068115234
2022-07-15,58.15999984741211
2022-07-18,56.810001373291016
2022-07-19,57.16999816894531
2022-07-20,56.41999816894531
2022-07-21,56.54999923706055
2022-07-22,57.43000030517578
2022-07-25,57.900001525878906
2022-07-26,58.650001525878906
2022-07-27,58.709999084472656
2022-07-28,60.02999877929688
2022-07-29,60.93000030517578
2022-08-01,60.900001525878906
2022-08-02,60.790000915527344
2022-08-03,61.27000045776367
2022-08-04,61.150001525878906
2022-08-05,61.27999877929688
2022-08-08,61.04999923706055
2022-08-09,61.84999847412109
2022-08-10,61.93999862670898
2022-08-11,61.63999938964844
2022-08-12,63.34999847412109
2022-08-15,63.84999847412109
2022-08-16,64.05999755859375
2022-08-17,64.26000213623047
2022-08-18,64.16999816894531
2022-08-19,64.04000091552734
2022-08-22,63.31999969482422
2022-08-23,62.79999923706055
2022-08-24,62.720001220703125
2022-08-25,63.11000061035156
2022-08-26,62.27000045776367
2022-08-29,62.5
2022-08-30,61.54999923706055
2022-08-31,61.040000915527344
2022-09-01,62.060001373291016
2022-09-02,61.4900016784668
2022-09-06,61.15999984741211
2022-09-07,63.11000061035156
2022-09-08,62.84000015258789
2022-09-09,63.06999969482422
2022-09-12,63.47999954223633
2022-09-13,61.41999816894531
2022-09-14,61.91999816894531
2022-09-15,60.22999954223633
2022-09-16,60.86000061035156
2022-09-19,61.88999938964844
2022-09-20,61.130001068115234
2022-09-21,60.290000915527344
2022-09-22,60.0099983215332
2022-09-23,59.52000045776367
2022-09-26,58.02999877929688
2022-09-27,56.84000015258789
2022-09-28,57.209999084472656
2022-09-29,54.540000915527344
2022-09-30,52.9900016784668
2022-10-03,54.33000183105469
2022-10-04,55.0099983215332
2022-10-05,53.04999923706055
2022-10-06,51.25
2022-10-07,49.650001525878906
2022-10-10,49.869998931884766
2022-10-11,50.27999877929688
2022-10-12,48.060001373291016
2022-10-13,49.4900016784668
2022-10-14,48.93000030517578
2022-10-17,49.7400016784668
2022-10-18,50.91999816894531
2022-10-19,50.34999847412109
2022-10-20,48.70000076293945
2022-10-21,49.7599983215332
2022-10-24,49.810001373291016
2022-10-25,50.720001220703125
2022-10-26,50.630001068115234
2022-10-27,50.900001525878906
2022-10-28,52.369998931884766
2022-10-31,52.16999816894531
2022-11-01,52.630001068115234
2022-11-02,52.119998931884766
2022-11-03,52.150001525878906
2022-11-04,52.72999954223633
2022-11-07,51.56999969482422
2022-11-08,52.97999954223633
2022-11-09,53.34000015258789
2022-11-10,55.52000045776367
2022-11-11,53.93000030517578
2022-11-14,53.31999969482422
2022-11-15,53.630001068115234
2022-11-16,54.5099983215332
2022-11-17,53.77000045776367
2022-11-18,55.2599983215332
2022-11-21,55.34000015258789
2022-11-22,55.41999816894531
2022-11-23,55.970001220703125
2022-11-25,56.45000076293945
2022-11-28,55.77999877929688
2022-11-29,55.06999969482422
2022-11-30,56.29999923706055
2022-12-01,55.52999877929688
2022-12-02,54.79999923706055
2022-12-05,54.540000915527344
2022-12-06,55.310001373291016
2022-12-07,54.5
2022-12-08,55.470001220703125
2022-12-09,55.310001373291016
2022-12-12,56.56999969482422
2022-12-13,56.41999816894531
2022-12-14,56.04999923706055
2022-12-15,55.38999938964844
2022-12-16,54.61000061035156
2022-12-19,54.290000915527344
2022-12-20,54.150001525878906
2022-12-21,55.08000183105469
2022-12-22,54.77000045776367
2022-12-23,55.29999923706055
2022-12-27,56.02999877929688
2022-12-28,55.209999084472656
2022-12-29,56.02999877929688
2022-12-30,55.209999084472656
2023-01-03,55.369998931884766
2023-01-04,55.790000915527344
2023-01-05,54.130001068115234
2023-01-06,55.34999847412109
2023-01-09,55.43999862670898
2023-01-10,54.970001220703125
2023-01-11,55.93999862670898
2023-01-12,55.79999923706055
2023-01-13,55.5099983215332
2023-01-17,55.08000183105469
2023-01-18,53.709999084472656
2023-01-19,53.209999084472656
2023-01-20,53.88999938964844
2023-01-23,53.880001068115234
2023-01-24,54.33000183105469
2023-01-25,54.40999984741211
2023-01-26,54.45000076293945
2023-01-27,54.41999816894531
2023-01-30,53.650001525878906
2023-01-31,54.02999877929688
2023-02-01,54.7400016784668
2023-02-02,54.7599983215332
2023-02-03,53.34000015258789
2023-02-06,53.93000030517578
2023-02-07,53.540000915527344
2023-02-08,52.619998931884766
2023-02-09,52.060001373291016
2023-02-10,53.22999954223633
2023-02-13,53.790000915527344
2023-02-14,53.290000915527344
2023-02-15,53.43999862670898
2023-02-16,53.13999938964844
2023-02-17,53.970001220703125
2023-02-21,53.34000015258789
2023-02-22,53.2599983215332
2023-02-23,52.9900016784668
2023-02-24,52.720001220703125
2023-02-27,51.459999084472656
2023-02-28,51.27000045776367
2023-03-01,50.25
2023-03-02,51.59000015258789
2023-03-03,52.06999969482422
2023-03-06,51.959999084472656
2023-03-07,50.9900016784668
2023-03-08,51.56999969482422
2023-03-09,51.2599983215332
2023-03-10,50.18999862670898
2023-03-13,51.47999954223633
2023-03-14,52.060001373291016
2023-03-15,53.09999847412109
2023-03-16,53.4900016784668
2023-03-17,53.16999816894531
2023-03-20,53.7599983215332
2023-03-21,52.0099983215332
2023-03-22,50.650001525878906
2023-03-23,50.040000915527344
2023-03-24,51.83000183105469
2023-03-27,51.31999969482422
2023-03-28,51.970001220703125
2023-03-29,52.81999969482422
2023-03-30,52.90999984741211
2023-03-31,53.400001525878906
2023-04-03,52.720001220703125
2023-04-04,52.93999862670898
2023-04-05,54.81999969482422
2023-04-06,55.04999923706055
2023-04-10,54.91999816894531
2023-04-11,55.060001373291016
2023-04-12,54.7400016784668
2023-04-13,54.790000915527344
2023-04-14,54.36000061035156
2023-04-17,54.720001220703125
2023-04-18,54.34000015258789
2023-04-19,55.290000915527344
2023-04-20,55.02999877929688
2023-04-21,55.290000915527344
2023-04-24,55.540000915527344
2023-04-25,55.75
2023-04-26,54.70000076293945
2023-04-27,55.09999847412109
2023-04-28,55.13999938964844
2023-05-01,55.290000915527344
2023-05-02,54.540000915527344
2023-05-03,54.43000030517578
2023-05-04,54.79999923706055
2023-05-05,55.11000061035156
2023-05-08,54.7599983215332
2023-05-09,54.400001525878906
2023-05-10,55.15999984741211
2023-05-11,54.59999847412109
2023-05-12,55.02999877929688
2023-05-15,54.0
2023-05-16,53.27000045776367
2023-05-17,52.7599983215332
2023-05-18,52.63999938964844
2023-05-19,52.61000061035156
2023-05-22,52.59000015258789
2023-05-23,52.43999862670898
2023-05-24,51.95000076293945
2023-05-25,51.060001373291016
2023-05-26,50.970001220703125
2023-05-30,51.0099983215332
2023-05-31,51.459999084472656
2023-06-01,50.90999984741211
2023-06-02,51.97999954223633
2023-06-05,52.27999877929688
2023-06-06,52.310001373291016
2023-06-07,53.400001525878906
2023-06-08,53.470001220703125
2023-06-09,53.22999954223633
2023-06-12,53.2599983215332
2023-06-13,53.08000183105469
2023-06-14,53.130001068115234
2023-06-15,53.75
2023-06-16,53.7400016784668
2023-06-20,52.959999084472656
2023-06-21,53.27000045776367
2023-06-22,52.72999954223633
2023-06-23,51.83000183105469
2023-06-26,52.970001220703125
2023-06-27,52.81999969482422
2023-06-28,51.79999923706055
2023-06-29,51.790000915527344
2023-06-30,52.47999954223633
2023-07-03,53.08000183105469
2023-07-05,53.58000183105469
2023-07-06,53.310001373291016
2023-07-07,52.630001068115234
2023-07-10,52.040000915527344
2023-07-11,52.95000076293945
2023-07-12,53.84999847412109
2023-07-13,54.27999877929688
2023-07-14,54.15999984741211
2023-07-17,53.29999923706055
2023-07-18,53.0099983215332
2023-07-19,53.709999084472656
2023-07-20,54.77999877929688
2023-07-21,55.7400016784668
2023-07-24,55.54999923706055
2023-07-25,55.560001373291016
2023-07-26,55.65999984741211
2023-07-27,54.52999877929688
2023-07-28,53.88999938964844
2023-07-31,53.7400016784668
