,KKR
2015-01-02,23.489999771118164
2015-01-05,23.34000015258789
2015-01-06,23.11000061035156
2015-01-07,23.540000915527344
2015-01-08,23.399999618530277
2015-01-09,23.739999771118164
2015-01-12,23.46999931335449
2015-01-13,23.71999931335449
2015-01-14,23.239999771118164
2015-01-15,22.809999465942383
2015-01-16,22.950000762939453
2015-01-20,23.26000022888184
2015-01-21,23.450000762939453
2015-01-22,24.020000457763672
2015-01-23,24.26000022888184
2015-01-26,24.61000061035156
2015-01-27,24.6200008392334
2015-01-28,24.38999938964844
2015-01-29,24.270000457763672
2015-01-30,24.01000022888184
2015-02-02,24.049999237060547
2015-02-03,24.40999984741211
2015-02-04,24.270000457763672
2015-02-05,24.690000534057617
2015-02-06,24.71999931335449
2015-02-09,24.979999542236328
2015-02-10,24.270000457763672
2015-02-11,24.270000457763672
2015-02-12,24.36000061035156
2015-02-13,24.420000076293945
2015-02-17,24.36000061035156
2015-02-18,24.030000686645508
2015-02-19,24.200000762939453
2015-02-20,24.239999771118164
2015-02-23,23.96999931335449
2015-02-24,23.809999465942383
2015-02-25,23.559999465942383
2015-02-26,23.489999771118164
2015-02-27,22.850000381469727
2015-03-02,23.600000381469727
2015-03-03,23.46999931335449
2015-03-04,23.770000457763672
2015-03-05,23.670000076293945
2015-03-06,23.709999084472656
2015-03-09,23.270000457763672
2015-03-10,22.81999969482422
2015-03-11,22.8700008392334
2015-03-12,23.030000686645508
2015-03-13,22.8700008392334
2015-03-16,22.950000762939453
2015-03-17,23.01000022888184
2015-03-18,22.959999084472656
2015-03-19,22.809999465942383
2015-03-20,23.1200008392334
2015-03-23,23.1200008392334
2015-03-24,23.020000457763672
2015-03-25,22.82999992370605
2015-03-26,22.59000015258789
2015-03-27,22.649999618530277
2015-03-30,22.770000457763672
2015-03-31,22.809999465942383
2015-04-01,23.07999992370605
2015-04-02,22.950000762939453
2015-04-06,22.850000381469727
2015-04-07,22.61000061035156
2015-04-08,22.51000022888184
2015-04-09,22.479999542236328
2015-04-10,22.700000762939453
2015-04-13,22.8700008392334
2015-04-14,22.790000915527344
2015-04-15,22.93000030517578
2015-04-16,23.36000061035156
2015-04-17,23.11000061035156
2015-04-20,23.200000762939453
2015-04-21,23.15999984741211
2015-04-22,23.3700008392334
2015-04-23,23.540000915527344
2015-04-24,23.38999938964844
2015-04-27,23.270000457763672
2015-04-28,23.31999969482422
2015-04-29,23.239999771118164
2015-04-30,22.51000022888184
2015-05-01,22.6200008392334
2015-05-04,22.770000457763672
2015-05-05,22.81999969482422
2015-05-06,22.670000076293945
2015-05-07,22.5
2015-05-08,22.6200008392334
2015-05-11,22.649999618530277
2015-05-12,22.68000030517578
2015-05-13,22.770000457763672
2015-05-14,22.90999984741211
2015-05-15,23.01000022888184
2015-05-18,23.1200008392334
2015-05-19,23.1200008392334
2015-05-20,23.0
2015-05-21,22.979999542236328
2015-05-22,22.940000534057617
2015-05-26,22.93000030517578
2015-05-27,22.979999542236328
2015-05-28,23.0
2015-05-29,22.950000762939453
2015-06-01,22.8700008392334
2015-06-02,22.920000076293945
2015-06-03,23.190000534057617
2015-06-04,23.209999084472656
2015-06-05,23.25
2015-06-08,23.06999969482422
2015-06-09,22.850000381469727
2015-06-10,23.049999237060547
2015-06-11,23.309999465942383
2015-06-12,23.100000381469727
2015-06-15,22.96999931335449
2015-06-16,22.90999984741211
2015-06-17,22.790000915527344
2015-06-18,23.01000022888184
2015-06-19,23.0
2015-06-22,23.1299991607666
2015-06-23,23.280000686645508
2015-06-24,23.290000915527344
2015-06-25,23.26000022888184
2015-06-26,23.09000015258789
2015-06-29,22.790000915527344
2015-06-30,22.850000381469727
2015-07-01,23.030000686645508
2015-07-02,23.270000457763672
2015-07-06,23.149999618530277
2015-07-07,23.07999992370605
2015-07-08,22.420000076293945
2015-07-09,22.809999465942383
2015-07-10,23.170000076293945
2015-07-13,23.51000022888184
2015-07-14,23.81999969482422
2015-07-15,24.040000915527344
2015-07-16,24.13999938964844
2015-07-17,24.149999618530277
2015-07-20,23.76000022888184
2015-07-21,24.200000762939453
2015-07-22,24.09000015258789
2015-07-23,24.270000457763672
2015-07-24,24.1200008392334
2015-07-27,23.75
2015-07-28,24.200000762939453
2015-07-29,24.600000381469727
2015-07-30,24.040000915527344
2015-07-31,23.899999618530277
2015-08-03,23.989999771118164
2015-08-04,23.940000534057617
2015-08-05,23.799999237060547
2015-08-06,23.25
2015-08-07,23.0
2015-08-10,23.270000457763672
2015-08-11,22.780000686645508
2015-08-12,22.63999938964844
2015-08-13,22.739999771118164
2015-08-14,22.86000061035156
2015-08-17,22.190000534057617
2015-08-18,21.899999618530277
2015-08-19,21.5
2015-08-20,20.270000457763672
2015-08-21,19.549999237060547
2015-08-24,18.690000534057617
2015-08-25,18.899999618530277
2015-08-26,19.549999237060547
2015-08-27,20.34000015258789
2015-08-28,19.90999984741211
2015-08-31,19.09000015258789
2015-09-01,18.520000457763672
2015-09-02,18.520000457763672
2015-09-03,18.940000534057617
2015-09-04,18.739999771118164
2015-09-08,19.479999542236328
2015-09-09,18.90999984741211
2015-09-10,18.3700008392334
2015-09-11,18.5
2015-09-14,18.399999618530277
2015-09-15,18.88999938964844
2015-09-16,18.959999084472656
2015-09-17,19.459999084472656
2015-09-18,18.84000015258789
