,RVTY
2015-01-02,44.09000015258789
2015-01-05,43.04999923706055
2015-01-06,42.65999984741211
2015-01-07,42.91999816894531
2015-01-08,44.0
2015-01-09,43.54999923706055
2015-01-12,43.43999862670898
2015-01-13,43.38999938964844
2015-01-14,42.95000076293945
2015-01-15,42.79999923706055
2015-01-16,43.369998931884766
2015-01-20,43.02999877929688
2015-01-21,43.38999938964844
2015-01-22,43.84000015258789
2015-01-23,44.290000915527344
2015-01-26,44.43999862670898
2015-01-27,43.93999862670898
2015-01-28,44.4900016784668
2015-01-29,44.86000061035156
2015-01-30,45.709999084472656
2015-02-02,45.59000015258789
2015-02-03,46.83000183105469
2015-02-04,45.9900016784668
2015-02-05,46.59000015258789
2015-02-06,45.97999954223633
2015-02-09,45.47999954223633
2015-02-10,45.869998931884766
2015-02-11,45.93000030517578
2015-02-12,46.400001525878906
2015-02-13,46.29999923706055
2015-02-17,46.31999969482422
2015-02-18,46.369998931884766
2015-02-19,45.93000030517578
2015-02-20,46.56999969482422
2015-02-23,46.7599983215332
2015-02-24,47.18000030517578
2015-02-25,46.959999084472656
2015-02-26,47.0
2015-02-27,47.0
2015-03-02,47.150001525878906
2015-03-03,46.900001525878906
2015-03-04,46.5
2015-03-05,47.27999877929688
2015-03-06,46.56999969482422
2015-03-09,46.45000076293945
2015-03-10,46.22999954223633
2015-03-11,46.75
2015-03-12,47.2400016784668
2015-03-13,47.45000076293945
2015-03-16,48.29999923706055
2015-03-17,48.52999877929688
2015-03-18,49.290000915527344
2015-03-19,49.84999847412109
2015-03-20,50.209999084472656
2015-03-23,50.4900016784668
2015-03-24,50.5099983215332
2015-03-25,50.5
2015-03-26,50.5099983215332
2015-03-27,51.09000015258789
2015-03-30,51.470001220703125
2015-03-31,51.13999938964844
2015-04-01,50.59999847412109
2015-04-02,50.75
2015-04-06,50.880001068115234
2015-04-07,50.54999923706055
2015-04-08,51.209999084472656
2015-04-09,51.25
2015-04-10,51.540000915527344
2015-04-13,51.54999923706055
2015-04-14,51.16999816894531
2015-04-15,51.36000061035156
2015-04-16,51.43000030517578
2015-04-17,50.9900016784668
2015-04-20,51.5099983215332
2015-04-21,51.709999084472656
2015-04-22,51.68999862670898
2015-04-23,51.56999969482422
2015-04-24,51.650001525878906
2015-04-27,51.540000915527344
2015-04-28,51.7599983215332
2015-04-29,51.7599983215332
2015-04-30,51.2599983215332
2015-05-01,52.54999923706055
2015-05-04,52.060001373291016
2015-05-05,51.209999084472656
2015-05-06,50.29999923706055
2015-05-07,50.45000076293945
2015-05-08,50.75
2015-05-11,51.119998931884766
2015-05-12,51.0
2015-05-13,51.27000045776367
2015-05-14,51.77999877929688
2015-05-15,52.15999984741211
2015-05-18,52.34999847412109
2015-05-19,52.810001373291016
2015-05-20,53.58000183105469
2015-05-21,53.38999938964844
2015-05-22,53.38999938964844
2015-05-26,52.7400016784668
2015-05-27,53.459999084472656
2015-05-28,53.09000015258789
2015-05-29,52.72999954223633
2015-06-01,52.56999969482422
2015-06-02,52.61000061035156
2015-06-03,52.84999847412109
2015-06-04,52.45000076293945
2015-06-05,52.380001068115234
2015-06-08,52.04999923706055
2015-06-09,51.7400016784668
2015-06-10,52.59999847412109
2015-06-11,52.7400016784668
2015-06-12,52.060001373291016
2015-06-15,52.040000915527344
2015-06-16,52.470001220703125
2015-06-17,53.06999969482422
2015-06-18,53.880001068115234
2015-06-19,53.900001525878906
