,ARES
2015-01-02,16.790000915527344
2015-01-05,16.799999237060547
2015-01-06,16.530000686645508
2015-01-07,16.84000015258789
2015-01-08,17.559999465942383
2015-01-09,17.719999313354492
2015-01-12,17.450000762939453
2015-01-13,17.43000030517578
2015-01-14,17.350000381469727
2015-01-15,17.559999465942383
2015-01-16,17.8700008392334
2015-01-20,18.15999984741211
2015-01-21,18.1200008392334
2015-01-22,18.200000762939453
2015-01-23,18.75
2015-01-26,19.61000061035156
2015-01-27,19.51000022888184
2015-01-28,19.350000381469727
2015-01-29,19.18000030517578
2015-01-30,18.989999771118164
2015-02-02,19.030000686645508
2015-02-03,19.1200008392334
2015-02-04,18.88999938964844
2015-02-05,18.6200008392334
2015-02-06,18.350000381469727
2015-02-09,18.5
2015-02-10,18.540000915527344
2015-02-11,18.559999465942383
2015-02-12,18.690000534057617
2015-02-13,19.350000381469727
2015-02-17,19.690000534057617
2015-02-18,19.43000030517578
2015-02-19,19.540000915527344
2015-02-20,19.700000762939453
2015-02-23,19.600000381469727
2015-02-24,19.64999961853028
2015-02-25,19.770000457763672
2015-02-26,19.86000061035156
2015-02-27,20.299999237060547
2015-03-02,20.56999969482422
2015-03-03,20.31999969482422
2015-03-04,20.3799991607666
2015-03-05,20.030000686645508
2015-03-06,19.65999984741211
2015-03-09,19.600000381469727
2015-03-10,19.8700008392334
2015-03-11,19.6200008392334
2015-03-12,19.270000457763672
2015-03-13,19.1299991607666
2015-03-16,18.3799991607666
2015-03-17,18.549999237060547
2015-03-18,18.59000015258789
2015-03-19,18.100000381469727
2015-03-20,18.270000457763672
2015-03-23,18.350000381469727
2015-03-24,18.350000381469727
2015-03-25,18.170000076293945
2015-03-26,18.1299991607666
2015-03-27,18.1200008392334
2015-03-30,18.290000915527344
2015-03-31,18.540000915527344
2015-04-01,18.18000030517578
2015-04-02,18.059999465942383
2015-04-06,17.90999984741211
2015-04-07,17.90999984741211
2015-04-08,17.760000228881836
2015-04-09,17.719999313354492
2015-04-10,18.200000762939453
2015-04-13,18.14999961853028
2015-04-14,17.6299991607666
2015-04-15,17.81999969482422
2015-04-16,17.8700008392334
2015-04-17,17.65999984741211
2015-04-20,17.5
2015-04-21,17.670000076293945
2015-04-22,17.6200008392334
2015-04-23,18.43000030517578
2015-04-24,18.239999771118164
2015-04-27,17.860000610351562
2015-04-28,17.75
2015-04-29,18.21999931335449
2015-04-30,18.11000061035156
2015-05-01,18.010000228881836
2015-05-04,18.489999771118164
2015-05-05,18.600000381469727
2015-05-06,18.600000381469727
2015-05-07,18.739999771118164
2015-05-08,18.82999992370605
2015-05-11,19.0
2015-05-12,18.8700008392334
2015-05-13,19.270000457763672
2015-05-14,19.700000762939453
2015-05-15,19.68000030517578
2015-05-18,19.450000762939453
2015-05-19,19.46999931335449
2015-05-20,19.489999771118164
2015-05-21,19.84000015258789
2015-05-22,19.700000762939453
2015-05-26,19.57999992370605
2015-05-27,19.700000762939453
2015-05-28,19.940000534057617
2015-05-29,19.489999771118164
2015-06-01,19.75
2015-06-02,19.40999984741211
2015-06-03,19.39999961853028
2015-06-04,19.170000076293945
2015-06-05,19.1200008392334
2015-06-08,19.020000457763672
2015-06-09,18.989999771118164
2015-06-10,19.280000686645508
2015-06-11,20.209999084472656
2015-06-12,20.420000076293945
2015-06-15,20.64999961853028
2015-06-16,20.40999984741211
2015-06-17,20.049999237060547
2015-06-18,20.07999992370605
2015-06-19,19.950000762939453
2015-06-22,19.559999465942383
2015-06-23,19.51000022888184
2015-06-24,19.200000762939453
2015-06-25,18.780000686645508
2015-06-26,18.850000381469727
2015-06-29,18.540000915527344
2015-06-30,18.5
2015-07-01,18.71999931335449
2015-07-02,19.09000015258789
2015-07-06,19.0
2015-07-07,18.670000076293945
2015-07-08,18.36000061035156
2015-07-09,18.5
2015-07-10,18.559999465942383
2015-07-13,18.6200008392334
2015-07-14,18.540000915527344
2015-07-15,18.5
2015-07-16,18.940000534057617
2015-07-17,19.030000686645508
2015-07-20,19.950000762939453
2015-07-21,20.01000022888184
2015-07-22,19.540000915527344
2015-07-23,19.690000534057617
2015-07-24,19.940000534057617
2015-07-27,19.450000762939453
2015-07-28,19.479999542236328
2015-07-29,19.39999961853028
2015-07-30,19.030000686645508
2015-07-31,18.979999542236328
2015-08-03,18.709999084472656
2015-08-04,19.21999931335449
2015-08-05,18.600000381469727
2015-08-06,19.0
2015-08-07,19.040000915527344
2015-08-10,19.049999237060547
2015-08-11,19.06999969482422
2015-08-12,19.01000022888184
2015-08-13,18.790000915527344
2015-08-14,18.690000534057617
2015-08-17,18.5
2015-08-18,18.559999465942383
2015-08-19,18.440000534057617
2015-08-20,17.25
2015-08-21,17.350000381469727
2015-08-24,16.81999969482422
2015-08-25,16.280000686645508
2015-08-26,16.299999237060547
2015-08-27,16.739999771118164
2015-08-28,17.34000015258789
2015-08-31,17.25
2015-09-01,16.90999984741211
2015-09-02,16.959999084472656
2015-09-03,17.0
2015-09-04,17.09000015258789
2015-09-08,17.0
2015-09-09,17.030000686645508
2015-09-10,17.059999465942383
2015-09-11,17.31999969482422
2015-09-14,17.389999389648438
2015-09-15,17.700000762939453
2015-09-16,17.829999923706055
2015-09-17,18.25
2015-09-18,18.76000022888184
2015-09-21,18.8799991607666
2015-09-22,18.270000457763672
2015-09-23,19.459999084472656
2015-09-24,18.8700008392334
2015-09-25,17.899999618530273
2015-09-28,18.14999961853028
2015-09-29,17.969999313354492
2015-09-30,17.479999542236328
2015-10-01,17.719999313354492
2015-10-02,17.395000457763672
2015-10-05,17.559999465942383
2015-10-06,17.25
2015-10-07,17.334999084472656
2015-10-08,17.329999923706055
2015-10-09,17.18000030517578
2015-10-12,17.010000228881836
2015-10-13,16.93000030517578
2015-10-14,16.670000076293945
2015-10-15,16.700000762939453
2015-10-16,16.979999542236328
2015-10-19,16.760000228881836
2015-10-20,16.770000457763672
2015-10-21,16.530000686645508
2015-10-22,16.040000915527344
2015-10-23,16.290000915527344
2015-10-26,16.09000015258789
2015-10-27,16.139999389648438
2015-10-28,16.25
2015-10-29,16.059999465942383
2015-10-30,16.190000534057617
2015-11-02,16.170000076293945
2015-11-03,16.18000030517578
2015-11-04,15.90999984741211
2015-11-05,16.0
2015-11-06,16.31999969482422
2015-11-09,16.670000076293945
2015-11-10,16.170000076293945
2015-11-11,16.149999618530273
2015-11-12,15.609999656677246
2015-11-13,14.670000076293944
2015-11-16,14.460000038146973
2015-11-17,14.170000076293944
2015-11-18,13.729999542236328
2015-11-19,13.8100004196167
2015-11-20,14.0
2015-11-23,13.949999809265137
2015-11-24,13.970000267028809
2015-11-25,14.09000015258789
2015-11-27,14.109999656677246
2015-11-30,14.06999969482422
2015-12-01,14.100000381469728
2015-12-02,14.199999809265137
2015-12-03,13.979999542236328
2015-12-04,13.899999618530272
2015-12-07,13.619999885559082
2015-12-08,13.670000076293944
2015-12-09,13.5
2015-12-10,13.960000038146973
2015-12-11,13.550000190734863
2015-12-14,12.460000038146973
2015-12-15,12.65999984741211
2015-12-16,12.84000015258789
2015-12-17,12.960000038146973
2015-12-18,12.859999656677246
2015-12-21,12.869999885559082
2015-12-22,13.220000267028809
2015-12-23,13.34000015258789
2015-12-24,12.949999809265137
2015-12-28,13.0
2015-12-29,12.8100004196167
2015-12-30,12.90999984741211
2015-12-31,12.93000030517578
2016-01-04,12.8100004196167
2016-01-05,12.6899995803833
2016-01-06,11.979999542236328
2016-01-07,11.8100004196167
2016-01-08,11.720000267028809
2016-01-11,11.68000030517578
2016-01-12,11.470000267028809
2016-01-13,11.470000267028809
2016-01-14,11.25
2016-01-15,10.90999984741211
2016-01-19,11.210000038146973
2016-01-20,11.25
2016-01-21,11.109999656677246
2016-01-22,11.520000457763672
2016-01-25,11.350000381469728
2016-01-26,11.710000038146973
2016-01-27,11.93000030517578
2016-01-28,11.65999984741211
2016-01-29,11.760000228881836
2016-02-01,11.239999771118164
2016-02-02,11.09000015258789
2016-02-03,11.100000381469728
2016-02-04,11.140000343322754
2016-02-05,11.050000190734863
2016-02-08,11.06999969482422
2016-02-09,10.949999809265137
2016-02-10,10.93000030517578
2016-02-11,10.970000267028809
2016-02-12,11.68000030517578
2016-02-16,12.050000190734863
2016-02-17,11.960000038146973
2016-02-18,11.850000381469728
2016-02-19,11.59000015258789
2016-02-22,11.630000114440918
2016-02-23,11.470000267028809
2016-02-24,11.5
2016-02-25,11.619999885559082
2016-02-26,12.079999923706056
2016-02-29,11.899999618530272
2016-03-01,12.109999656677246
2016-03-02,12.479999542236328
2016-03-03,12.449999809265137
2016-03-04,12.710000038146973
2016-03-07,12.579999923706056
2016-03-08,12.270000457763672
2016-03-09,13.0
2016-03-10,13.3100004196167
2016-03-11,13.720000267028809
2016-03-14,14.1899995803833
2016-03-15,14.0
2016-03-16,13.760000228881836
2016-03-17,13.869999885559082
2016-03-18,13.859999656677246
2016-03-21,13.970000267028809
2016-03-22,14.06999969482422
2016-03-23,13.699999809265137
2016-03-24,14.140000343322754
2016-03-28,14.239999771118164
2016-03-29,15.079999923706056
2016-03-30,15.239999771118164
2016-03-31,15.399999618530272
2016-04-01,15.300000190734863
2016-04-04,15.09000015258789
2016-04-05,14.869999885559082
2016-04-06,14.520000457763672
2016-04-07,14.670000076293944
2016-04-08,14.65999984741211
2016-04-11,14.59000015258789
2016-04-12,14.81999969482422
2016-04-13,14.699999809265137
2016-04-14,14.789999961853027
2016-04-15,14.880000114440918
2016-04-18,15.4399995803833
2016-04-19,15.3100004196167
2016-04-20,15.5
2016-04-21,15.149999618530272
2016-04-22,15.029999732971191
2016-04-25,15.329999923706056
2016-04-26,15.539999961853027
2016-04-27,15.420000076293944
2016-04-28,15.0600004196167
2016-04-29,14.510000228881836
2016-05-02,14.920000076293944
2016-05-03,14.739999771118164
2016-05-04,14.210000038146973
2016-05-05,14.119999885559082
2016-05-06,14.149999618530272
2016-05-09,14.199999809265137
2016-05-10,14.140000343322754
2016-05-11,13.989999771118164
2016-05-12,13.899999618530272
2016-05-13,13.539999961853027
2016-05-16,13.5
2016-05-17,13.699999809265137
