,CASY
2021-10-15,187.42999267578125
2021-10-18,188.82000732421875
2021-10-19,190.22999572753903
2021-10-20,190.3800048828125
2021-10-21,190.97999572753903
2021-10-22,191.88999938964844
2021-10-25,193.4900054931641
2021-10-26,187.97000122070312
2021-10-27,188.9600067138672
2021-10-28,188.5
2021-10-29,191.5399932861328
2021-11-01,193.4499969482422
2021-11-02,192.3600006103516
2021-11-03,199.7700042724609
2021-11-04,198.8999938964844
2021-11-05,201.509994506836
2021-11-08,201.3600006103516
2021-11-09,201.92999267578125
2021-11-10,200.08999633789065
2021-11-11,200.97999572753903
2021-11-12,199.4900054931641
2021-11-15,198.47999572753903
2021-11-16,196.3500061035156
2021-11-17,193.6300048828125
2021-11-18,191.1999969482422
2021-11-19,194.07000732421875
2021-11-22,199.9600067138672
2021-11-23,200.6000061035156
2021-11-24,197.4600067138672
2021-11-26,194.8300018310547
2021-11-29,197.33999633789065
2021-11-30,194.2899932861328
2021-12-01,190.69000244140625
2021-12-02,196.22999572753903
2021-12-03,195.7700042724609
2021-12-06,201.88999938964844
2021-12-07,201.22000122070312
2021-12-08,187.3600006103516
2021-12-09,181.88999938964844
2021-12-10,187.5200042724609
2021-12-13,191.9900054931641
2021-12-14,190.6999969482422
2021-12-15,191.19000244140625
2021-12-16,190.009994506836
2021-12-17,192.8999938964844
2021-12-20,191.6999969482422
2021-12-21,191.9199981689453
2021-12-22,192.25
2021-12-23,194.5800018310547
2021-12-27,193.3800048828125
2021-12-28,196.77999877929688
2021-12-29,198.8800048828125
2021-12-30,195.72999572753903
2021-12-31,197.3500061035156
2022-01-03,197.27999877929688
2022-01-04,195.0
2022-01-05,193.5500030517578
2022-01-06,197.13999938964844
2022-01-07,196.52999877929688
2022-01-10,196.77999877929688
2022-01-11,196.5800018310547
2022-01-12,194.8500061035156
2022-01-13,196.1000061035156
2022-01-14,191.16000366210932
2022-01-18,188.88999938964844
2022-01-19,188.7100067138672
2022-01-20,184.75
2022-01-21,181.1699981689453
2022-01-24,189.22000122070312
2022-01-25,185.009994506836
2022-01-26,183.5599975585937
2022-01-27,185.4600067138672
2022-01-28,187.3800048828125
2022-01-31,187.8099975585937
2022-02-01,188.5200042724609
2022-02-02,189.47000122070312
2022-02-03,187.41000366210932
2022-02-04,185.7899932861328
2022-02-07,184.2100067138672
2022-02-08,186.82000732421875
2022-02-09,186.7700042724609
2022-02-10,182.97000122070312
2022-02-11,181.72999572753903
2022-02-14,182.6199951171875
2022-02-15,185.1999969482422
2022-02-16,184.3699951171875
2022-02-17,182.22999572753903
2022-02-18,184.67999267578125
2022-02-22,181.4600067138672
2022-02-23,182.9900054931641
2022-02-24,181.42999267578125
2022-02-25,186.92999267578125
2022-02-28,188.0800018310547
2022-03-01,185.509994506836
2022-03-02,189.1199951171875
2022-03-03,188.83999633789065
2022-03-04,190.41000366210932
2022-03-07,177.5800018310547
2022-03-08,171.8300018310547
2022-03-09,185.2100067138672
2022-03-10,179.14999389648438
2022-03-11,174.25
2022-03-14,180.17999267578125
2022-03-15,185.3500061035156
2022-03-16,186.8999938964844
2022-03-17,190.0200042724609
2022-03-18,191.57000732421875
2022-03-21,190.4900054931641
2022-03-22,189.9900054931641
2022-03-23,189.4900054931641
2022-03-24,193.22000122070312
2022-03-25,196.75
2022-03-28,199.5500030517578
2022-03-29,201.1499938964844
2022-03-30,199.5599975585937
2022-03-31,198.1699981689453
2022-04-01,198.22000122070312
2022-04-04,199.58999633789065
2022-04-05,200.8000030517578
2022-04-06,202.9499969482422
2022-04-07,207.8000030517578
2022-04-08,207.5500030517578
2022-04-11,206.33999633789065
2022-04-12,205.5800018310547
2022-04-13,210.6300048828125
2022-04-14,209.2400054931641
2022-04-18,208.4900054931641
2022-04-19,213.02999877929688
2022-04-20,215.8300018310547
2022-04-21,213.27999877929688
2022-04-22,211.1300048828125
2022-04-25,211.8500061035156
2022-04-26,206.0500030517578
2022-04-27,208.17999267578125
2022-04-28,206.72999572753903
2022-04-29,201.3000030517578
2022-05-02,201.8000030517578
2022-05-03,203.52999877929688
2022-05-04,207.3600006103516
2022-05-05,203.0
2022-05-06,197.32000732421875
2022-05-09,197.69000244140625
2022-05-10,196.8300018310547
2022-05-11,198.6699981689453
2022-05-12,203.94000244140625
2022-05-13,207.7400054931641
2022-05-16,210.17999267578125
2022-05-17,213.9499969482422
2022-05-18,201.0399932861328
2022-05-19,199.77999877929688
2022-05-20,199.91000366210932
2022-05-23,199.57000732421875
2022-05-24,201.3000030517578
2022-05-25,203.02999877929688
2022-05-26,206.41000366210932
2022-05-27,209.97999572753903
2022-05-31,209.5399932861328
2022-06-01,207.25
2022-06-02,210.9499969482422
2022-06-03,211.67999267578125
2022-06-06,207.32000732421875
2022-06-07,206.25
2022-06-08,197.92999267578125
2022-06-09,193.6999969482422
2022-06-10,190.97999572753903
2022-06-13,185.92999267578125
2022-06-14,186.13999938964844
2022-06-15,186.57000732421875
2022-06-16,183.83999633789065
2022-06-17,181.7400054931641
2022-06-21,184.25
2022-06-22,186.72999572753903
2022-06-23,189.02999877929688
2022-06-24,191.52999877929688
2022-06-27,194.5
2022-06-28,190.41000366210932
2022-06-29,186.4499969482422
2022-06-30,184.97999572753903
2022-07-01,186.58999633789065
2022-07-05,188.57000732421875
2022-07-06,193.8600006103516
2022-07-07,193.25
2022-07-08,194.0500030517578
2022-07-11,195.5200042724609
2022-07-12,193.8000030517578
2022-07-13,195.3099975585937
2022-07-14,198.4900054931641
2022-07-15,201.58999633789065
2022-07-18,196.8099975585937
2022-07-19,198.91000366210932
2022-07-20,198.4900054931641
2022-07-21,198.44000244140625
2022-07-22,198.7100067138672
2022-07-25,198.8999938964844
2022-07-26,196.3099975585937
2022-07-27,198.72999572753903
2022-07-28,202.8800048828125
2022-07-29,202.6499938964844
2022-08-01,205.5599975585937
2022-08-02,203.77999877929688
2022-08-03,206.72000122070312
2022-08-04,206.83999633789065
2022-08-05,207.3800048828125
2022-08-08,207.83999633789065
2022-08-09,206.88999938964844
2022-08-10,205.5200042724609
2022-08-11,206.3999938964844
2022-08-12,208.42999267578125
2022-08-15,209.6000061035156
2022-08-16,213.0800018310547
2022-08-17,212.8500061035156
2022-08-18,218.58999633789065
2022-08-19,221.8999938964844
2022-08-22,219.0
2022-08-23,217.13999938964844
2022-08-24,218.5599975585937
2022-08-25,218.77999877929688
2022-08-26,217.1999969482422
2022-08-29,217.47000122070312
2022-08-30,214.67999267578125
2022-08-31,213.7700042724609
2022-09-01,215.6999969482422
2022-09-02,213.2400054931641
2022-09-06,215.17999267578125
2022-09-07,221.3999938964844
2022-09-08,219.8999938964844
2022-09-09,221.1300048828125
2022-09-12,217.44000244140625
2022-09-13,214.6999969482422
2022-09-14,214.82000732421875
2022-09-15,214.66000366210932
2022-09-16,214.8999938964844
2022-09-19,216.4199981689453
2022-09-20,213.66000366210932
2022-09-21,212.8600006103516
2022-09-22,208.6499938964844
2022-09-23,202.5399932861328
2022-09-26,201.92999267578125
2022-09-27,198.1999969482422
2022-09-28,205.6000061035156
2022-09-29,204.2899932861328
2022-09-30,202.5200042724609
2022-10-03,206.8999938964844
2022-10-04,203.1300048828125
2022-10-05,202.75
2022-10-06,203.2899932861328
2022-10-07,200.17999267578125
2022-10-10,199.2899932861328
2022-10-11,204.3099975585937
2022-10-12,202.5200042724609
2022-10-13,206.0500030517578
2022-10-14,202.3800048828125
2022-10-17,207.8099975585937
2022-10-18,211.2700042724609
2022-10-19,210.52999877929688
2022-10-20,208.0800018310547
2022-10-21,214.52999877929688
2022-10-24,218.42999267578125
2022-10-25,219.6199951171875
2022-10-26,221.41000366210932
