,HLT
2020-07-22,79.62000274658203
2020-07-23,78.86000061035156
2020-07-24,77.43000030517578
2020-07-27,77.33999633789062
2020-07-28,76.66999816894531
2020-07-29,77.38999938964844
2020-07-30,76.13999938964844
2020-07-31,75.05000305175781
2020-08-03,74.73999786376953
2020-08-04,78.31999969482422
2020-08-05,80.0
2020-08-06,82.69999694824219
2020-08-07,83.69999694824219
2020-08-10,86.19999694824219
2020-08-11,87.0199966430664
2020-08-12,85.88999938964844
2020-08-13,85.5
2020-08-14,86.0
2020-08-17,84.9800033569336
2020-08-18,84.06999969482422
2020-08-19,84.48999786376953
2020-08-20,85.0999984741211
2020-08-21,87.3499984741211
2020-08-24,88.4000015258789
2020-08-25,88.44000244140625
2020-08-26,86.80000305175781
2020-08-27,88.80000305175781
2020-08-28,91.7300033569336
2020-08-31,90.36000061035156
2020-09-01,91.70999908447266
2020-09-02,91.33999633789062
2020-09-03,91.3000030517578
2020-09-04,90.94000244140624
2020-09-08,91.9000015258789
2020-09-09,90.38999938964844
2020-09-10,89.36000061035156
2020-09-11,87.37000274658203
2020-09-14,92.30999755859376
2020-09-15,91.94000244140624
2020-09-16,94.02999877929688
2020-09-17,91.16999816894533
2020-09-18,89.63999938964844
2020-09-21,85.4800033569336
2020-09-22,85.23999786376953
2020-09-23,83.86000061035156
2020-09-24,83.06999969482422
2020-09-25,85.93000030517578
2020-09-28,89.05999755859375
2020-09-29,86.5999984741211
2020-09-30,85.31999969482422
2020-10-01,87.22000122070312
2020-10-02,87.95999908447266
2020-10-05,89.30000305175781
2020-10-06,89.5999984741211
2020-10-07,91.72000122070312
2020-10-08,92.54000091552734
2020-10-09,91.37000274658205
2020-10-12,91.3499984741211
2020-10-13,88.63999938964844
2020-10-14,88.30000305175781
2020-10-15,88.68000030517578
2020-10-16,89.5
2020-10-19,87.55000305175781
2020-10-20,89.56999969482422
2020-10-21,88.97000122070312
2020-10-22,94.38999938964844
2020-10-23,94.61000061035156
2020-10-26,90.37999725341795
2020-10-27,87.66999816894531
2020-10-28,84.0199966430664
2020-10-29,86.51000213623047
2020-10-30,87.80999755859375
2020-11-02,88.0
2020-11-03,90.6500015258789
2020-11-04,93.08999633789062
2020-11-05,94.08000183105467
2020-11-06,92.83999633789062
2020-11-09,104.19000244140624
2020-11-10,104.23999786376952
2020-11-11,103.75
2020-11-12,102.0500030517578
2020-11-13,105.8000030517578
2020-11-16,106.58000183105467
2020-11-17,103.33999633789062
2020-11-18,103.3499984741211
2020-11-19,102.8000030517578
2020-11-20,101.76000213623048
2020-11-23,105.0500030517578
2020-11-24,108.94000244140624
2020-11-25,106.3000030517578
2020-11-27,104.41000366210938
2020-11-30,103.62999725341795
2020-12-01,104.83999633789062
2020-12-02,106.75
2020-12-03,109.16000366210938
2020-12-04,110.8499984741211
2020-12-07,109.83000183105467
2020-12-08,109.0500030517578
2020-12-09,106.6999969482422
2020-12-10,107.36000061035156
2020-12-11,104.73999786376952
2020-12-14,103.04000091552734
2020-12-15,104.97000122070312
2020-12-16,104.41000366210938
2020-12-17,104.6999969482422
2020-12-18,104.61000061035156
2020-12-21,103.98999786376952
2020-12-22,102.9499969482422
2020-12-23,106.51000213623048
2020-12-24,106.88999938964844
2020-12-28,107.37999725341795
2020-12-29,107.9499969482422
2020-12-30,110.18000030517578
2020-12-31,111.26000213623048
2021-01-04,107.45999908447266
2021-01-05,107.9499969482422
2021-01-06,110.7699966430664
2021-01-07,113.29000091552734
2021-01-08,114.16000366210938
2021-01-11,113.18000030517578
2021-01-12,112.33000183105467
