,IEX
2015-01-02,77.87999725341797
2015-01-05,75.88999938964844
2015-01-06,74.30999755859375
2015-01-07,74.80999755859375
2015-01-08,76.0199966430664
2015-01-09,75.08000183105469
2015-01-12,73.80999755859375
2015-01-13,73.05999755859375
2015-01-14,72.55000305175781
2015-01-15,71.44999694824219
2015-01-16,72.16000366210938
2015-01-20,72.13999938964844
2015-01-21,72.86000061035156
2015-01-22,73.61000061035156
2015-01-23,73.12999725341797
2015-01-26,73.83999633789062
2015-01-27,72.5199966430664
2015-01-28,72.13999938964844
2015-01-29,72.44999694824219
2015-01-30,72.3499984741211
2015-02-02,73.51000213623047
2015-02-03,74.7300033569336
2015-02-04,73.9800033569336
2015-02-05,74.87999725341797
2015-02-06,74.8499984741211
2015-02-09,75.26000213623047
2015-02-10,75.5
2015-02-11,75.31999969482422
2015-02-12,76.37000274658203
2015-02-13,77.13999938964844
2015-02-17,76.63999938964844
2015-02-18,77.55999755859375
2015-02-19,77.48999786376953
2015-02-20,78.43000030517578
2015-02-23,77.70999908447266
2015-02-24,78.1500015258789
2015-02-25,78.41000366210938
2015-02-26,78.01000213623047
2015-02-27,77.26000213623047
2015-03-02,78.19000244140625
2015-03-03,77.68000030517578
2015-03-04,76.56999969482422
2015-03-05,76.54000091552734
2015-03-06,75.36000061035156
2015-03-09,75.7300033569336
2015-03-10,74.55999755859375
2015-03-11,75.12999725341797
2015-03-12,76.05000305175781
2015-03-13,74.72000122070312
2015-03-16,75.25
2015-03-17,75.12000274658203
2015-03-18,77.0199966430664
2015-03-19,76.38999938964844
2015-03-20,76.3499984741211
2015-03-23,75.76000213623047
2015-03-24,75.44999694824219
2015-03-25,74.58999633789062
2015-03-26,74.56999969482422
2015-03-27,75.0199966430664
2015-03-30,76.2699966430664
2015-03-31,75.83000183105469
2015-04-01,75.25
2015-04-02,75.73999786376953
2015-04-06,77.16999816894531
2015-04-07,76.43000030517578
2015-04-08,76.33999633789062
2015-04-09,75.94000244140625
2015-04-10,76.0999984741211
2015-04-13,76.08000183105469
2015-04-14,76.5
2015-04-15,77.37000274658203
2015-04-16,76.77999877929688
2015-04-17,75.41999816894531
2015-04-20,76.58999633789062
2015-04-21,75.91999816894531
2015-04-22,76.05999755859375
2015-04-23,76.37000274658203
2015-04-24,75.88999938964844
2015-04-27,76.05000305175781
2015-04-28,76.01000213623047
2015-04-29,75.9000015258789
2015-04-30,75.01000213623047
2015-05-01,75.19999694824219
2015-05-04,75.52999877929688
2015-05-05,75.23999786376953
2015-05-06,76.04000091552734
2015-05-07,75.7699966430664
2015-05-08,76.48999786376953
2015-05-11,76.56999969482422
2015-05-12,76.55000305175781
2015-05-13,77.4800033569336
2015-05-14,78.62999725341797
2015-05-15,78.1500015258789
2015-05-18,78.4000015258789
2015-05-19,78.19000244140625
2015-05-20,78.62999725341797
2015-05-21,79.19000244140625
2015-05-22,78.93000030517578
2015-05-26,77.5199966430664
2015-05-27,78.23999786376953
2015-05-28,77.80000305175781
2015-05-29,77.26000213623047
2015-06-01,77.2300033569336
2015-06-02,77.3499984741211
2015-06-03,78.16999816894531
2015-06-04,77.5
2015-06-05,78.2699966430664
2015-06-08,77.88999938964844
2015-06-09,77.77999877929688
2015-06-10,78.81999969482422
2015-06-11,79.98999786376953
2015-06-12,79.75
2015-06-15,78.87999725341797
2015-06-16,79.12000274658203
2015-06-17,79.33999633789062
2015-06-18,79.95999908447266
2015-06-19,79.62000274658203
2015-06-22,79.88999938964844
2015-06-23,80.0
2015-06-24,79.43000030517578
2015-06-25,79.06999969482422
2015-06-26,79.56999969482422
2015-06-29,78.11000061035156
2015-06-30,78.58000183105469
2015-07-01,79.05000305175781
2015-07-02,79.12000274658203
2015-07-06,78.33999633789062
2015-07-07,78.79000091552734
2015-07-08,77.44000244140625
2015-07-09,77.68000030517578
