,WRB
2015-01-02,15.007407188415527
2015-01-05,14.87407398223877
2015-01-06,14.835556030273438
2015-01-07,14.850370407104492
2015-01-08,15.167407035827637
2015-01-09,15.037036895751951
2015-01-12,14.88888931274414
2015-01-13,14.918519020080566
2015-01-14,14.479999542236328
2015-01-15,14.38518524169922
2015-01-16,14.619258880615234
2015-01-20,14.485925674438477
2015-01-21,14.551111221313477
2015-01-22,14.974815368652344
2015-01-23,14.785184860229492
2015-01-26,14.871110916137695
2015-01-27,14.847407341003418
2015-01-28,14.699258804321287
2015-01-29,14.95111083984375
2015-01-30,14.51555633544922
2015-02-02,14.690369606018066
2015-02-03,14.79111099243164
2015-02-04,14.340741157531738
2015-02-05,14.577777862548828
2015-02-06,14.66963005065918
2015-02-09,14.705184936523438
2015-02-10,14.764444351196287
2015-02-11,14.800000190734863
2015-02-12,14.871110916137695
2015-02-13,14.894815444946287
2015-02-17,14.891852378845217
2015-02-18,14.90074062347412
2015-02-19,14.850370407104492
2015-02-20,14.957036972045898
2015-02-23,14.862221717834473
2015-02-24,14.832592964172363
2015-02-25,14.829629898071287
2015-02-26,14.918519020080566
2015-02-27,14.788147926330566
2015-03-02,14.88888931274414
2015-03-03,14.862221717834473
2015-03-04,14.829629898071287
2015-03-05,14.86814785003662
2015-03-06,14.882963180541992
2015-03-09,14.87407398223877
2015-03-10,14.634074211120604
2015-03-11,14.86814785003662
2015-03-12,15.185185432434082
2015-03-13,14.992592811584473
2015-03-16,15.217778205871582
2015-03-17,15.152592658996582
2015-03-18,15.277036666870115
2015-03-19,15.078518867492676
2015-03-20,15.226667404174805
2015-03-23,15.303704261779783
2015-03-24,15.045926094055176
2015-03-25,14.903703689575195
2015-03-26,14.974815368652344
2015-03-27,14.90666675567627
2015-03-30,15.15851879119873
2015-03-31,14.96592617034912
2015-04-01,14.87407398223877
2015-04-02,14.90074062347412
2015-04-06,14.995555877685549
2015-04-07,14.808889389038086
2015-04-08,14.865184783935549
2015-04-09,15.004444122314451
2015-04-10,14.936296463012695
2015-04-13,14.924444198608398
2015-04-14,14.93333339691162
2015-04-15,14.880000114440918
2015-04-16,15.022221565246582
2015-04-17,14.871110916137695
2015-04-20,15.013333320617676
2015-04-21,14.752593040466309
2015-04-22,14.61629581451416
2015-04-23,14.66963005065918
2015-04-24,14.743703842163086
2015-04-27,14.717037200927734
2015-04-28,14.788147926330566
2015-04-29,14.589630126953123
2015-04-30,14.51555633544922
2015-05-01,14.545185089111328
2015-05-04,14.580740928649902
2015-05-05,14.551111221313477
2015-05-06,14.610369682312012
2015-05-07,14.708148002624512
2015-05-08,14.808889389038086
2015-05-11,14.77629566192627
2015-05-12,14.734814643859863
2015-05-13,14.749629974365234
2015-05-14,14.814814567565918
2015-05-15,14.77629566192627
2015-05-18,14.802963256835938
2015-05-19,14.862221717834473
2015-05-20,14.87407398223877
2015-05-21,14.755556106567385
2015-05-22,14.663703918457031
2015-05-26,14.497777938842772
2015-05-27,14.589630126953123
2015-05-28,14.595556259155272
2015-05-29,14.518519401550291
2015-06-01,14.568888664245604
2015-06-02,14.699258804321287
2015-06-03,14.90666675567627
2015-06-04,14.71407413482666
2015-06-05,14.666666984558104
2015-06-08,14.5600004196167
2015-06-09,14.444443702697754
2015-06-10,14.891852378845217
2015-06-11,15.087407112121582
2015-06-12,15.20888900756836
2015-06-15,15.167407035827637
2015-06-16,15.271110534667969
2015-06-17,15.247406959533691
2015-06-18,15.5377779006958
2015-06-19,15.677037239074709
2015-06-22,15.611851692199709
2015-06-23,15.754074096679688
2015-06-24,15.656295776367188
2015-06-25,15.55851936340332
2015-06-26,15.591111183166504
2015-06-29,15.324443817138672
2015-06-30,15.386667251586914
2015-07-01,16.213333129882812
2015-07-02,16.142221450805664
2015-07-06,16.334814071655273
2015-07-07,16.62814712524414
2015-07-08,16.60444450378418
2015-07-09,16.438518524169922
2015-07-10,16.66963005065918
2015-07-13,16.642963409423828
2015-07-14,16.66370391845703
2015-07-15,16.586666107177734
2015-07-16,16.660741806030273
2015-07-17,16.69629669189453
2015-07-20,16.488889694213867
2015-07-21,16.447406768798828
2015-07-22,16.672592163085938
2015-07-23,16.592592239379883
2015-07-24,16.70222282409668
2015-07-27,16.548147201538086
2015-07-28,16.239999771118164
2015-07-29,16.50074005126953
2015-07-30,16.583703994750977
2015-07-31,16.50963020324707
2015-08-03,16.545185089111328
2015-08-04,16.63703727722168
2015-08-05,16.639999389648438
2015-08-06,16.651851654052734
2015-08-07,16.7614803314209
2015-08-10,16.939258575439453
2015-08-11,16.9570369720459
2015-08-12,16.9244441986084
2015-08-13,17.117036819458008
2015-08-14,17.232593536376953
2015-08-17,17.30666732788086
2015-08-18,17.244443893432617
2015-08-19,17.158519744873047
2015-08-20,16.782222747802734
2015-08-21,16.38518524169922
2015-08-24,15.623703956604004
2015-08-25,15.389630317687988
2015-08-26,15.70370388031006
2015-08-27,16.12740707397461
2015-08-28,16.148147583007812
2015-08-31,16.082963943481445
2015-09-01,15.757037162780762
2015-09-02,15.87851905822754
2015-09-03,15.964444160461426
2015-09-04,15.74814796447754
2015-09-08,16.12444305419922
2015-09-09,15.988147735595703
2015-09-10,15.997036933898926
2015-09-11,16.047407150268555
2015-09-14,15.991110801696776
2015-09-15,16.198518753051758
2015-09-16,16.325925827026367
2015-09-17,16.275556564331055
2015-09-18,15.976296424865724
2015-09-21,16.136295318603516
2015-09-22,16.050369262695312
2015-09-23,16.07111167907715
2015-09-24,16.085926055908203
2015-09-25,16.118518829345703
2015-09-28,15.881481170654297
2015-09-29,15.952592849731444
2015-09-30,16.109630584716797
2015-10-01,15.997036933898926
2015-10-02,16.02666664123535
2015-10-05,16.065185546875
2015-10-06,16.12740707397461
2015-10-07,16.266666412353516
2015-10-08,16.50074005126953
2015-10-09,16.462221145629883
2015-10-12,16.542221069335938
2015-10-13,16.37925910949707
2015-10-14,16.195556640625
2015-10-15,16.465185165405273
2015-10-16,16.521480560302734
2015-10-19,16.50666618347168
2015-10-20,16.595556259155273
2015-10-21,16.38518524169922
2015-10-22,16.402963638305664
2015-10-23,16.438518524169922
2015-10-26,16.459259033203125
2015-10-27,16.811851501464844
2015-10-28,16.912593841552734
2015-10-29,16.83259391784668
2015-10-30,16.542221069335938
2015-11-02,16.559999465942383
2015-11-03,16.426666259765625
2015-11-04,16.31703758239746
2015-11-05,16.41185188293457
2015-11-06,16.456296920776367
2015-11-09,16.29037094116211
2015-11-10,16.370370864868164
2015-11-11,16.31407356262207
2015-11-12,15.991110801696776
2015-11-13,15.816295623779297
2015-11-16,15.970370292663574
2015-11-17,15.751111030578612
2015-11-18,16.047407150268555
2015-11-19,16.145185470581055
2015-11-20,16.204444885253906
2015-11-23,16.447406768798828
2015-11-24,16.50963020324707
2015-11-25,16.491851806640625
2015-11-27,16.497777938842773
2015-11-30,16.491851806640625
2015-12-01,16.69925880432129
2015-12-02,16.776296615600586
2015-12-03,16.592592239379883
2015-12-04,16.877037048339844
2015-12-07,16.687406539916992
2015-12-08,16.479999542236328
2015-12-09,16.19259262084961
2015-12-10,16.168888092041016
2015-12-11,15.982221603393556
2015-12-14,16.118518829345703
2015-12-15,16.065185546875
2015-12-16,16.0977783203125
2015-12-17,15.908147811889648
2015-12-18,15.62074089050293
2015-12-21,15.700740814208984
2015-12-22,15.816295623779297
2015-12-23,15.914073944091797
2015-12-24,16.405925750732422
2015-12-28,16.423704147338867
2015-12-29,16.625185012817383
2015-12-30,16.53925895690918
2015-12-31,16.22222137451172
2016-01-04,15.792593002319336
2016-01-05,15.928889274597168
2016-01-06,15.727407455444336
2016-01-07,15.46074104309082
2016-01-08,15.410369873046877
2016-01-11,15.205925941467283
2016-01-12,15.072592735290527
2016-01-13,14.702221870422363
2016-01-14,14.927407264709473
2016-01-15,14.589630126953123
2016-01-19,14.574814796447754
2016-01-20,14.343704223632812
2016-01-21,14.340741157531738
2016-01-22,14.574814796447754
2016-01-25,14.207406997680664
2016-01-26,14.39407444000244
2016-01-27,14.322962760925291
2016-01-28,14.4622220993042
2016-01-29,14.859258651733398
