,RTX
2015-01-02,72.39773559570312
2015-01-05,71.1894302368164
2015-01-06,70.18250274658203
2015-01-07,70.9439926147461
2015-01-08,72.15229797363281
2015-01-09,71.75582122802734
2015-01-12,72.02642822265625
2015-01-13,71.95720672607422
2015-01-14,71.44115447998047
2015-01-15,71.44115447998047
2015-01-16,73.0962905883789
2015-01-20,73.96475982666016
2015-01-21,74.90874481201172
2015-01-22,75.8023910522461
2015-01-23,75.50660705566406
2015-01-26,74.73253631591797
2015-01-27,74.99056243896484
2015-01-28,73.58087158203125
2015-01-29,73.28508758544922
2015-01-30,72.2341079711914
2015-02-02,73.36689758300781
2015-02-03,74.82064056396484
2015-02-04,74.12837982177734
2015-02-05,75.58841705322266
2015-02-06,75.39962005615234
2015-02-09,75.09125518798828
2015-02-10,75.1416015625
2015-02-11,74.69477844238281
2015-02-12,75.26116943359375
2015-02-13,76.30585479736328
2015-02-17,76.34990692138672
2015-02-18,76.77155303955078
2015-02-19,77.35053253173828
2015-02-20,78.10572814941406
2015-02-23,77.86029052734375
2015-02-24,77.90434265136719
2015-02-25,77.64002227783203
2015-02-26,77.19949340820312
2015-02-27,76.72120666503906
2015-03-02,77.52674865722656
2015-03-03,76.58905029296875
2015-03-04,76.17369079589844
2015-03-05,76.01636505126953
2015-03-06,75.16047668457031
2015-03-09,76.62051391601562
2015-03-10,73.88294219970703
2015-03-11,74.4745101928711
2015-03-12,76.299560546875
2015-03-13,74.72624206542969
2015-03-16,75.56324768066406
2015-03-17,75.43109130859375
2015-03-18,75.71428680419922
2015-03-19,75.12901306152344
2015-03-20,75.17935943603516
2015-03-23,74.68848419189453
2015-03-24,74.83952331542969
2015-03-25,73.29137420654297
2015-03-26,73.02706146240234
2015-03-27,73.56828308105469
2015-03-30,74.78288269042969
2015-03-31,73.757080078125
2015-04-01,72.95154571533203
2015-04-02,73.71302795410156
2015-04-06,74.17243194580078
2015-04-07,73.93958282470703
2015-04-08,74.15985107421875
2015-04-09,74.18502044677734
2015-04-10,74.55003356933594
2015-04-13,73.88923645019531
2015-04-14,74.0654525756836
2015-04-15,74.17872619628906
2015-04-16,73.93328857421875
2015-04-17,72.44178771972656
2015-04-20,73.32284545898438
2015-04-21,73.59974670410156
2015-04-22,73.60604095458984
2015-04-23,73.79483795166016
2015-04-24,73.10257720947266
2015-04-27,72.83826446533203
2015-04-28,73.05223083496094
2015-04-29,72.61170196533203
2015-04-30,71.58589935302734
2015-05-01,72.64946746826172
2015-05-04,73.28508758544922
2015-05-05,72.41661071777344
2015-05-06,72.42290496826172
2015-05-07,73.02706146240234
2015-05-08,74.5311508178711
2015-05-11,74.07173919677734
2015-05-12,73.85777282714844
2015-05-13,73.86406707763672
2015-05-14,74.97797393798828
2015-05-15,74.56890869140625
2015-05-18,74.58149719238281
2015-05-19,74.93392181396484
2015-05-20,74.80805206298828
2015-05-21,74.96538543701172
2015-05-22,74.65072631835938
2015-05-26,73.54940032958984
2015-05-27,74.03398132324219
2015-05-28,74.0654525756836
2015-05-29,73.73819732666016
2015-06-01,73.63121795654297
2015-06-02,73.84518432617188
2015-06-03,74.58149719238281
2015-06-04,73.71932220458984
2015-06-05,73.63121795654297
2015-06-08,73.11516571044922
2015-06-09,73.19068908691406
2015-06-10,73.94587707519531
2015-06-11,74.46192932128906
2015-06-12,74.0088119506836
2015-06-15,72.12712097167969
2015-06-16,72.33480072021484
2015-06-17,72.41661071777344
2015-06-18,72.93895721435547
2015-06-19,72.30333709716797
2015-06-22,72.54877471923828
2015-06-23,72.51730346679688
2015-06-24,71.72435760498047
2015-06-25,71.30270385742188
2015-06-26,71.44115447998047
2015-06-29,70.18879699707031
2015-06-30,69.81120300292969
2015-07-01,69.74197387695312
2015-07-02,68.94902801513672
2015-07-06,68.82315826416016
2015-07-07,69.2825698852539
2015-07-08,68.38892364501953
2015-07-09,68.54625701904297
2015-07-10,69.3392105102539
2015-07-13,70.22026062011719
2015-07-14,70.17620849609375
2015-07-15,70.01258850097656
2015-07-16,70.01888275146484
2015-07-17,69.6916275024414
2015-07-20,69.52800750732422
2015-07-21,64.63813781738281
2015-07-22,63.90811920166016
2015-07-23,63.65009307861328
2015-07-24,62.49842834472656
2015-07-27,62.22152328491211
2015-07-28,62.284454345703125
2015-07-29,62.52989196777344
2015-07-30,63.39207077026367
2015-07-31,63.12775421142578
2015-08-03,62.56765365600586
2015-08-04,62.32221603393555
2015-08-05,62.22152328491211
2015-08-06,62.290748596191406
2015-08-07,61.85651397705078
2015-08-10,62.64946365356445
2015-08-11,62.057899475097656
2015-08-12,62.108245849609375
2015-08-13,61.91315460205078
2015-08-14,62.11453628540039
2015-08-17,62.52989196777344
2015-08-18,62.56135940551758
2015-08-19,61.80616760253906
2015-08-20,60.30207824707031
2015-08-21,58.533668518066406
2015-08-24,57.18690872192383
2015-08-25,55.88420486450195
2015-08-26,57.62114334106445
2015-08-27,58.69729232788086
2015-08-28,58.67841339111328
2015-08-31,57.652610778808594
2015-09-01,56.46318435668945
2015-09-02,57.41976165771485
2015-09-03,57.84141159057617
2015-09-04,57.06733703613281
2015-09-08,58.41409683227539
2015-09-09,57.80364990234375
2015-09-10,57.52045440673828
2015-09-11,58.10572814941406
2015-09-14,57.79106521606445
2015-09-15,58.32599258422852
2015-09-16,59.11894226074219
2015-09-17,58.72246551513672
2015-09-18,57.312774658203125
2015-09-21,57.61485290527344
2015-09-22,55.50660705566406
2015-09-23,54.72624206542969
2015-09-24,54.63813781738281
2015-09-25,54.94021224975586
2015-09-28,54.64442825317383
2015-09-29,55.36815643310547
2015-09-30,56.00377655029297
2015-10-01,55.6072998046875
2015-10-02,56.4946517944336
2015-10-05,58.06167221069336
2015-10-06,58.244178771972656
2015-10-07,58.848331451416016
2015-10-08,59.3643798828125
2015-10-09,60.01887893676758
2015-10-12,60.056640625
2015-10-13,59.33291244506836
2015-10-14,58.00503540039063
2015-10-15,58.640655517578125
2015-10-16,58.527374267578125
2015-10-19,57.92951583862305
2015-10-20,60.176212310791016
2015-10-21,61.65512847900391
2015-10-22,62.80050277709961
2015-10-23,63.322845458984375
2015-10-26,63.07740783691406
2015-10-27,62.22781753540039
2015-10-28,62.50471878051758
2015-10-29,62.33480072021485
2015-10-30,61.93203353881836
2015-11-02,62.54877471923828
2015-11-03,62.93266296386719
2015-11-04,63.14033889770508
2015-11-05,63.43612289428711
2015-11-06,63.43612289428711
2015-11-09,62.718692779541016
2015-11-10,62.10195159912109
2015-11-11,61.8376350402832
2015-11-12,62.44178771972656
2015-11-13,60.717430114746094
2015-11-16,61.56702423095703
2015-11-17,61.390811920166016
2015-11-18,61.49150466918945
2015-11-19,61.86280822753906
2015-11-20,61.812461853027344
2015-11-23,61.73064804077149
2015-11-24,61.271240234375
2015-11-25,61.214599609375
2015-11-27,60.91881561279297
2015-11-30,60.44682312011719
2015-12-01,60.85588455200195
2015-12-02,59.943359375
2015-12-03,59.59723281860352
2015-12-04,60.24543762207031
2015-12-07,60.35871505737305
2015-12-08,59.30144882202149
2015-12-09,59.25739669799805
2015-12-10,59.07489013671875
2015-12-11,58.7161750793457
2015-12-14,58.54625701904297
2015-12-15,58.69100189208984
2015-12-16,59.86783981323242
2015-12-17,59.07489013671875
2015-12-18,58.11201858520508
2015-12-21,58.9112663269043
2015-12-22,59.70421600341797
2015-12-23,60.60415267944336
2015-12-24,60.60415267944336
2015-12-28,60.47199630737305
2015-12-29,61.214599609375
2015-12-30,60.98175048828125
2015-12-31,60.45940780639648
2016-01-04,60.14474487304688
2016-01-05,60.23914337158203
2016-01-06,58.6028938293457
2016-01-07,57.83511734008789
2016-01-08,56.8911247253418
2016-01-11,56.95405960083008
2016-01-12,56.95405960083008
2016-01-13,55.90308380126953
2016-01-14,56.016361236572266
2016-01-15,53.88924026489258
2016-01-19,53.643802642822266
2016-01-20,53.38577651977539
2016-01-21,53.85147857666016
2016-01-22,54.34235382080078
2016-01-25,53.42982864379883
2016-01-26,53.90182495117188
2016-01-27,54.00251770019531
2016-01-28,54.4052848815918
2016-01-29,55.18564987182617
2016-02-01,55.10383987426758
2016-02-02,53.757080078125
2016-02-03,54.09691619873047
2016-02-04,55.45626068115234
2016-02-05,55.28004837036133
2016-02-08,54.61296463012695
2016-02-09,54.9024543762207
2016-02-10,54.72624206542969
2016-02-11,53.27879333496094
2016-02-12,54.09062194824219
2016-02-16,54.42416763305664
2016-02-17,55.45626068115234
2016-02-18,55.6072998046875
2016-02-19,55.525489807128906
2016-02-22,58.13090133666992
2016-02-23,57.64631652832031
2016-02-24,58.9112663269043
2016-02-25,61.71806335449219
2016-02-26,61.47891616821289
2016-02-29,60.80553817749024
2016-03-01,59.8174934387207
2016-03-02,60.119571685791016
2016-03-03,60.48458099365234
2016-03-04,61.044681549072266
2016-03-07,60.99433517456055
2016-03-08,60.98175048828125
2016-03-09,60.79295349121094
2016-03-10,60.52863311767578
2016-03-11,60.887351989746094
2016-03-14,60.93769836425781
2016-03-15,60.59785842895508
2016-03-16,61.3530502319336
2016-03-17,62.20264434814453
2016-03-18,62.33480072021485
2016-03-21,62.41032028198242
