,BX
2015-06-22,41.38370895385742
2015-06-23,41.35426712036133
2015-06-24,40.60844039916992
2015-06-25,40.31403350830078
2015-06-26,40.726200103759766
2015-06-29,39.88223648071289
2015-06-30,40.107948303222656
2015-07-01,40.15701675415039
2015-07-02,40.54955673217773
2015-07-06,39.71540832519531
2015-07-07,39.02845764160156
2015-07-08,37.88027572631836
2015-07-09,38.36113739013672
2015-07-10,38.87144470214844
2015-07-13,40.14720153808594
2015-07-14,40.30421829223633
2015-07-15,40.55937194824219
2015-07-16,41.1776237487793
2015-07-17,40.824337005615234
2015-07-20,40.824337005615234
2015-07-21,41.06967544555664
2015-07-22,40.726200103759766
2015-07-23,38.98920440673828
2015-07-24,37.54661560058594
2015-07-27,37.38959884643555
2015-07-28,37.89008712768555
2015-07-29,38.63591766357422
2015-07-30,38.55740737915039
2015-07-31,38.51815414428711
2015-08-03,38.01766586303711
2015-08-04,38.75368118286133
2015-08-05,38.22374725341797
2015-08-06,37.72325897216797
2015-08-07,37.1246337890625
2015-08-10,38.40039443969727
2015-08-11,37.21295547485352
2015-08-12,37.38959884643555
2015-08-13,37.44847869873047
2015-08-14,37.92934036254883
2015-08-17,37.71344375610352
2015-08-18,36.58488845825195
2015-08-19,36.06476974487305
2015-08-20,33.86653518676758
2015-08-21,33.316978454589844
2015-08-24,32.08047103881836
2015-08-25,31.79587745666504
2015-08-26,33.68989181518555
2015-08-27,34.94602584838867
2015-08-28,35.004905700683594
2015-08-31,33.611385345458984
2015-09-01,31.844945907592773
2015-09-02,32.0019645690918
2015-09-03,32.85573959350586
2015-09-04,33.042198181152344
2015-09-08,34.749755859375
2015-09-09,33.925418853759766
2015-09-10,33.40530014038086
2015-09-11,33.375858306884766
2015-09-14,33.375858306884766
2015-09-15,34.04317855834961
2015-09-16,34.0726203918457
2015-09-17,35.07360076904297
2015-09-18,33.54269027709961
2015-09-21,33.66044998168945
2015-09-22,33.26791000366211
2015-09-23,32.787044525146484
2015-09-24,31.972522735595703
2015-09-25,32.23748779296875
2015-09-28,30.3238468170166
2015-09-29,29.509323120117188
2015-09-30,31.079490661621097
2015-10-01,31.43000030517578
2015-10-02,31.5
2015-10-05,33.38999938964844
2015-10-06,33.79999923706055
2015-10-07,34.70000076293945
2015-10-08,34.0099983215332
2015-10-09,34.119998931884766
2015-10-12,33.810001373291016
2015-10-13,33.189998626708984
2015-10-14,33.54999923706055
2015-10-15,34.04999923706055
2015-10-16,34.52000045776367
2015-10-19,33.93000030517578
2015-10-20,33.36000061035156
2015-10-21,33.619998931884766
2015-10-22,33.34000015258789
2015-10-23,34.43000030517578
2015-10-26,34.41999816894531
2015-10-27,34.09000015258789
2015-10-28,34.5
2015-10-29,33.779998779296875
2015-10-30,33.060001373291016
2015-11-02,34.130001068115234
2015-11-03,34.59000015258789
2015-11-04,33.75
2015-11-05,33.52000045776367
2015-11-06,32.880001068115234
2015-11-09,32.04999923706055
2015-11-10,32.25
2015-11-11,31.549999237060547
2015-11-12,31.09000015258789
2015-11-13,30.61000061035156
2015-11-16,31.3799991607666
2015-11-17,30.8700008392334
2015-11-18,31.59000015258789
2015-11-19,31.440000534057617
2015-11-20,31.18000030517578
2015-11-23,31.01000022888184
2015-11-24,30.670000076293945
2015-11-25,31.07999992370605
2015-11-27,31.0
2015-11-30,31.229999542236328
2015-12-01,31.709999084472656
2015-12-02,30.63999938964844
2015-12-03,30.39999961853028
2015-12-04,30.64999961853028
2015-12-07,30.40999984741211
2015-12-08,29.989999771118164
2015-12-09,30.520000457763672
2015-12-10,30.40999984741211
2015-12-11,28.81999969482422
2015-12-14,27.799999237060547
2015-12-15,28.959999084472656
2015-12-16,29.799999237060547
2015-12-17,30.56999969482422
2015-12-18,29.600000381469727
2015-12-21,30.11000061035156
2015-12-22,30.07999992370605
2015-12-23,30.86000061035156
2015-12-24,30.670000076293945
2015-12-28,30.40999984741211
2015-12-29,30.170000076293945
2015-12-30,29.709999084472656
2015-12-31,29.239999771118164
2016-01-04,28.950000762939453
2016-01-05,28.13999938964844
2016-01-06,27.290000915527344
2016-01-07,26.3799991607666
2016-01-08,25.5
2016-01-11,24.64999961853028
2016-01-12,25.170000076293945
2016-01-13,24.450000762939453
2016-01-14,25.63999938964844
2016-01-15,24.559999465942383
2016-01-19,24.01000022888184
2016-01-20,23.75
2016-01-21,24.15999984741211
2016-01-22,26.209999084472656
2016-01-25,25.030000686645508
2016-01-26,26.290000915527344
2016-01-27,25.600000381469727
2016-01-28,25.1200008392334
2016-01-29,26.270000457763672
2016-02-01,27.3700008392334
2016-02-02,26.3799991607666
2016-02-03,26.46999931335449
2016-02-04,26.350000381469727
2016-02-05,26.46999931335449
2016-02-08,24.440000534057617
2016-02-09,24.459999084472656
2016-02-10,24.5
2016-02-11,23.020000457763672
2016-02-12,24.6299991607666
2016-02-16,25.96999931335449
2016-02-17,26.6299991607666
2016-02-18,26.46999931335449
2016-02-19,25.8700008392334
2016-02-22,26.670000076293945
2016-02-23,25.739999771118164
2016-02-24,25.729999542236328
2016-02-25,25.479999542236328
2016-02-26,25.61000061035156
2016-02-29,25.96999931335449
2016-03-01,27.049999237060547
2016-03-02,28.07999992370605
2016-03-03,28.540000915527344
2016-03-04,29.06999969482422
2016-03-07,29.059999465942383
2016-03-08,28.25
2016-03-09,27.6200008392334
2016-03-10,27.3700008392334
2016-03-11,27.520000457763672
2016-03-14,27.309999465942383
2016-03-15,27.07999992370605
2016-03-16,27.770000457763672
2016-03-17,28.18000030517578
2016-03-18,27.989999771118164
2016-03-21,28.020000457763672
2016-03-22,27.799999237060547
2016-03-23,26.959999084472656
2016-03-24,26.450000762939453
2016-03-28,26.309999465942383
2016-03-29,27.57999992370605
2016-03-30,27.940000534057617
2016-03-31,28.049999237060547
2016-04-01,28.1299991607666
2016-04-04,27.39999961853028
2016-04-05,27.34000015258789
2016-04-06,27.59000015258789
2016-04-07,26.89999961853028
2016-04-08,26.670000076293945
2016-04-11,26.530000686645508
2016-04-12,27.170000076293945
2016-04-13,28.59000015258789
2016-04-14,29.01000022888184
2016-04-15,28.780000686645508
2016-04-18,29.030000686645508
2016-04-19,29.38999938964844
2016-04-20,29.440000534057617
2016-04-21,28.229999542236328
2016-04-22,28.450000762939453
2016-04-25,28.290000915527344
2016-04-26,28.670000076293945
2016-04-27,28.84000015258789
2016-04-28,27.780000686645508
2016-04-29,27.440000534057617
2016-05-02,27.63999938964844
2016-05-03,27.040000915527344
2016-05-04,26.59000015258789
2016-05-05,26.76000022888184
2016-05-06,26.68000030517578
2016-05-09,26.780000686645508
2016-05-10,26.950000762939453
2016-05-11,26.780000686645508
2016-05-12,26.350000381469727
2016-05-13,25.799999237060547
2016-05-16,25.93000030517578
2016-05-17,26.059999465942383
2016-05-18,25.290000915527344
2016-05-19,24.790000915527344
2016-05-20,25.450000762939453
2016-05-23,25.229999542236328
2016-05-24,26.18000030517578
2016-05-25,26.709999084472656
2016-05-26,26.5
2016-05-27,26.790000915527344
2016-05-31,26.190000534057617
2016-06-01,26.26000022888184
2016-06-02,26.280000686645508
2016-06-03,26.09000015258789
2016-06-06,26.700000762939453
2016-06-07,26.71999931335449
2016-06-08,26.920000076293945
2016-06-09,26.5
2016-06-10,26.06999969482422
2016-06-13,25.739999771118164
2016-06-14,25.049999237060547
2016-06-15,25.200000762939453
2016-06-16,24.920000076293945
