,ACGL
2018-12-12,27.18000030517578
2018-12-13,27.049999237060547
2018-12-14,26.86000061035156
2018-12-17,26.40999984741211
2018-12-18,26.790000915527344
2018-12-19,26.40999984741211
2018-12-20,25.89999961853028
2018-12-21,25.549999237060547
2018-12-24,24.799999237060547
2018-12-26,25.920000076293945
2018-12-27,26.540000915527344
2018-12-28,26.38999938964844
2018-12-31,26.71999931335449
2019-01-02,26.190000534057617
2019-01-03,25.780000686645508
2019-01-04,26.38999938964844
2019-01-07,26.32999992370605
2019-01-08,26.43000030517578
2019-01-09,26.770000457763672
2019-01-10,27.1200008392334
2019-01-11,26.68000030517578
2019-01-14,26.90999984741211
2019-01-15,27.59000015258789
2019-01-16,27.8700008392334
2019-01-17,28.239999771118164
2019-01-18,28.479999542236328
2019-01-22,28.420000076293945
2019-01-23,28.56999969482422
2019-01-24,28.799999237060547
2019-01-25,28.82999992370605
2019-01-28,28.739999771118164
2019-01-29,28.790000915527344
2019-01-30,29.25
2019-01-31,29.350000381469727
2019-02-01,29.739999771118164
2019-02-04,29.979999542236328
2019-02-05,30.280000686645508
2019-02-06,30.270000457763672
2019-02-07,30.3700008392334
2019-02-08,30.309999465942383
2019-02-11,30.32999992370605
2019-02-12,30.82999992370605
2019-02-13,31.959999084472656
2019-02-14,31.1200008392334
2019-02-15,31.5
2019-02-19,32.06999969482422
2019-02-20,32.29999923706055
2019-02-21,32.290000915527344
2019-02-22,32.29999923706055
2019-02-25,32.2599983215332
2019-02-26,32.380001068115234
2019-02-27,32.36000061035156
2019-02-28,32.66999816894531
2019-03-01,32.869998931884766
2019-03-04,32.939998626708984
2019-03-05,32.84000015258789
2019-03-06,32.58000183105469
2019-03-07,32.2400016784668
2019-03-08,32.11000061035156
2019-03-11,32.380001068115234
2019-03-12,32.40999984741211
2019-03-13,32.41999816894531
2019-03-14,32.54999923706055
2019-03-15,32.869998931884766
2019-03-18,32.84000015258789
2019-03-19,32.36000061035156
2019-03-20,31.979999542236328
2019-03-21,32.290000915527344
2019-03-22,32.060001373291016
2019-03-25,31.96999931335449
2019-03-26,31.959999084472656
2019-03-27,32.06999969482422
2019-03-28,32.0
2019-03-29,32.31999969482422
2019-04-01,32.65999984741211
2019-04-02,32.41999816894531
2019-04-03,32.47999954223633
2019-04-04,32.470001220703125
2019-04-05,32.59000015258789
2019-04-08,32.68000030517578
2019-04-09,32.11000061035156
2019-04-10,32.34000015258789
2019-04-11,32.630001068115234
2019-04-12,32.88999938964844
2019-04-15,32.4900016784668
2019-04-16,32.90999984741211
2019-04-17,32.619998931884766
2019-04-18,32.529998779296875
2019-04-22,32.189998626708984
2019-04-23,32.75
2019-04-24,32.7599983215332
2019-04-25,32.849998474121094
2019-04-26,32.959999084472656
2019-04-29,33.29999923706055
2019-04-30,33.779998779296875
2019-05-01,33.849998474121094
2019-05-02,33.86000061035156
2019-05-03,34.150001525878906
2019-05-06,34.13999938964844
2019-05-07,33.630001068115234
2019-05-08,33.540000915527344
2019-05-09,33.41999816894531
2019-05-10,33.959999084472656
2019-05-13,33.31999969482422
2019-05-14,33.88999938964844
2019-05-15,34.040000915527344
2019-05-16,34.5099983215332
2019-05-17,33.779998779296875
2019-05-20,33.86000061035156
2019-05-21,34.400001525878906
2019-05-22,34.86000061035156
2019-05-23,34.439998626708984
2019-05-24,34.400001525878906
2019-05-28,33.970001220703125
2019-05-29,34.22999954223633
2019-05-30,34.27000045776367
2019-05-31,34.43000030517578
2019-06-03,34.959999084472656
2019-06-04,34.880001068115234
2019-06-05,35.400001525878906
2019-06-06,35.58000183105469
2019-06-07,35.63999938964844
2019-06-10,35.41999816894531
2019-06-11,35.0
2019-06-12,35.040000915527344
2019-06-13,35.040000915527344
2019-06-14,35.560001373291016
2019-06-17,35.52000045776367
2019-06-18,35.779998779296875
2019-06-19,36.09999847412109
2019-06-20,36.41999816894531
2019-06-21,36.43999862670898
2019-06-24,36.18000030517578
2019-06-25,35.90999984741211
2019-06-26,35.27000045776367
2019-06-27,36.18999862670898
2019-06-28,37.08000183105469
2019-07-01,37.84000015258789
2019-07-02,37.619998931884766
2019-07-03,37.93999862670898
2019-07-05,37.97999954223633
2019-07-08,37.959999084472656
2019-07-09,38.41999816894531
2019-07-10,38.470001220703125
2019-07-11,38.36000061035156
2019-07-12,38.290000915527344
2019-07-15,38.41999816894531
2019-07-16,38.52000045776367
2019-07-17,38.119998931884766
2019-07-18,38.2400016784668
2019-07-19,37.58000183105469
2019-07-22,37.41999816894531
2019-07-23,37.560001373291016
2019-07-24,37.790000915527344
2019-07-25,38.0099983215332
2019-07-26,38.20000076293945
2019-07-29,38.20000076293945
2019-07-30,39.54999923706055
2019-07-31,38.68999862670898
2019-08-01,38.54999923706055
2019-08-02,38.720001220703125
2019-08-05,37.7599983215332
2019-08-06,38.869998931884766
2019-08-07,39.2599983215332
2019-08-08,39.459999084472656
2019-08-09,39.38999938964844
2019-08-12,39.0
2019-08-13,39.459999084472656
2019-08-14,38.33000183105469
2019-08-15,38.90999984741211
2019-08-16,39.75
2019-08-19,40.06999969482422
2019-08-20,39.77000045776367
2019-08-21,39.83000183105469
2019-08-22,39.56999969482422
2019-08-23,38.61000061035156
2019-08-26,39.02000045776367
2019-08-27,39.11000061035156
2019-08-28,39.31999969482422
2019-08-29,39.5
2019-08-30,39.5
2019-09-03,40.119998931884766
2019-09-04,40.81999969482422
2019-09-05,41.130001068115234
2019-09-06,41.310001373291016
2019-09-09,41.34000015258789
2019-09-10,40.61000061035156
2019-09-11,40.56999969482422
2019-09-12,40.43999862670898
2019-09-13,40.47999954223633
2019-09-16,40.560001373291016
2019-09-17,40.959999084472656
2019-09-18,40.90999984741211
2019-09-19,41.13999938964844
2019-09-20,41.0
2019-09-23,41.11000061035156
2019-09-24,41.34000015258789
2019-09-25,41.970001220703125
2019-09-26,42.36000061035156
2019-09-27,42.04999923706055
2019-09-30,41.97999954223633
2019-10-01,41.43000030517578
2019-10-02,40.84999847412109
2019-10-03,41.119998931884766
2019-10-04,41.86000061035156
2019-10-07,41.630001068115234
2019-10-08,40.77000045776367
2019-10-09,41.15999984741211
2019-10-10,41.15999984741211
2019-10-11,41.4900016784668
2019-10-14,41.59000015258789
2019-10-15,41.900001525878906
2019-10-16,41.959999084472656
2019-10-17,42.0
2019-10-18,42.310001373291016
2019-10-21,42.59000015258789
2019-10-22,41.36000061035156
