,TECH
2015-01-02,22.86000061035156
2015-01-05,22.584999084472656
2015-01-06,22.387500762939453
2015-01-07,22.690000534057617
2015-01-08,22.877500534057617
2015-01-09,22.94499969482422
2015-01-12,22.8799991607666
2015-01-13,23.122499465942383
2015-01-14,23.270000457763672
2015-01-15,22.897499084472656
2015-01-16,23.26499938964844
2015-01-20,23.332500457763672
2015-01-21,23.262500762939453
2015-01-22,23.415000915527344
2015-01-23,23.350000381469727
2015-01-26,23.362499237060547
2015-01-27,23.287500381469727
2015-01-28,23.27499961853028
2015-01-29,23.5575008392334
2015-01-30,23.2549991607666
2015-02-02,23.26499938964844
2015-02-03,22.5625
2015-02-04,22.51499938964844
2015-02-05,22.8125
2015-02-06,22.51000022888184
2015-02-09,22.44499969482422
2015-02-10,22.875
2015-02-11,22.84000015258789
2015-02-12,23.19499969482422
2015-02-13,23.65250015258789
2015-02-17,23.957500457763672
2015-02-18,24.0049991607666
2015-02-19,23.912500381469727
2015-02-20,24.09000015258789
2015-02-23,24.420000076293945
2015-02-24,24.3700008392334
2015-02-25,24.67250061035156
2015-02-26,24.6299991607666
2015-02-27,24.38249969482422
2015-03-02,24.57749938964844
2015-03-03,24.34749984741211
2015-03-04,24.38500022888184
2015-03-05,24.45249938964844
2015-03-06,24.3700008392334
2015-03-09,24.262500762939453
2015-03-10,23.912500381469727
2015-03-11,24.22249984741211
2015-03-12,24.112499237060547
2015-03-13,24.13999938964844
2015-03-16,24.375
2015-03-17,24.415000915527344
2015-03-18,24.584999084472656
2015-03-19,25.13249969482422
2015-03-20,25.290000915527344
2015-03-23,25.177499771118164
2015-03-24,25.14999961853028
2015-03-25,24.6875
2015-03-26,24.61750030517578
2015-03-27,24.76000022888184
2015-03-30,25.15999984741211
2015-03-31,25.07250022888184
2015-04-01,24.987499237060547
2015-04-02,24.6299991607666
2015-04-06,25.102500915527344
2015-04-07,24.725000381469727
2015-04-08,24.877500534057617
2015-04-09,24.957500457763672
2015-04-10,24.997499465942383
2015-04-13,25.01749992370605
2015-04-14,24.989999771118164
2015-04-15,25.03499984741211
2015-04-16,25.21500015258789
2015-04-17,25.25749969482422
2015-04-20,25.4375
2015-04-21,25.44499969482422
2015-04-22,25.46500015258789
2015-04-23,25.6825008392334
2015-04-24,25.21249961853028
2015-04-27,24.65250015258789
2015-04-28,24.674999237060547
2015-04-29,24.600000381469727
2015-04-30,23.989999771118164
2015-05-01,24.1825008392334
2015-05-04,24.21249961853028
2015-05-05,24.372499465942383
2015-05-06,24.58749961853028
2015-05-07,24.44750022888184
2015-05-08,24.64249992370605
2015-05-11,24.5674991607666
2015-05-12,24.63999938964844
2015-05-13,24.72249984741211
2015-05-14,25.229999542236328
2015-05-15,25.2549991607666
2015-05-18,25.54750061035156
2015-05-19,25.647499084472656
2015-05-20,25.6875
2015-05-21,25.690000534057617
2015-05-22,25.65250015258789
2015-05-26,25.51000022888184
2015-05-27,25.584999084472656
2015-05-28,25.487499237060547
2015-05-29,25.3125
2015-06-01,25.125
2015-06-02,25.045000076293945
