,STLD
2015-01-02,19.89999961853028
2015-01-05,18.700000762939453
2015-01-06,18.15999984741211
2015-01-07,18.420000076293945
2015-01-08,19.059999465942383
2015-01-09,18.89999961853028
2015-01-12,18.170000076293945
2015-01-13,17.510000228881836
2015-01-14,17.25
2015-01-15,17.18000030517578
2015-01-16,17.350000381469727
2015-01-20,17.1299991607666
2015-01-21,17.299999237060547
2015-01-22,17.829999923706055
2015-01-23,17.020000457763672
2015-01-26,17.469999313354492
2015-01-27,17.670000076293945
2015-01-28,17.700000762939453
2015-01-29,16.93000030517578
2015-01-30,17.040000915527344
2015-02-02,17.139999389648438
2015-02-03,18.09000015258789
2015-02-04,18.010000228881836
2015-02-05,19.040000915527344
2015-02-06,19.01000022888184
2015-02-09,19.170000076293945
2015-02-10,19.11000061035156
2015-02-11,19.15999984741211
2015-02-12,19.81999969482422
2015-02-13,20.01000022888184
2015-02-17,19.71999931335449
2015-02-18,19.299999237060547
2015-02-19,19.239999771118164
2015-02-20,19.46999931335449
2015-02-23,19.479999542236328
2015-02-24,19.690000534057617
2015-02-25,18.89999961853028
2015-02-26,18.600000381469727
2015-02-27,18.21999931335449
2015-03-02,18.059999465942383
2015-03-03,18.11000061035156
2015-03-04,18.450000762939453
2015-03-05,18.76000022888184
2015-03-06,18.229999542236328
2015-03-09,17.8799991607666
2015-03-10,17.110000610351562
2015-03-11,17.610000610351562
2015-03-12,18.31999969482422
2015-03-13,18.280000686645508
2015-03-16,18.299999237060547
2015-03-17,18.6299991607666
2015-03-18,20.270000457763672
2015-03-19,19.770000457763672
2015-03-20,20.200000762939453
2015-03-23,20.39999961853028
2015-03-24,20.239999771118164
2015-03-25,20.34000015258789
2015-03-26,20.01000022888184
2015-03-27,19.5
2015-03-30,20.21999931335449
2015-03-31,20.100000381469727
2015-04-01,19.780000686645508
2015-04-02,20.43000030517578
2015-04-06,20.020000457763672
2015-04-07,20.31999969482422
2015-04-08,20.420000076293945
2015-04-09,20.700000762939453
2015-04-10,20.61000061035156
2015-04-13,20.530000686645508
2015-04-14,21.0
2015-04-15,21.239999771118164
2015-04-16,20.920000076293945
2015-04-17,20.440000534057617
2015-04-20,20.8799991607666
2015-04-21,21.280000686645508
2015-04-22,21.290000915527344
2015-04-23,21.979999542236328
2015-04-24,21.86000061035156
2015-04-27,21.86000061035156
2015-04-28,22.229999542236328
2015-04-29,21.979999542236328
2015-04-30,22.1299991607666
2015-05-01,22.06999969482422
2015-05-04,22.290000915527344
2015-05-05,22.01000022888184
2015-05-06,21.690000534057617
2015-05-07,21.770000457763672
2015-05-08,22.040000915527344
2015-05-11,21.93000030517578
2015-05-12,21.6200008392334
2015-05-13,21.76000022888184
2015-05-14,21.799999237060547
2015-05-15,21.65999984741211
2015-05-18,21.690000534057617
2015-05-19,21.299999237060547
2015-05-20,21.34000015258789
2015-05-21,21.18000030517578
2015-05-22,21.75
2015-05-26,21.56999969482422
2015-05-27,21.88999938964844
2015-05-28,21.709999084472656
2015-05-29,21.809999465942383
2015-06-01,21.950000762939453
2015-06-02,22.420000076293945
2015-06-03,22.489999771118164
2015-06-04,22.200000762939453
2015-06-05,22.170000076293945
2015-06-08,21.799999237060547
2015-06-09,21.84000015258789
2015-06-10,21.920000076293945
2015-06-11,21.65999984741211
2015-06-12,21.770000457763672
2015-06-15,21.26000022888184
2015-06-16,21.3799991607666
2015-06-17,21.32999992370605
2015-06-18,21.459999084472656
2015-06-19,21.38999938964844
2015-06-22,21.739999771118164
2015-06-23,22.350000381469727
2015-06-24,22.299999237060547
2015-06-25,22.14999961853028
2015-06-26,22.049999237060547
2015-06-29,21.36000061035156
2015-06-30,20.71999931335449
2015-07-01,20.86000061035156
2015-07-02,20.450000762939453
2015-07-06,20.07999992370605
2015-07-07,20.18000030517578
2015-07-08,19.6299991607666
2015-07-09,19.3799991607666
2015-07-10,19.6200008392334
2015-07-13,20.040000915527344
2015-07-14,20.0
2015-07-15,19.71999931335449
2015-07-16,19.56999969482422
2015-07-17,19.170000076293945
2015-07-20,18.780000686645508
2015-07-21,19.38999938964844
2015-07-22,19.63999938964844
2015-07-23,19.57999992370605
2015-07-24,18.8700008392334
2015-07-27,19.040000915527344
2015-07-28,20.059999465942383
2015-07-29,20.64999961853028
2015-07-30,20.40999984741211
2015-07-31,20.030000686645508
2015-08-03,20.46999931335449
2015-08-04,20.850000381469727
2015-08-05,21.309999465942383
2015-08-06,21.25
2015-08-07,20.93000030517578
2015-08-10,21.670000076293945
2015-08-11,20.90999984741211
2015-08-12,20.280000686645508
2015-08-13,20.38999938964844
2015-08-14,20.89999961853028
2015-08-17,21.3700008392334
2015-08-18,21.059999465942383
2015-08-19,20.38999938964844
2015-08-20,19.739999771118164
2015-08-21,18.950000762939453
2015-08-24,18.270000457763672
2015-08-25,18.020000457763672
2015-08-26,18.299999237060547
2015-08-27,19.46999931335449
2015-08-28,19.61000061035156
2015-08-31,19.479999542236328
2015-09-01,18.799999237060547
2015-09-02,19.440000534057617
2015-09-03,19.229999542236328
2015-09-04,18.700000762939453
2015-09-08,19.6299991607666
2015-09-09,19.190000534057617
2015-09-10,19.030000686645508
2015-09-11,18.799999237060547
2015-09-14,18.100000381469727
2015-09-15,18.0
2015-09-16,18.190000534057617
2015-09-17,18.0
2015-09-18,17.889999389648438
2015-09-21,17.920000076293945
2015-09-22,17.329999923706055
2015-09-23,17.020000457763672
2015-09-24,17.579999923706055
2015-09-25,17.25
2015-09-28,16.690000534057617
2015-09-29,16.829999923706055
2015-09-30,17.18000030517578
