,WSM
2015-01-02,37.42499923706055
2015-01-05,37.244998931884766
2015-01-06,37.06999969482422
2015-01-07,38.41999816894531
2015-01-08,38.93000030517578
2015-01-09,38.38999938964844
2015-01-12,38.334999084472656
2015-01-13,37.935001373291016
2015-01-14,38.494998931884766
2015-01-15,37.595001220703125
2015-01-16,38.16999816894531
2015-01-20,38.369998931884766
2015-01-21,39.1349983215332
2015-01-22,39.20000076293945
2015-01-23,39.72499847412109
2015-01-26,40.470001220703125
2015-01-27,39.790000915527344
2015-01-28,39.8849983215332
2015-01-29,40.38999938964844
2015-01-30,39.125
2015-02-02,39.32500076293945
2015-02-03,39.90999984741211
2015-02-04,40.255001068115234
2015-02-05,40.23500061035156
2015-02-06,40.095001220703125
2015-02-09,39.525001525878906
2015-02-10,40.310001373291016
2015-02-11,40.28499984741211
2015-02-12,40.68999862670898
2015-02-13,41.05500030517578
2015-02-17,40.84999847412109
2015-02-18,40.04999923706055
2015-02-19,39.59000015258789
2015-02-20,39.88999938964844
2015-02-23,40.13999938964844
2015-02-24,40.56999969482422
2015-02-25,40.584999084472656
2015-02-26,39.915000915527344
2015-02-27,40.22499847412109
2015-03-02,40.72499847412109
2015-03-03,40.04999923706055
2015-03-04,39.6349983215332
2015-03-05,39.60499954223633
2015-03-06,39.33000183105469
2015-03-09,40.01499938964844
2015-03-10,39.915000915527344
2015-03-11,40.30500030517578
2015-03-12,40.79499816894531
2015-03-13,41.07500076293945
2015-03-16,41.59999847412109
2015-03-17,41.935001373291016
2015-03-18,40.47999954223633
2015-03-19,39.709999084472656
2015-03-20,39.34999847412109
2015-03-23,39.755001068115234
2015-03-24,40.2599983215332
2015-03-25,39.76499938964844
2015-03-26,38.58000183105469
2015-03-27,38.95000076293945
2015-03-30,39.55500030517578
2015-03-31,39.85499954223633
2015-04-01,39.369998931884766
2015-04-02,39.80500030517578
2015-04-06,39.71500015258789
2015-04-07,39.27000045776367
2015-04-08,39.27000045776367
2015-04-09,38.685001373291016
2015-04-10,38.97999954223633
2015-04-13,39.165000915527344
2015-04-14,38.86000061035156
2015-04-15,38.834999084472656
2015-04-16,38.60499954223633
2015-04-17,38.255001068115234
2015-04-20,38.39500045776367
2015-04-21,38.369998931884766
2015-04-22,38.040000915527344
2015-04-23,38.345001220703125
2015-04-24,38.45500183105469
2015-04-27,37.86000061035156
2015-04-28,37.525001525878906
2015-04-29,37.244998931884766
2015-04-30,36.76499938964844
2015-05-01,37.505001068115234
2015-05-04,37.94499969482422
2015-05-05,37.69499969482422
2015-05-06,37.77999877929688
2015-05-07,37.935001373291016
2015-05-08,38.505001068115234
2015-05-11,38.720001220703125
2015-05-12,38.34000015258789
2015-05-13,37.89500045776367
2015-05-14,37.86000061035156
2015-05-15,38.06999969482422
2015-05-18,39.17499923706055
2015-05-19,39.1150016784668
2015-05-20,38.94499969482422
2015-05-21,39.28499984741211
