,JBL
2015-01-02,21.6200008392334
2015-01-05,21.270000457763672
2015-01-06,21.020000457763672
2015-01-07,21.420000076293945
2015-01-08,21.979999542236328
2015-01-09,21.75
2015-01-12,21.479999542236328
2015-01-13,21.3799991607666
2015-01-14,21.1299991607666
2015-01-15,20.6200008392334
2015-01-16,21.06999969482422
2015-01-20,20.63999938964844
2015-01-21,20.59000015258789
2015-01-22,20.8799991607666
2015-01-23,20.790000915527344
2015-01-26,20.89999961853028
2015-01-27,20.46999931335449
2015-01-28,20.309999465942383
2015-01-29,20.950000762939453
2015-01-30,20.61000061035156
2015-02-02,20.670000076293945
2015-02-03,21.15999984741211
2015-02-04,20.979999542236328
2015-02-05,21.25
2015-02-06,21.239999771118164
2015-02-09,21.290000915527344
2015-02-10,21.559999465942383
2015-02-11,21.68000030517578
2015-02-12,22.0
2015-02-13,22.270000457763672
2015-02-17,22.229999542236328
2015-02-18,22.280000686645508
2015-02-19,22.21999931335449
2015-02-20,22.38999938964844
2015-02-23,22.309999465942383
2015-02-24,22.59000015258789
2015-02-25,22.209999084472656
2015-02-26,22.1200008392334
2015-02-27,21.96999931335449
2015-03-02,22.299999237060547
2015-03-03,22.0
2015-03-04,22.09000015258789
2015-03-05,21.89999961853028
2015-03-06,21.739999771118164
2015-03-09,21.770000457763672
2015-03-10,21.280000686645508
2015-03-11,21.489999771118164
2015-03-12,21.690000534057617
2015-03-13,21.729999542236328
2015-03-16,22.21999931335449
2015-03-17,22.63999938964844
2015-03-18,22.64999961853028
2015-03-19,23.350000381469727
2015-03-20,23.64999961853028
2015-03-23,23.39999961853028
2015-03-24,23.559999465942383
2015-03-25,22.770000457763672
2015-03-26,22.8700008392334
2015-03-27,22.89999961853028
2015-03-30,23.489999771118164
2015-03-31,23.3799991607666
2015-04-01,23.14999961853028
2015-04-02,23.13999938964844
2015-04-06,23.290000915527344
2015-04-07,23.25
2015-04-08,23.93000030517578
2015-04-09,23.88999938964844
2015-04-10,23.90999984741211
2015-04-13,23.65999984741211
2015-04-14,23.89999961853028
2015-04-15,23.950000762939453
2015-04-16,23.59000015258789
2015-04-17,23.06999969482422
2015-04-20,23.34000015258789
2015-04-21,23.46999931335449
2015-04-22,23.76000022888184
2015-04-23,23.93000030517578
2015-04-24,23.690000534057617
2015-04-27,23.64999961853028
2015-04-28,23.32999992370605
2015-04-29,23.14999961853028
2015-04-30,22.520000457763672
2015-05-01,22.959999084472656
2015-05-04,23.31999969482422
2015-05-05,22.979999542236328
2015-05-06,22.88999938964844
2015-05-07,23.18000030517578
2015-05-08,23.3799991607666
2015-05-11,23.450000762939453
2015-05-12,23.39999961853028
2015-05-13,23.559999465942383
2015-05-14,24.239999771118164
2015-05-15,24.309999465942383
2015-05-18,24.82999992370605
2015-05-19,24.530000686645508
2015-05-20,24.71999931335449
2015-05-21,24.459999084472656
2015-05-22,24.56999969482422
2015-05-26,24.32999992370605
2015-05-27,24.65999984741211
2015-05-28,24.61000061035156
2015-05-29,24.56999969482422
2015-06-01,24.15999984741211
2015-06-02,23.96999931335449
2015-06-03,24.09000015258789
2015-06-04,23.979999542236328
2015-06-05,24.229999542236328
2015-06-08,23.84000015258789
2015-06-09,23.700000762939453
2015-06-10,24.0
2015-06-11,24.190000534057617
2015-06-12,24.13999938964844
2015-06-15,24.07999992370605
2015-06-16,24.59000015258789
2015-06-17,24.32999992370605
2015-06-18,22.520000457763672
2015-06-19,22.600000381469727
2015-06-22,22.68000030517578
2015-06-23,22.600000381469727
2015-06-24,22.280000686645508
2015-06-25,22.040000915527344
2015-06-26,21.979999542236328
2015-06-29,21.3700008392334
2015-06-30,21.290000915527344
2015-07-01,21.1200008392334
2015-07-02,21.100000381469727
2015-07-06,20.739999771118164
2015-07-07,20.739999771118164
2015-07-08,20.270000457763672
2015-07-09,20.229999542236328
2015-07-10,20.51000022888184
2015-07-13,20.36000061035156
2015-07-14,20.5
2015-07-15,19.920000076293945
2015-07-16,20.21999931335449
2015-07-17,20.01000022888184
2015-07-20,19.809999465942383
2015-07-21,19.979999542236328
2015-07-22,19.6200008392334
2015-07-23,19.59000015258789
2015-07-24,19.479999542236328
2015-07-27,19.38999938964844
2015-07-28,19.75
2015-07-29,19.959999084472656
2015-07-30,20.170000076293945
2015-07-31,20.25
2015-08-03,19.979999542236328
2015-08-04,19.739999771118164
2015-08-05,20.229999542236328
