,TFC
2015-01-02,38.650001525878906
2015-01-05,37.43000030517578
2015-01-06,36.70000076293945
2015-01-07,37.18999862670898
2015-01-08,37.810001373291016
2015-01-09,36.83000183105469
2015-01-12,36.4900016784668
2015-01-13,36.43000030517578
2015-01-14,35.65999984741211
2015-01-15,35.5
2015-01-16,36.02000045776367
2015-01-20,35.7599983215332
2015-01-21,35.63999938964844
2015-01-22,36.90999984741211
2015-01-23,36.81999969482422
2015-01-26,36.9900016784668
2015-01-27,36.290000915527344
2015-01-28,35.36000061035156
2015-01-29,35.66999816894531
2015-01-30,35.290000915527344
2015-02-02,35.959999084472656
2015-02-03,36.47999954223633
2015-02-04,36.369998931884766
2015-02-05,37.09000015258789
2015-02-06,38.02999877929688
2015-02-09,37.650001525878906
2015-02-10,37.810001373291016
2015-02-11,37.40999984741211
2015-02-12,38.31999969482422
2015-02-13,38.27999877929688
2015-02-17,38.43999862670898
2015-02-18,37.81999969482422
2015-02-19,37.79999923706055
2015-02-20,38.18999862670898
2015-02-23,37.970001220703125
2015-02-24,38.220001220703125
2015-02-25,38.34000015258789
2015-02-26,38.40999984741211
2015-02-27,38.04999923706055
2015-03-02,38.400001525878906
2015-03-03,38.16999816894531
2015-03-04,37.810001373291016
2015-03-05,37.970001220703125
2015-03-06,38.459999084472656
2015-03-09,38.56999969482422
2015-03-10,37.56999969482422
2015-03-11,37.970001220703125
2015-03-12,38.9900016784668
2015-03-13,38.90999984741211
2015-03-16,39.22999954223633
2015-03-17,39.45000076293945
2015-03-18,39.709999084472656
2015-03-19,39.560001373291016
2015-03-20,39.810001373291016
2015-03-23,39.5099983215332
2015-03-24,39.119998931884766
2015-03-25,38.47999954223633
2015-03-26,38.65999984741211
2015-03-27,38.4900016784668
2015-03-30,39.04999923706055
2015-03-31,38.9900016784668
2015-04-01,38.560001373291016
2015-04-02,38.959999084472656
2015-04-06,39.20000076293945
2015-04-07,39.119998931884766
2015-04-08,38.9900016784668
2015-04-09,39.09999847412109
2015-04-10,39.040000915527344
2015-04-13,39.41999816894531
2015-04-14,39.0
2015-04-15,39.290000915527344
2015-04-16,39.18999862670898
2015-04-17,38.52000045776367
2015-04-20,38.790000915527344
2015-04-21,38.65999984741211
2015-04-22,38.869998931884766
2015-04-23,37.86000061035156
2015-04-24,37.77999877929688
2015-04-27,37.59999847412109
2015-04-28,37.959999084472656
2015-04-29,38.310001373291016
2015-04-30,38.290000915527344
2015-05-01,38.459999084472656
2015-05-04,39.09000015258789
2015-05-05,38.970001220703125
2015-05-06,38.65999984741211
2015-05-07,38.56999969482422
2015-05-08,39.060001373291016
2015-05-11,39.0099983215332
2015-05-12,39.119998931884766
2015-05-13,39.09000015258789
2015-05-14,39.16999816894531
2015-05-15,38.720001220703125
2015-05-18,39.22999954223633
2015-05-19,39.77999877929688
2015-05-20,39.59000015258789
2015-05-21,39.560001373291016
2015-05-22,39.40999984741211
2015-05-26,39.59000015258789
2015-05-27,39.90999984741211
2015-05-28,39.88999938964844
2015-05-29,39.470001220703125
2015-06-01,39.16999816894531
2015-06-02,39.45000076293945
2015-06-03,40.0
2015-06-04,39.709999084472656
2015-06-05,40.20000076293945
2015-06-08,40.27000045776367
2015-06-09,40.59999847412109
2015-06-10,41.15999984741211
2015-06-11,40.900001525878906
2015-06-12,41.06999969482422
2015-06-15,41.25
2015-06-16,41.459999084472656
2015-06-17,41.15999984741211
2015-06-18,41.27999877929688
2015-06-19,41.02000045776367
2015-06-22,41.18999862670898
2015-06-23,41.560001373291016
2015-06-24,41.15999984741211
2015-06-25,41.02000045776367
2015-06-26,41.290000915527344
2015-06-29,40.25
2015-06-30,40.310001373291016
2015-07-01,41.040000915527344
2015-07-02,40.380001068115234
2015-07-06,40.36000061035156
2015-07-07,40.34000015258789
2015-07-08,39.810001373291016
2015-07-09,40.18000030517578
2015-07-10,40.70000076293945
2015-07-13,41.09000015258789
2015-07-14,41.220001220703125
2015-07-15,41.59000015258789
2015-07-16,41.54999923706055
2015-07-17,40.84999847412109
2015-07-20,41.18000030517578
2015-07-21,41.27000045776367
2015-07-22,41.59999847412109
2015-07-23,41.459999084472656
2015-07-24,40.790000915527344
2015-07-27,40.459999084472656
2015-07-28,40.400001525878906
2015-07-29,40.61000061035156
2015-07-30,40.61000061035156
2015-07-31,40.27000045776367
2015-08-03,40.31999969482422
2015-08-04,40.63999938964844
2015-08-05,40.869998931884766
2015-08-06,40.68999862670898
2015-08-07,40.27999877929688
2015-08-10,40.970001220703125
2015-08-11,40.209999084472656
2015-08-12,39.310001373291016
2015-08-13,39.68999862670898
2015-08-14,40.310001373291016
2015-08-17,40.18999862670898
2015-08-18,40.09000015258789
2015-08-19,39.58000183105469
2015-08-20,38.59000015258789
2015-08-21,37.59999847412109
2015-08-24,35.56999969482422
2015-08-25,34.779998779296875
2015-08-26,36.31999969482422
2015-08-27,37.22999954223633
2015-08-28,37.09999847412109
2015-08-31,36.91999816894531
2015-09-01,35.33000183105469
2015-09-02,35.880001068115234
2015-09-03,36.47999954223633
2015-09-04,35.869998931884766
2015-09-08,36.72999954223633
2015-09-09,36.27000045776367
2015-09-10,36.68000030517578
2015-09-11,36.43999862670898
2015-09-14,36.560001373291016
2015-09-15,37.08000183105469
2015-09-16,37.08000183105469
2015-09-17,36.15999984741211
2015-09-18,35.29999923706055
2015-09-21,35.7400016784668
2015-09-22,35.25
2015-09-23,35.22999954223633
2015-09-24,35.04999923706055
2015-09-25,35.68000030517578
2015-09-28,34.849998474121094
2015-09-29,35.16999816894531
2015-09-30,35.599998474121094
2015-10-01,35.630001068115234
2015-10-02,35.75
2015-10-05,36.56999969482422
2015-10-06,36.41999816894531
2015-10-07,36.810001373291016
2015-10-08,36.90999984741211
2015-10-09,36.540000915527344
2015-10-12,36.709999084472656
2015-10-13,36.220001220703125
2015-10-14,35.75
2015-10-15,36.86000061035156
2015-10-16,36.4900016784668
2015-10-19,36.25
2015-10-20,36.75
2015-10-21,36.27999877929688
2015-10-22,36.91999816894531
2015-10-23,37.65999984741211
2015-10-26,37.290000915527344
2015-10-27,36.90999984741211
2015-10-28,38.02000045776367
2015-10-29,37.7599983215332
2015-10-30,37.150001525878906
2015-11-02,37.79999923706055
2015-11-03,37.77999877929688
2015-11-04,37.81999969482422
2015-11-05,38.150001525878906
2015-11-06,39.040000915527344
2015-11-09,38.650001525878906
2015-11-10,38.33000183105469
2015-11-11,38.310001373291016
2015-11-12,37.790000915527344
2015-11-13,37.34999847412109
2015-11-16,37.91999816894531
2015-11-17,37.79999923706055
2015-11-18,38.34999847412109
2015-11-19,38.540000915527344
2015-11-20,38.650001525878906
2015-11-23,38.77000045776367
2015-11-24,38.4900016784668
2015-11-25,38.47999954223633
2015-11-27,38.65999984741211
2015-11-30,38.619998931884766
2015-12-01,38.970001220703125
2015-12-02,38.4900016784668
2015-12-03,37.880001068115234
2015-12-04,38.95000076293945
2015-12-07,38.70000076293945
2015-12-08,37.900001525878906
2015-12-09,37.2400016784668
2015-12-10,37.560001373291016
2015-12-11,36.810001373291016
2015-12-14,36.90999984741211
2015-12-15,37.68000030517578
2015-12-16,38.33000183105469
2015-12-17,37.83000183105469
2015-12-18,37.22999954223633
2015-12-21,37.27999877929688
2015-12-22,37.63999938964844
2015-12-23,38.2400016784668
2015-12-24,38.27000045776367
2015-12-28,38.09000015258789
2015-12-29,38.540000915527344
2015-12-30,38.16999816894531
2015-12-31,37.810001373291016
2016-01-04,36.650001525878906
2016-01-05,36.65999984741211
2016-01-06,36.150001525878906
2016-01-07,35.119998931884766
2016-01-08,34.36000061035156
2016-01-11,34.68000030517578
2016-01-12,34.900001525878906
2016-01-13,33.720001220703125
2016-01-14,34.02000045776367
2016-01-15,33.13999938964844
2016-01-19,32.91999816894531
2016-01-20,32.86000061035156
2016-01-21,31.780000686645508
2016-01-22,31.950000762939453
2016-01-25,31.11000061035156
2016-01-26,31.46999931335449
2016-01-27,31.64999961853028
2016-01-28,31.90999984741211
2016-01-29,32.65999984741211
2016-02-01,32.290000915527344
2016-02-02,31.57999992370605
2016-02-03,31.780000686645508
2016-02-04,32.15999984741211
2016-02-05,32.060001373291016
2016-02-08,31.32999992370605
2016-02-09,31.600000381469727
2016-02-10,31.270000457763672
2016-02-11,30.280000686645508
2016-02-12,31.57999992370605
2016-02-16,32.58000183105469
2016-02-17,32.91999816894531
2016-02-18,32.2599983215332
2016-02-19,32.380001068115234
2016-02-22,32.970001220703125
2016-02-23,32.099998474121094
2016-02-24,32.0
2016-02-25,32.4900016784668
2016-02-26,33.29999923706055
2016-02-29,32.15999984741211
2016-03-01,33.45000076293945
2016-03-02,33.810001373291016
2016-03-03,34.27000045776367
2016-03-04,34.4900016784668
2016-03-07,34.349998474121094
2016-03-08,33.65999984741211
2016-03-09,33.459999084472656
2016-03-10,33.65999984741211
2016-03-11,34.45000076293945
2016-03-14,34.380001068115234
2016-03-15,34.25
2016-03-16,33.959999084472656
2016-03-17,34.150001525878906
2016-03-18,34.66999816894531
2016-03-21,34.630001068115234
2016-03-22,34.400001525878906
2016-03-23,34.13999938964844
2016-03-24,33.689998626708984
2016-03-28,33.560001373291016
2016-03-29,33.31999969482422
2016-03-30,33.529998779296875
2016-03-31,33.27000045776367
2016-04-01,33.5099983215332
2016-04-04,33.689998626708984
2016-04-05,33.060001373291016
2016-04-06,33.130001068115234
2016-04-07,32.439998626708984
2016-04-08,32.4900016784668
2016-04-11,32.619998931884766
2016-04-12,33.04999923706055
2016-04-13,34.209999084472656
2016-04-14,34.5
2016-04-15,34.029998779296875
2016-04-18,34.25
2016-04-19,34.709999084472656
2016-04-20,35.209999084472656
2016-04-21,35.13999938964844
2016-04-22,35.83000183105469
2016-04-25,35.459999084472656
2016-04-26,36.15999984741211
2016-04-27,36.150001525878906
2016-04-28,35.599998474121094
2016-04-29,35.380001068115234
2016-05-02,35.40999984741211
2016-05-03,34.83000183105469
2016-05-04,34.11000061035156
2016-05-05,34.0
2016-05-06,34.02000045776367
2016-05-09,33.72999954223633
2016-05-10,34.380001068115234
2016-05-11,33.93000030517578
2016-05-12,33.72999954223633
2016-05-13,33.119998931884766
2016-05-16,33.529998779296875
2016-05-17,33.619998931884766
2016-05-18,34.81999969482422
2016-05-19,35.0099983215332
2016-05-20,35.08000183105469
2016-05-23,34.97999954223633
2016-05-24,35.540000915527344
2016-05-25,36.369998931884766
2016-05-26,36.130001068115234
2016-05-27,36.34999847412109
2016-05-31,36.369998931884766
2016-06-01,36.66999816894531
2016-06-02,36.93000030517578
2016-06-03,36.369998931884766
2016-06-06,36.77999877929688
2016-06-07,36.619998931884766
2016-06-08,36.61000061035156
2016-06-09,36.18000030517578
2016-06-10,35.91999816894531
2016-06-13,35.77000045776367
2016-06-14,35.380001068115234
2016-06-15,35.56999969482422
2016-06-16,35.560001373291016
2016-06-17,35.75
2016-06-20,35.7599983215332
2016-06-21,35.9900016784668
2016-06-22,35.97999954223633
2016-06-23,36.95000076293945
2016-06-24,34.52000045776367
2016-06-27,33.04999923706055
2016-06-28,34.119998931884766
2016-06-29,34.68000030517578
2016-06-30,35.61000061035156
2016-07-01,35.27000045776367
2016-07-05,34.220001220703125
2016-07-06,34.459999084472656
2016-07-07,34.77000045776367
2016-07-08,35.220001220703125
2016-07-11,35.380001068115234
2016-07-12,36.02000045776367
2016-07-13,35.900001525878906
2016-07-14,36.66999816894531
2016-07-15,36.77000045776367
2016-07-18,36.68000030517578
2016-07-19,36.619998931884766
2016-07-20,36.43999862670898
2016-07-21,36.59000015258789
2016-07-22,36.880001068115234
2016-07-25,36.790000915527344
2016-07-26,36.9900016784668
2016-07-27,36.95000076293945
2016-07-28,37.11000061035156
2016-07-29,36.869998931884766
2016-08-01,36.66999816894531
2016-08-02,36.380001068115234
2016-08-03,37.13999938964844
2016-08-04,36.970001220703125
2016-08-05,38.060001373291016
2016-08-08,38.0
2016-08-09,38.0
2016-08-10,37.130001068115234
2016-08-11,37.18999862670898
2016-08-12,37.0099983215332
2016-08-15,37.52999877929688
2016-08-16,37.5
