,JKHY
2015-01-02,62.209999084472656
2015-01-05,61.630001068115234
2015-01-06,61.40999984741211
2015-01-07,61.95000076293945
2015-01-08,63.22999954223633
2015-01-09,62.540000915527344
2015-01-12,63.0
2015-01-13,63.5099983215332
2015-01-14,63.18000030517578
2015-01-15,62.52000045776367
2015-01-16,63.52999877929688
2015-01-20,63.09000015258789
2015-01-21,63.20000076293945
2015-01-22,64.75
2015-01-23,64.13999938964844
2015-01-26,64.01000213623047
2015-01-27,63.18999862670898
2015-01-28,62.619998931884766
2015-01-29,62.650001525878906
2015-01-30,61.369998931884766
2015-02-02,61.95000076293945
2015-02-03,63.119998931884766
2015-02-04,62.43999862670898
2015-02-05,64.1500015258789
2015-02-06,63.58000183105469
2015-02-09,63.20000076293945
2015-02-10,64.30999755859375
2015-02-11,64.54000091552734
2015-02-12,65.26000213623047
2015-02-13,65.77999877929688
2015-02-17,66.12999725341797
2015-02-18,66.79000091552734
2015-02-19,66.69999694824219
2015-02-20,67.26000213623047
2015-02-23,66.81999969482422
2015-02-24,67.2300033569336
2015-02-25,66.8499984741211
2015-02-26,66.43000030517578
2015-02-27,65.5
2015-03-02,67.05000305175781
2015-03-03,66.58000183105469
2015-03-04,66.20999908447266
2015-03-05,67.01000213623047
2015-03-06,66.37999725341797
2015-03-09,66.83999633789062
2015-03-10,65.97000122070312
2015-03-11,66.47000122070312
2015-03-12,67.52999877929688
2015-03-13,66.61000061035156
2015-03-16,67.66999816894531
2015-03-17,67.68000030517578
2015-03-18,68.86000061035156
2015-03-19,69.3499984741211
2015-03-20,69.97000122070312
2015-03-23,70.01000213623047
2015-03-24,69.37999725341797
2015-03-25,68.47000122070312
2015-03-26,68.83999633789062
2015-03-27,68.68000030517578
2015-03-30,69.66999816894531
2015-03-31,69.88999938964844
2015-04-01,69.61000061035156
2015-04-02,69.69000244140625
2015-04-06,70.08999633789062
2015-04-07,69.33000183105469
2015-04-08,69.06999969482422
2015-04-09,68.41999816894531
2015-04-10,68.02999877929688
2015-04-13,68.1500015258789
2015-04-14,68.41000366210938
2015-04-15,67.62000274658203
2015-04-16,67.33000183105469
2015-04-17,66.69000244140625
2015-04-20,67.0999984741211
2015-04-21,67.69999694824219
2015-04-22,68.02999877929688
2015-04-23,68.13999938964844
2015-04-24,67.44999694824219
2015-04-27,67.25
2015-04-28,67.94999694824219
2015-04-29,67.45999908447266
2015-04-30,66.51000213623047
2015-05-01,66.95999908447266
2015-05-04,67.19999694824219
2015-05-05,66.27999877929688
2015-05-06,67.08999633789062
2015-05-07,66.0
2015-05-08,65.08000183105469
2015-05-11,65.1500015258789
2015-05-12,65.0
2015-05-13,65.01000213623047
2015-05-14,65.61000061035156
2015-05-15,65.02999877929688
2015-05-18,65.69000244140625
2015-05-19,65.62000274658203
2015-05-20,65.37000274658203
2015-05-21,64.98999786376953
2015-05-22,65.0999984741211
2015-05-26,64.19999694824219
2015-05-27,65.1500015258789
