,HWM
2016-11-01,14.509202003479004
2016-11-02,13.757669448852539
2016-11-03,13.412576675415039
2016-11-04,13.558281898498535
2016-11-07,13.29754638671875
2016-11-08,13.351226806640625
2016-11-09,13.443251609802246
2016-11-10,14.148773193359375
2016-11-11,14.463190078735352
2016-11-14,14.639571189880371
2016-11-15,15.268404960632324
2016-11-16,15.038344383239746
2016-11-17,14.953988075256348
2016-11-18,15.268404960632324
2016-11-21,15.475460052490234
2016-11-22,15.253067016601562
2016-11-23,15.552146911621094
2016-11-25,15.743865013122559
2016-11-28,15.45245361328125
2016-11-29,15.084356307983398
2016-11-30,14.785276412963867
2016-12-01,14.953988075256348
2016-12-02,15.099693298339844
2016-12-05,15.536809921264648
2016-12-06,15.5828218460083
2016-12-07,16.012269973754883
2016-12-08,16.035276412963867
2016-12-09,16.717790603637695
2016-12-12,16.54907989501953
2016-12-13,16.25
2016-12-14,15.912576675415039
2016-12-15,15.766871452331543
2016-12-16,15.536809921264648
2016-12-19,15.352761268615723
2016-12-20,15.41411018371582
2016-12-21,15.352761268615723
2016-12-22,15.391103744506836
2016-12-23,15.16871166229248
2016-12-27,15.16871166229248
2016-12-28,14.762269973754883
2016-12-29,14.34049129486084
2016-12-30,14.217790603637695
2017-01-03,14.71625804901123
2017-01-04,15.107361793518066
2017-01-05,15.41411018371582
2017-01-06,15.820551872253418
2017-01-09,15.636503219604492
2017-01-10,15.881901741027832
2017-01-11,16.18098258972168
2017-01-12,16.104293823242188
2017-01-13,16.20398712158203
2017-01-17,15.904908180236816
2017-01-18,16.012269973754883
2017-01-19,16.342025756835938
2017-01-20,16.32668685913086
2017-01-23,16.357362747192383
2017-01-24,17.00153350830078
2017-01-25,17.400306701660156
2017-01-26,17.530675888061523
2017-01-27,17.331287384033203
2017-01-30,17.254600524902344
2017-01-31,17.476993560791016
2017-02-01,19.386503219604492
2017-02-02,19.325153350830078
2017-02-03,19.861963272094727
2017-02-06,20.092025756835938
2017-02-07,20.41411018371582
2017-02-08,20.935583114624023
2017-02-09,21.44171714782715
2017-02-10,22.714723587036133
2017-02-13,22.737730026245117
2017-02-14,22.638036727905273
2017-02-15,22.400306701660156
2017-02-16,22.61503028869629
2017-02-17,22.937116622924805
2017-02-21,23.228527069091797
2017-02-22,23.427913665771484
2017-02-23,22.676380157470703
2017-02-24,22.484663009643555
2017-02-27,22.42331314086914
2017-02-28,22.07822036743164
2017-03-01,22.65337371826172
2017-03-02,21.886503219604492
2017-03-03,21.541410446166992
2017-03-06,21.24233055114746
2017-03-07,20.690183639526367
2017-03-08,20.590490341186523
2017-03-09,20.314416885375977
2017-03-10,20.575153350830078
2017-03-13,20.552146911621094
2017-03-14,20.45245361328125
2017-03-15,20.9049072265625
2017-03-16,20.95092010498047
2017-03-17,21.088956832885742
2017-03-20,21.372699737548828
2017-03-21,20.513803482055664
2017-03-22,20.322086334228516
2017-03-23,20.46012306213379
2017-03-24,20.46012306213379
2017-03-27,20.36809730529785
2017-03-28,20.736196517944336
2017-03-29,20.092025756835938
2017-03-30,20.36809730529785
