,DOC
2015-01-02,40.84699630737305
2015-01-05,41.256832122802734
2015-01-06,42.04007339477539
2015-01-07,42.9326057434082
2015-01-08,42.35883331298828
2015-01-09,42.40437316894531
2015-01-12,43.07832336425781
2015-01-13,42.99635696411133
2015-01-14,43.47905349731445
2015-01-15,43.86156463623047
2015-01-16,43.9071044921875
2015-01-20,43.87067413330078
2015-01-21,43.24225997924805
2015-01-22,43.74316787719727
2015-01-23,43.85245895385742
2015-01-26,43.797813415527344
2015-01-27,43.67941665649414
2015-01-28,43.6065559387207
2015-01-29,43.67031097412109
2015-01-30,43.069217681884766
2015-02-02,42.96903610229492
2015-02-03,42.632057189941406
2015-02-04,41.31147384643555
2015-02-05,41.16575622558594
2015-02-06,39.9089241027832
2015-02-09,39.74499130249024
2015-02-10,38.87067413330078
2015-02-11,38.7887077331543
2015-02-12,38.86156463623047
2015-02-13,39.04371643066406
2015-02-17,39.14389801025391
2015-02-18,39.66302490234375
2015-02-19,39.12568283081055
2015-02-20,39.5810546875
2015-02-23,39.82695770263672
2015-02-24,38.39708709716797
2015-02-25,38.52458953857422
2015-02-26,38.051002502441406
2015-02-27,38.5792350769043
2015-03-02,38.41530227661133
2015-03-03,38.45172882080078
2015-03-04,38.051002502441406
2015-03-05,38.196720123291016
2015-03-06,36.739524841308594
2015-03-09,37.01274871826172
2015-03-10,37.00364303588867
2015-03-11,36.411659240722656
2015-03-12,36.73041915893555
2015-03-13,36.60291290283203
2015-03-16,36.93989181518555
2015-03-17,37.11293411254883
2015-03-18,37.94171142578125
2015-03-19,37.559200286865234
2015-03-20,38.65209579467773
2015-03-23,38.633880615234375
2015-03-24,38.67031097412109
2015-03-25,38.07832336425781
2015-03-26,38.11475372314453
2015-03-27,38.387977600097656
2015-03-30,39.89981842041016
2015-03-31,39.35337066650391
2015-04-01,39.70856094360352
2015-04-02,40.063751220703125
2015-04-06,40.610198974609375
2015-04-07,40.28233337402344
2015-04-08,40.0
2015-04-09,38.9981803894043
2015-04-10,38.83424377441406
2015-04-13,38.597450256347656
2015-04-14,38.88888931274414
2015-04-15,39.17121887207031
2015-04-16,39.216758728027344
2015-04-17,39.36247634887695
2015-04-20,39.4626579284668
2015-04-21,39.0255012512207
2015-04-22,38.424407958984375
2015-04-23,38.77049255371094
2015-04-24,38.66120147705078
2015-04-27,38.62477111816406
2015-04-28,38.588340759277344
2015-04-29,37.59562683105469
2015-04-30,36.69398880004883
2015-05-01,36.976322174072266
2015-05-04,37.11293411254883
2015-05-05,36.02003479003906
2015-05-06,35.70127487182617
2015-05-07,35.73770523071289
2015-05-08,36.26593780517578
2015-05-11,35.673954010009766
2015-05-12,35.74681091308594
2015-05-13,35.15482711791992
2015-05-14,35.75592041015625
2015-05-15,36.24772262573242
2015-05-18,36.26593780517578
2015-05-19,36.275047302246094
2015-05-20,36.22950744628906
2015-05-21,36.02003479003906
2015-05-22,36.010929107666016
2015-05-26,35.628414154052734
2015-05-27,35.92896270751953
2015-05-28,35.628414154052734
2015-05-29,35.26411819458008
2015-06-01,35.61930847167969
2015-06-02,35.437156677246094
2015-06-03,34.82695770263672
2015-06-04,34.872493743896484
2015-06-05,34.0255012512207
2015-06-08,33.934425354003906
2015-06-09,33.87067413330078
2015-06-10,34.426231384277344
2015-06-11,34.65391540527344
2015-06-12,34.66302490234375
2015-06-15,34.198543548583984
2015-06-16,34.39890670776367
2015-06-17,34.73588180541992
2015-06-18,35.0
2015-06-19,34.36247634887695
2015-06-22,34.216758728027344
2015-06-23,33.970855712890625
2015-06-24,33.54280471801758
2015-06-25,33.09653854370117
2015-06-26,33.597450256347656
2015-06-29,33.460838317871094
2015-06-30,33.214935302734375
2015-07-01,33.62477111816406
2015-07-02,33.67941665649414
2015-07-06,33.825138092041016
2015-07-07,34.562843322753906
2015-07-08,34.48998260498047
2015-07-09,34.28050994873047
2015-07-10,34.41712188720703
2015-07-13,34.553733825683594
2015-07-14,34.43533706665039
2015-07-15,34.10746765136719
2015-07-16,34.426231384277344
2015-07-17,34.15300369262695
2015-07-20,34.36247634887695
2015-07-21,34.18943405151367
2015-07-22,34.57194900512695
2015-07-23,34.36247634887695
2015-07-24,34.62659454345703
2015-07-27,34.89981842041016
2015-07-28,35.19125747680664
2015-07-29,35.30054473876953
2015-07-30,34.83606719970703
2015-07-31,35.19125747680664
2015-08-03,35.39162063598633
2015-08-04,35.39162063598633
2015-08-05,35.13661193847656
2015-08-06,34.562843322753906
2015-08-07,34.63570022583008
2015-08-10,34.45355224609375
2015-08-11,34.64480972290039
2015-08-12,36.05646514892578
2015-08-13,36.156646728515625
2015-08-14,36.58469772338867
2015-08-17,37.08560943603516
2015-08-18,37.02185821533203
2015-08-19,37.0673942565918
2015-08-20,36.89435195922852
2015-08-21,36.366119384765625
2015-08-24,34.96356964111328
2015-08-25,33.51548385620117
2015-08-26,34.162113189697266
2015-08-27,34.553733825683594
2015-08-28,34.33515548706055
2015-08-31,33.75227737426758
2015-09-01,33.36065673828125
2015-09-02,33.45172882080078
2015-09-03,33.31511688232422
2015-09-04,32.495445251464844
2015-09-08,33.278690338134766
2015-09-09,32.814208984375
2015-09-10,32.650272369384766
2015-09-11,32.86885070800781
2015-09-14,33.178504943847656
2015-09-15,33.70674133300781
2015-09-16,34.31694030761719
