,MPWR
2019-01-03,108.61000061035156
2019-01-04,113.08000183105467
2019-01-07,116.0500030517578
2019-01-08,118.02999877929688
2019-01-09,121.95999908447266
2019-01-10,122.79000091552734
2019-01-11,124.16999816894533
2019-01-14,120.44000244140624
2019-01-15,122.63999938964844
2019-01-16,121.37999725341795
2019-01-17,122.5999984741211
2019-01-18,124.7699966430664
2019-01-22,120.9800033569336
2019-01-23,119.63999938964844
2019-01-24,126.8000030517578
2019-01-25,130.7100067138672
2019-01-28,128.25999450683594
2019-01-29,126.4499969482422
2019-01-30,126.76000213623048
2019-01-31,126.55999755859376
2019-02-01,129.5399932861328
2019-02-04,131.39999389648438
2019-02-05,132.4600067138672
2019-02-06,134.9199981689453
2019-02-07,131.0800018310547
2019-02-08,131.2899932861328
2019-02-11,130.6699981689453
2019-02-12,132.0
2019-02-13,134.27999877929688
2019-02-14,136.0
2019-02-15,138.47999572753906
2019-02-19,136.4199981689453
2019-02-20,136.64999389648438
2019-02-21,135.2899932861328
2019-02-22,136.55999755859375
2019-02-25,137.5399932861328
2019-02-26,136.64999389648438
2019-02-27,134.92999267578125
2019-02-28,134.11000061035156
2019-03-01,136.17999267578125
2019-03-04,136.5
2019-03-05,137.10000610351562
2019-03-06,134.92999267578125
2019-03-07,134.10000610351562
2019-03-08,134.3000030517578
2019-03-11,137.5
2019-03-12,137.69000244140625
2019-03-13,138.69000244140625
2019-03-14,137.9499969482422
2019-03-15,141.10000610351562
2019-03-18,140.9199981689453
2019-03-19,141.52000427246094
2019-03-20,140.52999877929688
2019-03-21,145.00999450683594
2019-03-22,139.6699981689453
2019-03-25,138.6199951171875
2019-03-26,140.25999450683594
2019-03-27,135.41000366210938
2019-03-28,134.2899932861328
2019-03-29,135.49000549316406
2019-04-01,140.33999633789062
2019-04-02,138.44000244140625
2019-04-03,144.77999877929688
2019-04-04,143.74000549316406
2019-04-05,144.6199951171875
2019-04-08,145.8300018310547
2019-04-09,146.05999755859375
2019-04-10,148.85000610351562
2019-04-11,148.86000061035156
2019-04-12,152.24000549316406
2019-04-15,151.57000732421875
2019-04-16,154.8000030517578
2019-04-17,155.08999633789062
2019-04-18,153.91000366210938
2019-04-22,153.35000610351562
2019-04-23,154.6999969482422
2019-04-24,157.52999877929688
2019-04-25,155.74000549316406
2019-04-26,154.97999572753906
2019-04-29,154.1999969482422
2019-04-30,155.7100067138672
2019-05-01,154.39999389648438
2019-05-02,156.1699981689453
2019-05-03,144.97000122070312
2019-05-06,141.2100067138672
2019-05-07,138.4199981689453
2019-05-08,137.25
2019-05-09,136.72999572753906
2019-05-10,136.14999389648438
2019-05-13,126.5199966430664
2019-05-14,128.3300018310547
2019-05-15,129.1699981689453
2019-05-16,128.75
2019-05-17,124.6999969482422
2019-05-20,121.25
2019-05-21,122.9800033569336
2019-05-22,121.30999755859376
2019-05-23,118.76000213623048
