,CRH
2020-01-14,39.209999084472656
2020-01-15,38.77000045776367
2020-01-16,38.880001068115234
2020-01-17,38.81999969482422
2020-01-21,38.41999816894531
2020-01-22,38.38999938964844
2020-01-23,38.38999938964844
2020-01-24,38.560001373291016
2020-01-27,37.77000045776367
2020-01-28,38.130001068115234
2020-01-29,38.2599983215332
2020-01-30,38.43000030517578
2020-01-31,37.59000015258789
2020-02-03,38.09999847412109
2020-02-04,38.7599983215332
2020-02-05,39.04999923706055
2020-02-06,38.88999938964844
2020-02-07,38.459999084472656
2020-02-10,38.75
2020-02-11,39.220001220703125
2020-02-12,39.40999984741211
2020-02-13,39.11000061035156
2020-02-14,38.900001525878906
2020-02-18,37.90999984741211
2020-02-19,38.02999877929688
2020-02-20,37.84999847412109
2020-02-21,37.59999847412109
2020-02-24,36.2599983215332
2020-02-25,35.31999969482422
2020-02-26,35.43000030517578
2020-02-27,34.209999084472656
2020-02-28,33.880001068115234
2020-03-02,35.209999084472656
2020-03-03,35.060001373291016
2020-03-04,36.27000045776367
2020-03-05,35.36000061035156
2020-03-06,34.310001373291016
2020-03-09,30.989999771118164
2020-03-10,31.82999992370605
2020-03-11,29.6200008392334
2020-03-12,26.040000915527344
2020-03-13,27.51000022888184
2020-03-16,22.56999969482422
2020-03-17,22.46999931335449
2020-03-18,18.63999938964844
2020-03-19,18.959999084472656
2020-03-20,19.8700008392334
2020-03-23,20.18000030517578
2020-03-24,22.8700008392334
2020-03-25,23.89999961853028
2020-03-26,26.809999465942383
2020-03-27,25.36000061035156
2020-03-30,25.57999992370605
2020-03-31,26.84000015258789
2020-04-01,25.89999961853028
2020-04-02,26.25
2020-04-03,25.8700008392334
2020-04-06,27.489999771118164
2020-04-07,26.989999771118164
2020-04-08,27.59000015258789
2020-04-09,29.96999931335449
2020-04-13,29.040000915527344
2020-04-14,28.049999237060547
2020-04-15,26.100000381469727
2020-04-16,26.739999771118164
2020-04-17,27.84000015258789
2020-04-20,26.799999237060547
2020-04-21,26.25
2020-04-22,28.0
2020-04-23,27.670000076293945
2020-04-24,28.38999938964844
2020-04-27,29.65999984741211
2020-04-28,29.780000686645508
2020-04-29,31.43000030517578
2020-04-30,30.1200008392334
2020-05-01,29.3799991607666
2020-05-04,29.739999771118164
2020-05-05,28.8799991607666
2020-05-06,28.01000022888184
2020-05-07,28.82999992370605
2020-05-08,29.450000762939453
2020-05-11,28.600000381469727
2020-05-12,28.21999931335449
2020-05-13,27.76000022888184
2020-05-14,27.989999771118164
2020-05-15,27.86000061035156
2020-05-18,30.040000915527344
2020-05-19,29.32999992370605
2020-05-20,30.11000061035156
2020-05-21,29.809999465942383
2020-05-22,29.920000076293945
2020-05-26,30.84000015258789
2020-05-27,32.220001220703125
2020-05-28,32.0099983215332
2020-05-29,32.15999984741211
2020-06-01,32.79999923706055
2020-06-02,33.93000030517578
2020-06-03,35.47999954223633
2020-06-04,35.689998626708984
2020-06-05,36.83000183105469
2020-06-08,36.25
2020-06-09,35.83000183105469
2020-06-10,35.45000076293945
2020-06-11,32.59000015258789
2020-06-12,33.709999084472656
2020-06-15,34.31999969482422
2020-06-16,36.08000183105469
2020-06-17,35.560001373291016
2020-06-18,35.72999954223633
2020-06-19,34.66999816894531
2020-06-22,35.20000076293945
2020-06-23,35.5099983215332
2020-06-24,33.84000015258789
2020-06-25,34.060001373291016
2020-06-26,33.810001373291016
2020-06-29,34.47999954223633
2020-06-30,34.310001373291016
2020-07-01,34.83000183105469
2020-07-02,35.65999984741211
2020-07-06,36.22999954223633
2020-07-07,36.13999938964844
2020-07-08,35.83000183105469
2020-07-09,35.400001525878906
2020-07-10,36.52000045776367
2020-07-13,35.790000915527344
2020-07-14,37.15999984741211
2020-07-15,38.060001373291016
2020-07-16,38.16999816894531
2020-07-17,38.150001525878906
2020-07-20,38.88999938964844
2020-07-21,38.720001220703125
2020-07-22,38.79999923706055
2020-07-23,38.43999862670898
2020-07-24,38.15999984741211
2020-07-27,38.84000015258789
2020-07-28,37.59999847412109
2020-07-29,37.869998931884766
2020-07-30,37.209999084472656
2020-07-31,36.38999938964844
2020-08-03,37.59000015258789
2020-08-04,37.5
2020-08-05,38.25
2020-08-06,38.45000076293945
2020-08-07,38.790000915527344
2020-08-10,38.97999954223633
2020-08-11,39.119998931884766
2020-08-12,39.95000076293945
2020-08-13,39.58000183105469
2020-08-14,39.02000045776367
2020-08-17,39.70000076293945
2020-08-18,39.93999862670898
2020-08-19,39.84000015258789
2020-08-20,39.08000183105469
2020-08-21,38.81999969482422
2020-08-24,39.59000015258789
2020-08-25,38.560001373291016
2020-08-26,38.84999847412109
2020-08-27,38.20000076293945
2020-08-28,37.880001068115234
2020-08-31,37.09999847412109
2020-09-01,37.90999984741211
2020-09-02,37.790000915527344
2020-09-03,35.97999954223633
2020-09-04,36.470001220703125
2020-09-08,36.02999877929688
2020-09-09,37.16999816894531
2020-09-10,36.7400016784668
2020-09-11,37.380001068115234
2020-09-14,37.84000015258789
2020-09-15,38.77999877929688
2020-09-16,38.95000076293945
2020-09-17,38.70000076293945
2020-09-18,37.560001373291016
2020-09-21,35.720001220703125
2020-09-22,35.869998931884766
2020-09-23,35.13999938964844
2020-09-24,35.5099983215332
2020-09-25,36.060001373291016
2020-09-28,36.86000061035156
2020-09-29,36.459999084472656
2020-09-30,36.09000015258789
2020-10-01,36.0099983215332
2020-10-02,36.54999923706055
2020-10-05,37.54999923706055
2020-10-06,37.56999969482422
2020-10-07,39.02999877929688
2020-10-08,39.79999923706055
2020-10-09,39.52999877929688
2020-10-12,39.619998931884766
2020-10-13,38.58000183105469
2020-10-14,38.31999969482422
2020-10-15,37.869998931884766
2020-10-16,38.310001373291016
2020-10-19,37.86000061035156
2020-10-20,37.83000183105469
2020-10-21,37.560001373291016
2020-10-22,36.93000030517578
2020-10-23,37.31999969482422
2020-10-26,36.09999847412109
2020-10-27,35.36000061035156
2020-10-28,33.77000045776367
2020-10-29,35.08000183105469
2020-10-30,35.150001525878906
2020-11-02,36.77999877929688
2020-11-03,38.31999969482422
2020-11-04,36.59000015258789
2020-11-05,37.36000061035156
2020-11-06,37.93999862670898
2020-11-09,37.900001525878906
2020-11-10,39.790000915527344
2020-11-11,39.93999862670898
2020-11-12,39.08000183105469
2020-11-13,39.52999877929688
2020-11-16,40.060001373291016
2020-11-17,40.09999847412109
2020-11-18,39.959999084472656
2020-11-19,39.77999877929688
2020-11-20,39.65999984741211
2020-11-23,39.459999084472656
2020-11-24,41.869998931884766
2020-11-25,42.459999084472656
2020-11-27,40.470001220703125
2020-11-30,39.25
2020-12-01,40.380001068115234
2020-12-02,40.15999984741211
2020-12-03,41.290000915527344
2020-12-04,41.81999969482422
2020-12-07,41.369998931884766
2020-12-08,41.16999816894531
2020-12-09,40.18000030517578
2020-12-10,39.59999847412109
2020-12-11,39.58000183105469
2020-12-14,39.43000030517578
2020-12-15,40.290000915527344
2020-12-16,40.630001068115234
2020-12-17,41.61000061035156
2020-12-18,42.7599983215332
2020-12-21,41.65999984741211
2020-12-22,42.02000045776367
2020-12-23,42.119998931884766
2020-12-24,42.38999938964844
2020-12-28,42.52999877929688
2020-12-29,42.29999923706055
2020-12-30,42.81999969482422
2020-12-31,42.58000183105469
2021-01-04,42.709999084472656
2021-01-05,43.22999954223633
2021-01-06,46.650001525878906
2021-01-07,47.59999847412109
2021-01-08,47.29999923706055
2021-01-11,45.790000915527344
2021-01-12,45.959999084472656
2021-01-13,44.619998931884766
2021-01-14,44.72999954223633
2021-01-15,44.47999954223633
2021-01-19,45.0
2021-01-20,45.2599983215332
2021-01-21,44.470001220703125
2021-01-22,44.20000076293945
2021-01-25,43.220001220703125
2021-01-26,42.84000015258789
2021-01-27,41.5
2021-01-28,42.619998931884766
2021-01-29,41.13999938964844
2021-02-01,42.63999938964844
2021-02-02,43.0099983215332
2021-02-03,43.45000076293945
2021-02-04,43.34999847412109
2021-02-05,42.93000030517578
2021-02-08,43.18000030517578
2021-02-09,43.810001373291016
2021-02-10,43.61000061035156
2021-02-11,44.43999862670898
2021-02-12,45.130001068115234
2021-02-16,44.880001068115234
2021-02-17,44.22999954223633
2021-02-18,43.43000030517578
2021-02-19,44.08000183105469
2021-02-22,44.060001373291016
2021-02-23,44.310001373291016
2021-02-24,45.52000045776367
2021-02-25,44.31999969482422
2021-02-26,43.33000183105469
2021-03-01,44.52000045776367
2021-03-02,44.70000076293945
2021-03-03,45.63999938964844
2021-03-04,46.27999877929688
2021-03-05,46.52000045776367
2021-03-08,46.97999954223633
2021-03-09,47.52999877929688
2021-03-10,47.959999084472656
2021-03-11,48.25
2021-03-12,48.66999816894531
2021-03-15,48.310001373291016
2021-03-16,47.20000076293945
2021-03-17,47.04999923706055
2021-03-18,45.90999984741211
2021-03-19,45.15999984741211
2021-03-22,44.79999923706055
2021-03-23,43.88999938964844
2021-03-24,44.34000015258789
2021-03-25,45.58000183105469
2021-03-26,46.38999938964844
2021-03-29,46.310001373291016
2021-03-30,46.79999923706055
2021-03-31,46.97999954223633
2021-04-01,46.77999877929688
2021-04-05,47.66999816894531
2021-04-06,46.97999954223633
2021-04-07,47.560001373291016
2021-04-08,48.04999923706055
2021-04-09,48.75
2021-04-12,48.33000183105469
2021-04-13,48.09999847412109
2021-04-14,48.119998931884766
2021-04-15,48.04999923706055
2021-04-16,48.630001068115234
2021-04-19,48.45000076293945
2021-04-20,47.220001220703125
2021-04-21,48.02000045776367
2021-04-22,47.27000045776367
2021-04-23,47.72999954223633
2021-04-26,47.709999084472656
2021-04-27,47.380001068115234
2021-04-28,47.95000076293945
2021-04-29,48.130001068115234
2021-04-30,47.27000045776367
2021-05-03,47.7400016784668
2021-05-04,48.15999984741211
2021-05-05,50.0
