,PKG
2015-01-02,78.29000091552734
2015-01-05,77.56999969482422
2015-01-06,76.86000061035156
2015-01-07,76.77999877929688
2015-01-08,78.72000122070312
2015-01-09,78.55999755859375
2015-01-12,78.86000061035156
2015-01-13,78.80999755859375
2015-01-14,78.80000305175781
2015-01-15,79.02999877929688
2015-01-16,80.37000274658203
2015-01-20,81.2300033569336
2015-01-21,81.87999725341797
2015-01-22,82.52999877929688
2015-01-23,80.05999755859375
2015-01-26,81.55999755859375
2015-01-27,76.33000183105469
2015-01-28,76.58999633789062
2015-01-29,76.43000030517578
2015-01-30,75.8499984741211
2015-02-02,75.33999633789062
2015-02-03,75.87000274658203
2015-02-04,76.43000030517578
2015-02-05,77.55999755859375
2015-02-06,77.7699966430664
2015-02-09,77.48999786376953
2015-02-10,78.93000030517578
2015-02-11,79.20999908447266
2015-02-12,81.02999877929688
2015-02-13,82.88999938964844
2015-02-17,82.22000122070312
2015-02-18,83.62999725341797
2015-02-19,83.05000305175781
2015-02-20,83.66999816894531
2015-02-23,84.23999786376953
2015-02-24,82.88999938964844
2015-02-25,82.0999984741211
2015-02-26,82.70999908447266
2015-02-27,82.86000061035156
2015-03-02,83.05999755859375
2015-03-03,81.51000213623047
2015-03-04,80.29000091552734
2015-03-05,79.08000183105469
2015-03-06,77.83000183105469
2015-03-09,78.2300033569336
2015-03-10,77.83000183105469
2015-03-11,77.55999755859375
2015-03-12,79.58000183105469
2015-03-13,78.47000122070312
2015-03-16,78.2699966430664
2015-03-17,77.9800033569336
2015-03-18,79.66000366210938
2015-03-19,79.04000091552734
2015-03-20,80.86000061035156
2015-03-23,78.94000244140625
2015-03-24,78.75
2015-03-25,76.68000030517578
2015-03-26,77.33999633789062
2015-03-27,77.79000091552734
2015-03-30,78.8499984741211
2015-03-31,78.19000244140625
2015-04-01,76.79000091552734
2015-04-02,76.23999786376953
2015-04-06,77.23999786376953
2015-04-07,76.52999877929688
2015-04-08,78.33999633789062
2015-04-09,78.27999877929688
2015-04-10,78.75
2015-04-13,78.5
2015-04-14,76.9000015258789
2015-04-15,76.62000274658203
2015-04-16,77.16000366210938
2015-04-17,76.76000213623047
2015-04-20,77.0199966430664
2015-04-21,69.0199966430664
2015-04-22,70.68000030517578
2015-04-23,70.04000091552734
2015-04-24,70.0
2015-04-27,69.33999633789062
2015-04-28,68.31999969482422
2015-04-29,68.52999877929688
2015-04-30,69.19000244140625
2015-05-01,69.87000274658203
2015-05-04,70.16999816894531
2015-05-05,68.0199966430664
2015-05-06,69.0199966430664
2015-05-07,69.19999694824219
2015-05-08,69.91999816894531
2015-05-11,69.62999725341797
2015-05-12,68.9000015258789
2015-05-13,69.62999725341797
2015-05-14,70.69000244140625
2015-05-15,70.54000091552734
2015-05-18,70.70999908447266
2015-05-19,70.37999725341797
2015-05-20,70.91999816894531
2015-05-21,70.97000122070312
2015-05-22,70.62000274658203
2015-05-26,70.08000183105469
2015-05-27,70.62000274658203
2015-05-28,70.5
2015-05-29,69.18000030517578
2015-06-01,68.23999786376953
2015-06-02,68.20999908447266
2015-06-03,68.5
2015-06-04,68.16999816894531
2015-06-05,68.52999877929688
2015-06-08,67.80000305175781
2015-06-09,67.12000274658203
2015-06-10,67.7300033569336
2015-06-11,68.05999755859375
2015-06-12,67.66000366210938
2015-06-15,66.80000305175781
2015-06-16,67.13999938964844
2015-06-17,68.01000213623047
2015-06-18,68.51000213623047
2015-06-19,69.19999694824219
2015-06-22,66.91999816894531
2015-06-23,66.80000305175781
2015-06-24,65.88999938964844
2015-06-25,65.16999816894531
2015-06-26,63.810001373291016
2015-06-29,62.56999969482422
2015-06-30,62.4900016784668
2015-07-01,63.869998931884766
2015-07-02,63.83000183105469
2015-07-06,63.43999862670898
2015-07-07,64.13999938964844
2015-07-08,62.650001525878906
2015-07-09,62.43000030517578
2015-07-10,62.97999954223633
2015-07-13,63.88999938964844
2015-07-14,64.45999908447266
2015-07-15,63.95000076293945
2015-07-16,66.04000091552734
2015-07-17,65.4800033569336
2015-07-20,66.12000274658203
2015-07-21,65.4800033569336
2015-07-22,70.88999938964844
2015-07-23,69.68000030517578
2015-07-24,69.45999908447266
2015-07-27,69.16000366210938
2015-07-28,69.83999633789062
2015-07-29,70.80999755859375
2015-07-30,70.7300033569336
2015-07-31,70.79000091552734
2015-08-03,70.04000091552734
2015-08-04,70.31999969482422
2015-08-05,70.70999908447266
2015-08-06,70.61000061035156
2015-08-07,71.25
