,ODFL
2015-01-02,25.83666610717773
2015-01-05,25.18000030517578
2015-01-06,24.706666946411133
2015-01-07,24.57333374023437
2015-01-08,25.21999931335449
2015-01-09,24.709999084472656
2015-01-12,24.44333267211914
2015-01-13,24.44333267211914
2015-01-14,24.226667404174805
2015-01-15,24.03333282470703
2015-01-16,24.1299991607666
2015-01-20,24.24666786193848
2015-01-21,23.946666717529297
2015-01-22,24.6200008392334
2015-01-23,24.953332901000977
2015-01-26,24.75
2015-01-27,24.46666717529297
2015-01-28,24.209999084472656
2015-01-29,23.76333236694336
2015-01-30,23.37333297729492
2015-02-02,23.753332138061523
2015-02-03,24.003332138061523
2015-02-04,23.786666870117188
2015-02-05,24.55666732788086
2015-02-06,24.729999542236328
2015-02-09,24.49666786193848
2015-02-10,24.729999542236328
2015-02-11,24.84666633605957
2015-02-12,25.09666633605957
2015-02-13,25.420000076293945
2015-02-17,25.49666786193848
2015-02-18,25.63666725158692
2015-02-19,25.89999961853028
2015-02-20,25.926666259765625
2015-02-23,25.933332443237305
2015-02-24,26.1433334350586
2015-02-25,26.183332443237305
2015-02-26,26.1200008392334
2015-02-27,26.040000915527344
2015-03-02,26.453332901000977
2015-03-03,26.01000022888184
2015-03-04,25.88333320617676
2015-03-05,25.88333320617676
2015-03-06,25.83666610717773
2015-03-09,25.916667938232425
2015-03-10,25.60333251953125
2015-03-11,25.96333312988281
2015-03-12,26.13666725158692
2015-03-13,26.06333351135254
2015-03-16,26.426666259765625
2015-03-17,26.59333229064941
2015-03-18,26.793333053588867
2015-03-19,26.790000915527344
2015-03-20,26.709999084472656
2015-03-23,26.426666259765625
2015-03-24,26.059999465942383
2015-03-25,25.59333229064941
2015-03-26,25.65999984741211
2015-03-27,25.690000534057617
2015-03-30,25.82666778564453
2015-03-31,25.76666641235352
2015-04-01,25.18666648864746
2015-04-02,24.47333335876465
2015-04-06,24.13333320617676
2015-04-07,24.17333221435547
2015-04-08,23.96333312988281
2015-04-09,23.8933334350586
2015-04-10,24.046667098999023
2015-04-13,24.0
2015-04-14,24.06666755676269
2015-04-15,24.19333267211914
2015-04-16,24.33333206176757
2015-04-17,24.26000022888184
2015-04-20,24.74666786193848
2015-04-21,24.93000030517578
2015-04-22,24.83333206176757
2015-04-23,25.09666633605957
2015-04-24,24.780000686645508
2015-04-27,24.82999992370605
2015-04-28,24.96333312988281
2015-04-29,24.3799991607666
2015-04-30,23.709999084472656
2015-05-01,24.003332138061523
2015-05-04,23.956666946411133
2015-05-05,23.5
2015-05-06,23.59000015258789
2015-05-07,23.916667938232425
2015-05-08,24.1299991607666
2015-05-11,24.046667098999023
2015-05-12,24.003332138061523
2015-05-13,23.74333381652832
2015-05-14,23.61666679382324
2015-05-15,23.65333366394043
2015-05-18,24.100000381469727
2015-05-19,23.96999931335449
2015-05-20,23.59000015258789
2015-05-21,24.01333236694336
2015-05-22,23.74333381652832
2015-05-26,23.40333366394043
2015-05-27,23.86000061035156
2015-05-28,23.799999237060547
2015-05-29,22.670000076293945
2015-06-01,22.80666732788086
2015-06-02,22.5
2015-06-03,22.703332901000977
2015-06-04,22.86000061035156
2015-06-05,23.456666946411133
2015-06-08,23.040000915527344
2015-06-09,23.00666618347168
2015-06-10,23.206666946411133
2015-06-11,23.51666641235352
2015-06-12,23.420000076293945
2015-06-15,23.286666870117188
2015-06-16,23.26666641235352
2015-06-17,23.51333236694336
2015-06-18,23.81999969482422
2015-06-19,23.90333366394043
2015-06-22,23.82999992370605
2015-06-23,23.62666702270508
2015-06-24,23.1200008392334
2015-06-25,23.01000022888184
2015-06-26,22.956666946411133
2015-06-29,22.683332443237305
2015-06-30,22.8700008392334
2015-07-01,23.003332138061523
2015-07-02,22.89999961853028
2015-07-06,22.59000015258789
2015-07-07,22.58666610717773
2015-07-08,22.239999771118164
