,ITW
2015-01-02,94.68000030517578
2015-01-05,92.33999633789062
2015-01-06,91.06999969482422
2015-01-07,92.05999755859376
2015-01-08,94.27999877929688
2015-01-09,93.56999969482422
2015-01-12,93.13999938964844
2015-01-13,93.02999877929688
2015-01-14,92.83999633789062
2015-01-15,92.16999816894533
2015-01-16,93.29000091552734
2015-01-20,93.41000366210938
2015-01-21,93.7300033569336
2015-01-22,94.5999984741211
2015-01-23,93.55999755859376
2015-01-26,93.7300033569336
2015-01-27,93.45999908447266
2015-01-28,92.12000274658205
2015-01-29,93.75
2015-01-30,93.08999633789062
2015-02-02,94.91000366210938
2015-02-03,95.87000274658205
2015-02-04,95.8499984741211
2015-02-05,97.06999969482422
2015-02-06,97.08999633789062
2015-02-09,96.81999969482422
2015-02-10,97.0500030517578
2015-02-11,96.72000122070312
2015-02-12,97.77999877929688
2015-02-13,98.26000213623048
2015-02-17,98.19000244140624
2015-02-18,98.44000244140624
2015-02-19,98.43000030517578
2015-02-20,99.48999786376952
2015-02-23,99.25
2015-02-24,99.4800033569336
2015-02-25,99.76000213623048
2015-02-26,99.30999755859376
2015-02-27,98.86000061035156
2015-03-02,99.55999755859376
2015-03-03,99.66999816894533
2015-03-04,98.1999969482422
2015-03-05,99.12000274658205
2015-03-06,97.7699966430664
2015-03-09,98.69000244140624
2015-03-10,96.7300033569336
2015-03-11,96.19000244140624
2015-03-12,98.08000183105467
2015-03-13,97.66000366210938
2015-03-16,99.08000183105467
2015-03-17,98.76000213623048
2015-03-18,99.80999755859376
2015-03-19,99.37000274658205
2015-03-20,98.52999877929688
2015-03-23,97.9000015258789
2015-03-24,97.61000061035156
2015-03-25,96.5
2015-03-26,96.52999877929688
2015-03-27,96.73999786376952
2015-03-30,97.88999938964844
2015-03-31,97.13999938964844
2015-04-01,96.5199966430664
2015-04-02,96.61000061035156
2015-04-06,97.76000213623048
2015-04-07,97.94000244140624
2015-04-08,97.26000213623048
2015-04-09,97.27999877929688
2015-04-10,97.54000091552734
2015-04-13,98.04000091552734
2015-04-14,99.48999786376952
2015-04-15,99.04000091552734
2015-04-16,98.23999786376952
2015-04-17,95.87000274658205
2015-04-20,97.0199966430664
2015-04-21,94.41999816894533
2015-04-22,94.44000244140624
2015-04-23,94.70999908447266
2015-04-24,94.62999725341795
2015-04-27,94.95999908447266
2015-04-28,95.16000366210938
2015-04-29,94.52999877929688
2015-04-30,93.58000183105467
2015-05-01,95.0500030517578
2015-05-04,95.62000274658205
2015-05-05,94.77999877929688
2015-05-06,94.86000061035156
2015-05-07,95.0199966430664
2015-05-08,95.91999816894533
2015-05-11,95.77999877929688
2015-05-12,95.62000274658205
2015-05-13,95.79000091552734
2015-05-14,97.45999908447266
2015-05-15,97.12000274658205
2015-05-18,96.94000244140624
2015-05-19,96.66999816894533
2015-05-20,96.68000030517578
2015-05-21,97.51000213623048
2015-05-22,96.87999725341795
2015-05-26,95.37999725341795
2015-05-27,96.18000030517578
2015-05-28,95.54000091552734
2015-05-29,93.83000183105467
2015-06-01,93.77999877929688
2015-06-02,94.61000061035156
2015-06-03,95.08000183105467
2015-06-04,93.4499969482422
2015-06-05,93.2300033569336
2015-06-08,92.56999969482422
2015-06-09,92.7300033569336
2015-06-10,94.58999633789062
2015-06-11,94.83000183105467
2015-06-12,93.6999969482422
2015-06-15,92.62999725341795
2015-06-16,92.66000366210938
2015-06-17,92.5999984741211
2015-06-18,93.52999877929688
2015-06-19,92.86000061035156
2015-06-22,93.76000213623048
2015-06-23,93.31999969482422
2015-06-24,94.16999816894533
2015-06-25,92.91000366210938
2015-06-26,92.77999877929688
2015-06-29,91.4499969482422
2015-06-30,91.79000091552734
2015-07-01,93.43000030517578
2015-07-02,93.4000015258789
2015-07-06,93.12000274658205
2015-07-07,93.83000183105467
2015-07-08,91.93000030517578
2015-07-09,91.86000061035156
2015-07-10,92.58000183105467
2015-07-13,93.73999786376952
2015-07-14,94.04000091552734
2015-07-15,93.37000274658205
2015-07-16,93.61000061035156
2015-07-17,93.0199966430664
2015-07-20,93.45999908447266
2015-07-21,92.16000366210938
2015-07-22,89.58000183105469
2015-07-23,89.4000015258789
2015-07-24,88.2699966430664
2015-07-27,87.26000213623047
2015-07-28,88.73999786376953
2015-07-29,89.33999633789062
2015-07-30,89.27999877929688
2015-07-31,89.47000122070312
2015-08-03,88.66000366210938
2015-08-04,88.33999633789062
2015-08-05,89.58999633789062
2015-08-06,89.22000122070312
2015-08-07,89.30000305175781
2015-08-10,91.37999725341795
2015-08-11,89.22000122070312
2015-08-12,89.33999633789062
2015-08-13,89.43000030517578
2015-08-14,89.76000213623047
2015-08-17,90.04000091552734
2015-08-18,89.93000030517578
2015-08-19,88.8499984741211
2015-08-20,87.41000366210938
2015-08-21,85.22000122070312
2015-08-24,82.19000244140625
2015-08-25,80.08999633789062
2015-08-26,83.26000213623047
2015-08-27,84.81999969482422
2015-08-28,85.05999755859375
2015-08-31,84.52999877929688
2015-09-01,81.83999633789062
2015-09-02,82.69000244140625
2015-09-03,83.25
2015-09-04,81.76000213623047
2015-09-08,84.16000366210938
2015-09-09,83.55000305175781
2015-09-10,83.41000366210938
2015-09-11,83.58000183105469
2015-09-14,82.62999725341797
2015-09-15,84.45999908447266
2015-09-16,85.76000213623047
2015-09-17,85.55999755859375
2015-09-18,84.77999877929688
2015-09-21,84.2699966430664
2015-09-22,83.55000305175781
2015-09-23,83.20999908447266
2015-09-24,82.87999725341797
2015-09-25,82.43000030517578
2015-09-28,80.54000091552734
2015-09-29,81.33999633789062
2015-09-30,82.30999755859375
2015-10-01,81.55000305175781
2015-10-02,82.77999877929688
2015-10-05,85.62999725341797
2015-10-06,85.62000274658203
2015-10-07,86.37000274658203
2015-10-08,87.68000030517578
2015-10-09,87.66000366210938
2015-10-12,87.61000061035156
2015-10-13,86.52999877929688
2015-10-14,84.95999908447266
2015-10-15,85.55000305175781
2015-10-16,84.31999969482422
2015-10-19,84.05000305175781
2015-10-20,85.12999725341797
2015-10-21,85.55000305175781
2015-10-22,89.52999877929688
2015-10-23,90.58999633789062
2015-10-26,90.7300033569336
2015-10-27,90.58000183105467
2015-10-28,92.12999725341795
2015-10-29,91.91999816894533
2015-10-30,91.94000244140624
2015-11-02,93.5
2015-11-03,93.01000213623048
2015-11-04,92.93000030517578
2015-11-05,93.0999984741211
2015-11-06,92.62000274658205
2015-11-09,91.38999938964844
