date,OOS NAV
2019-12-31,1.0007173726413252
2020-01-01,1.0017005938070207
2020-01-02,0.9974400202260563
2020-01-03,0.9976776733459216
2020-01-06,0.9986609636669119
2020-01-07,0.99731064435149
2020-01-08,0.9980330244276219
2020-01-09,0.9972534310841941
2020-01-10,0.996521936769465
2020-01-13,0.9948324517473273
2020-01-14,0.9910846527739997
2020-01-15,0.989567263072153
2020-01-16,0.9892591678730364
2020-01-17,0.9880585933521869
2020-01-20,0.9887462340507961
2020-01-21,0.9884296918720057
2020-01-22,0.9896569252806628
2020-01-23,0.9868844019096578
2020-01-24,0.9870045218540782
2020-01-27,0.988263675923863
2020-01-28,0.9879275922512536
2020-01-29,0.9876580831588856
2020-01-30,0.988070941882259
2020-01-31,0.9861177399698139
2020-02-03,0.9885950052323941
2020-02-04,0.9890335460661311
2020-02-05,0.9911498084694634
2020-02-06,0.9914831512144352
2020-02-07,0.9916187859709094
2020-02-10,0.9897051540690537
2020-02-11,0.9909152886886676
2020-02-12,0.992188842080886
2020-02-13,0.9932843938115231
2020-02-14,0.9936271736980662
2020-02-17,0.9919484350449063
2020-02-18,0.9925677239518289
2020-02-19,0.9927663890778645
2020-02-20,0.9915491698739166
2020-02-21,0.9903078946686086
2020-02-24,0.9890058543050511
2020-02-25,0.9902905596699811
2020-02-26,0.9906185647269297
2020-02-27,0.9891138057059811
2020-02-28,0.9909923790320004
2020-03-02,0.9887331375889473
2020-03-03,0.9885317357061363
2020-03-04,0.9887643599053365
2020-03-05,0.9889447103671868
2020-03-06,0.986307564910964
2020-03-09,0.9888875479970489
2020-03-10,0.9880865984334316
2020-03-11,0.9862681624245913
2020-03-12,0.9865026251463892
2020-03-13,0.9852948322796147
2020-03-16,0.9837416919367311
2020-03-17,0.9833102123241386
2020-03-18,0.9836028500672068
2020-03-19,0.9820896955147933
2020-03-20,0.9833424540631484
2020-03-23,0.9812470548788401
2020-03-24,0.9793498961138016
2020-03-25,0.9790337932932044
2020-03-26,0.9807510390221157
2020-03-27,0.9814369690807601
2020-03-30,0.9811607739071216
2020-03-31,0.981880628812367
2020-04-01,0.9826143223981673
2020-04-02,0.9849131614086601
2020-04-03,0.9849849993516134
2020-04-06,0.9863218603879556
2020-04-07,0.9840770001171627
2020-04-08,0.9841744289637048
2020-04-09,0.985053458156781
2020-04-10,0.9870857591130878
2020-04-13,0.9877076412193632
2020-04-14,0.9878557430302881
2020-04-15,0.9892669173103911
2020-04-16,0.9929280405479184
2020-04-17,0.9925638089148251
2020-04-20,0.9926198929653126
2020-04-21,0.9924443955534954
2020-04-22,0.9917188276372104
2020-04-23,0.9923392122561793
