date,IC
2019-12-30,-0.0859443437773751
2020-01-06,-0.13152321409285636
2020-01-13,0.03750351001404006
2020-01-20,0.048669794679178716
2020-01-27,0.10406201624806498
2020-02-03,-0.03624763299053196
2020-02-10,-0.03054281017124068
2020-02-17,0.06280393121572486
2020-02-24,0.008102144408577634
2020-03-02,0.18632349729398917
2020-03-09,-0.013231444925779703
2020-03-16,-0.045043956175824705
2020-03-23,-0.12697375589502358
2020-03-30,0.04409950439801759
2020-04-06,-0.06074990699962799
2020-04-13,0.0629941079764319
2020-04-20,0.07462378649514598
2020-04-27,0.10439504158016631
2020-05-04,0.02223618494473978
2020-05-11,0.016779331117324464
2020-05-18,0.3920861123444494
2020-05-25,-0.026528458113832455
2020-06-01,-0.04145872583490334
2020-06-08,-0.0422874011496046
2020-06-15,0.07687653150612603
2020-06-22,0.02228255313021252
2020-06-29,0.08379527918111672
2020-07-06,0.03126290905163621
2020-07-13,0.06160459841839367
2020-07-20,0.028138480553922218
2020-07-27,0.17230936123744495
2020-08-03,-0.040583874335497344
2020-08-10,0.02130056520226081
2020-08-17,0.04051341005364022
2020-08-24,-0.04553960615842463
2020-08-31,0.0197375829503318
2020-09-07,0.12574763899055597
2020-09-14,-0.004457777831111324
2020-09-21,-0.002711146844587378
2020-09-28,-0.039759519038076147
2020-10-05,0.10815883263533053
2020-10-12,-0.03168473473893896
2020-10-19,0.11360906243624974
2020-10-26,0.08944518978075912
2020-11-02,0.03994451177804711
2020-11-09,0.08272679490717962
2020-11-16,0.0451811407245629
2020-11-23,-0.014437977751911005
2020-11-30,0.029574166296665184
2020-12-07,0.06691831567326269
2020-12-14,0.010449065796263184
2020-12-21,0.03952431809727239
2020-12-28,0.11397760791043164
2021-01-04,0.012158160632642532
2021-01-11,0.039704606818427274
2021-01-18,0.10842216168864674
2021-01-25,-0.10015163260653043
2021-02-01,-0.0819698318793275
2021-02-08,0.10329055716222862
2021-02-15,0.13569663878655513
2021-02-22,0.3646130104520418
2021-03-01,-0.11073557894231575
2021-03-08,-0.05407519230076921
2021-03-15,0.03656597026388105
2021-03-22,0.024305377221508887
2021-03-29,0.04389895959583839
2021-04-05,0.048834723338893354
2021-04-12,0.024405313621254483
2021-04-19,0.07879874719498878
2021-04-26,0.29062282649130594
2021-05-03,-0.12201072804291216
2021-05-10,0.2423861855447422
2021-05-17,0.27725448501794003
2021-05-24,0.20313556454225815
2021-05-31,0.431748862995452
2021-06-07,0.11032565730262921
2021-06-14,0.20466149064596256
2021-06-21,0.2528239232956932
2021-06-28,0.239938463753855
2021-07-05,0.23598785595142377
2021-07-12,-0.2161771207084828
2021-07-19,0.040834723338893354
2021-07-26,-0.24620527282109128
2021-08-02,-0.22632762531050124
2021-08-09,0.19947190188760752
2021-08-16,-0.17679123516494066
2021-08-23,0.1513256933027732
2021-08-30,0.16309236436945745
2021-09-06,0.36710854043416175
2021-09-13,-0.06433331333325333
2021-09-20,-0.29353115812463243
2021-09-27,-0.2039679838719355
2021-10-04,-0.1909318037272149
2021-10-11,0.23295731582926327
2021-10-18,-0.2794815019260076
2021-10-25,0.2299526958107832
2021-11-01,0.08670975483901935
2021-11-08,0.2199836319345277
2021-11-15,0.33220337681350726
2021-11-22,-0.04030940923763695
2021-11-29,0.4058453673814695
2021-12-06,0.0006957147828591313
2021-12-13,0.1369317797271189
2021-12-20,0.05434821739286956
2021-12-27,0.14328604514418056
2022-01-03,0.07904508418033672
2022-01-10,0.03792082368329473
2022-01-17,0.24152995811983247
2022-01-24,-0.41431932127728505
2022-01-31,0.03017090468361873
2022-02-07,-0.0028519794079176312
2022-02-14,0.0012096048384193537
2022-02-21,0.21171819087276347
2022-02-28,0.12421566486265945
2022-03-07,0.17767357469429876
2022-03-14,-0.005694262777051109
2022-03-21,-0.07218009672038687
2022-03-28,0.1287998751995008
2022-04-04,0.21313179652718608
2022-04-11,0.5077208788835155
2022-04-18,0.19150348601394404
2022-04-25,0.021005460021840085
2022-05-02,0.3213321013284053
