date,return
2019-12-31,-0.0010734918201087558
2020-01-01,0.0004791095727840031
2020-01-02,0.0006691549123146044
2020-01-03,-0.00015916983201221771
2020-01-06,-0.0014821975569027613
2020-01-07,-0.003191686097601777
2020-01-08,0.0014347543950566461
2020-01-09,-0.0029938774819321073
2020-01-10,0.00016832048922381967
2020-01-13,-0.0008716023906229051
2020-01-14,0.00048778613322891166
2020-01-15,0.002778088241524519
2020-01-16,6.283379669467842e-05
2020-01-17,0.0010382803378496926
2020-01-20,0.0020832679373522004
2020-01-21,-0.004122450260021785
2020-01-22,-0.001152507109734806
2020-01-23,0.0007414762060899431
2020-01-24,0.0007547589816448828
2020-01-27,0.0003991281965001394
2020-01-28,-0.0028002687250449866
2020-01-29,-0.0007151167918432089
2020-01-30,0.0014689783842836198
2020-01-31,8.777330025231712e-06
2020-02-03,-0.0008019818751969121
2020-02-04,-0.0007672396819198059
2020-02-05,-4.359988698483721e-05
2020-02-06,-0.0014785045607042372
2020-02-07,-0.0011328200371239971
2020-02-10,0.0025378672951823127
2020-02-11,0.0010272516327875948
2020-02-12,-0.0008416958626157993
2020-02-13,0.0009542888699841471
2020-02-14,-2.8081808804644845e-05
2020-02-17,0.0016659576571315387
2020-02-18,6.852451116427815e-05
2020-02-19,0.0014411539087772754
2020-02-20,-0.0031827922706732974
2020-02-21,-0.0020591010392321803
2020-02-24,-0.0007751467577919858
2020-02-25,-0.0014908847416995315
2020-02-26,-0.001643652694402093
2020-02-27,-0.0017702610280250725
2020-02-28,0.00027890523937223284
2020-03-02,-0.0015737708562642448
2020-03-03,-0.0028869593889867136
2020-03-04,0.0009161038401296155
2020-03-05,-7.75231125481709e-06
2020-03-06,0.00032644704920097327
2020-03-09,-0.001023785746822405
2020-03-10,-0.0032684282013336267
2020-03-11,-0.00046492107178569705
2020-03-12,-0.0013252903590636484
2020-03-13,9.572688192221719e-05
2020-03-16,-0.0017888638201852798
2020-03-17,-0.0024300495813450937
2020-03-18,0.0022289406047004776
2020-03-19,-0.0007140729994838658
2020-03-20,0.0005688624837480365
2020-03-23,-0.002288534763055535
2020-03-24,-0.003733027495518032
2020-03-25,0.0005406730744883658
2020-03-26,-0.004633602269053786
2020-03-27,-0.0013809423126623895
2020-03-30,1.4210141801588227e-05
2020-03-31,0.00022607742987127994
2020-04-01,-0.0019497018259224618
2020-04-02,-0.000969240119189508
2020-04-03,-0.0005379638005163043
2020-04-06,0.000544114061460159
2020-04-07,-0.0009384826328981716
2020-04-08,-0.0035254272801544862
2020-04-09,0.0018561194544697154
2020-04-10,0.0009928999778106725
2020-04-13,-0.0031096057813645587
2020-04-14,-0.00019063456241956022
2020-04-15,0.0012988427160748842
2020-04-16,-0.0007822693959935437
2020-04-17,-0.0025836579436326022
2020-04-20,0.0003413689122028354
2020-04-21,0.0003915545312970731
2020-04-22,-0.00035491331540116644
2020-04-23,-0.0008977994114802982
2020-04-24,0.0003346904383550867
2020-04-27,-0.0004264236216518447
2020-04-28,0.000285337242606857
2020-04-29,-0.0016008006841959203
2020-04-30,0.0004490619749364336
2020-05-01,0.0007959108392019414
2020-05-04,-0.0015727753012630221
2020-05-05,-0.0006769005688285466
2020-05-06,-0.002000121284132588
2020-05-07,-0.0007103622476883173
2020-05-08,0.0008742133773824694
2020-05-11,-0.0016692251584194393
2020-05-12,-0.0001956557151259811
2020-05-13,0.0027416621949418224
2020-05-14,-0.002443062086176182
2020-05-15,0.0018955647909791535
2020-05-18,0.0014009500363056822
2020-05-19,-4.691043920619317e-05
2020-05-20,0.0008828480887577166
2020-05-21,0.0026843816568694716
2020-05-22,0.0007286764660331608
2020-05-25,-0.0001434926990419573
2020-05-26,-0.0025512585177793123
2020-05-27,-0.002654298791679677
2020-05-28,0.00024154587167954952
2020-05-29,0.0007387518349412537
2020-06-01,0.002716334468342535
2020-06-02,-7.565974653797039e-05
2020-06-03,0.00018396348988253676
2020-06-04,0.0012048662100890438
2020-06-05,-0.0019473763271000346
2020-06-08,0.0021786230930473938
2020-06-09,-0.004260344296608511
2020-06-10,3.7123666227531276e-05
2020-06-11,0.0012085756650988524
2020-06-12,-0.0010037889638818652
2020-06-15,0.00011500060702617952
2020-06-16,-0.0010260280810525824
2020-06-17,0.002358019330452674
2020-06-18,0.002548890940390271
2020-06-19,-0.0020250681911954745
2020-06-22,-0.0001425090843593243
2020-06-23,-0.0014147080177568886
2020-06-24,-0.003736998254043708
2020-06-25,-0.0023761927918372313
2020-06-26,-0.0003764796213947788
2020-06-29,0.0029876734988599565
2020-06-30,-0.00026100881779591635
2020-07-01,-0.00044490257677319523
2020-07-02,-0.0002760656390074067
2020-07-03,-0.001352239092061839
2020-07-06,0.0014862299371599561
2020-07-07,-0.003505667037293883
2020-07-08,0.0005649896239538982
2020-07-09,-0.002196734879777351
2020-07-10,-0.000570553228585172
2020-07-13,0.0009097382989693186
2020-07-14,-0.0024438325851685013
2020-07-15,0.0011674976888602165
2020-07-16,-0.0008398534355398635
2020-07-17,0.0018321002839842412
2020-07-20,-0.0016419478378292755
2020-07-21,-0.004582001687136987
2020-07-22,0.003783008993473006
2020-07-23,-0.002015009199712966
2020-07-24,0.0021838970137753014
2020-07-27,0.0010490836935391852
2020-07-28,-0.00034388233080795915
2020-07-29,-9.083383332361027e-05
2020-07-30,-0.0031470321172702162
2020-07-31,0.00043131628452266406
2020-08-03,-0.0004996797098112193
2020-08-04,-0.001540510122012363
2020-08-05,0.0010856778054034485
2020-08-06,0.0002493626343792703
2020-08-07,-0.0022854670193241233
2020-08-10,0.0011870374784255621
2020-08-11,-1.3134793416069972e-05
2020-08-12,0.00045345122880511733
2020-08-13,-0.0027319142037232212
2020-08-14,-0.0009926807491071558
2020-08-17,-0.0012373036379652413
2020-08-18,-0.0004584860675927245
2020-08-19,0.0006453106421775737
2020-08-20,0.001712536037290132
2020-08-21,0.0013244499143527852
2020-08-24,-0.0017700196068426977
2020-08-25,0.0008732140667109573
2020-08-26,-0.0014693624292130376
2020-08-27,0.0003786129033627864
2020-08-28,-0.0008499440402575954
2020-08-31,0.0025747163279623343
2020-09-01,-0.0015997904773467847
2020-09-02,-0.0005053049351271854
2020-09-03,0.0023169630822212042
2020-09-04,0.0018534498624443185
2020-09-07,-0.00018676690126702682
2020-09-08,-0.0001656952472040773
2020-09-09,0.0005644987939287712
2020-09-10,0.0005233559791042192
2020-09-11,-0.0009787944597183722
2020-09-14,0.001736511509510989
2020-09-15,-0.0020019772764132623
2020-09-16,-0.0014512822515252756
2020-09-17,0.0005874385665432714
2020-09-18,-5.527679373494305e-05
2020-09-21,-0.001137924325665229
2020-09-22,0.0012149324994245637
2020-09-23,0.001663369066366899
2020-09-24,-0.00037761971941538386
2020-09-25,-0.001055560053073551
2020-09-28,0.0019209845785447203
2020-09-29,0.0009286205611858051
2020-09-30,-0.0033668878464680426
2020-10-01,-0.002106923944636552
2020-10-02,-0.0013712816273572354
2020-10-05,-0.00031084326033366407
2020-10-06,0.0007497363595896931
2020-10-07,-0.0006922668673845385
2020-10-08,-0.00075168662617056
2020-10-09,0.000663826141154552
2020-10-12,-0.00234675942131709
2020-10-13,-0.002800430522571114
2020-10-14,0.0008354839750049389
2020-10-15,-0.001562767452210568
2020-10-16,-0.0018705236053801404
2020-10-19,0.00038877111170649333
2020-10-20,-0.0014816582231131747
2020-10-21,0.0021612813023828494
2020-10-22,-0.0005867941463558936
2020-10-23,-0.0015471953941945229
2020-10-26,-0.0003217212067883413
2020-10-27,0.00043972355598046733
2020-10-28,-0.0013755583307857935
2020-10-29,-0.0003076913430650239
2020-10-30,0.000920821456871249
2020-11-02,-0.0007190156011544873
2020-11-03,-0.00022736259678868536
2020-11-04,0.001325824550259223
2020-11-05,-1.5605871725925626e-06
2020-11-06,0.0006924300222402898
2020-11-09,-0.0017314169980958637
2020-11-10,-0.0019690380970339267
2020-11-11,-0.0013381488623124933
