date,NAV
2019-12-31,0.9976755417321911
2020-01-01,0.9977725167104717
2020-01-02,0.994861993802633
2020-01-03,0.9949862716318902
2020-01-06,0.9943408172328491
2020-01-07,0.9938438992053754
2020-01-08,0.9938848343098036
2020-01-09,0.9939085047919751
2020-01-10,0.9939229050134883
2020-01-13,0.9925684301935837
2020-01-14,0.988030102829553
2020-01-15,0.9863729158159613
2020-01-16,0.9848864744681478
2020-01-17,0.9834777931843702
2020-01-20,0.9836773796867306
2020-01-21,0.984235874836638
2020-01-22,0.9862591634804332
2020-01-23,0.9842683215606207
2020-01-24,0.9832148854348537
2020-01-27,0.9850896728946539
2020-01-28,0.9852155468149635
2020-01-29,0.9845483041014115
2020-01-30,0.9848492998693161
2020-01-31,0.9839153346265295
2020-02-03,0.9863426786556477
2020-02-04,0.9867459457443928
2020-02-05,0.9889780956492193
2020-02-06,0.9894498219754091
2020-02-07,0.9892351438198848
2020-02-10,0.9874521425914661
2020-02-11,0.9875458936219738
2020-02-12,0.987954178980671
2020-02-13,0.9881193923794743
2020-02-14,0.9883422387499973
2020-02-17,0.987106974411006
2020-02-18,0.988104480815586
2020-02-19,0.987168837522282
2020-02-20,0.9858762261730676
2020-02-21,0.9843293753066433
2020-02-24,0.9832160532028945
2020-02-25,0.9845635327331874
2020-02-26,0.9846745507358247
2020-02-27,0.9826896424144683
2020-02-28,0.9837433530830302
2020-03-02,0.9816404843333483
2020-03-03,0.9811678814221275
2020-03-04,0.9809500628618142
2020-03-05,0.9817607943047075
2020-03-06,0.9793713046242011
2020-03-09,0.9812801258315632
2020-03-10,0.9813336082995959
2020-03-11,0.9815889340147398
2020-03-12,0.9822899190667266
2020-03-13,0.9817032634937432
2020-03-16,0.9799222042350537
2020-03-17,0.9801914804007493
2020-03-18,0.9795333912424682
2020-03-19,0.9784573733613295
2020-03-20,0.9805668648262966
2020-03-23,0.98217951622432
2020-03-24,0.9802260053084688
2020-03-25,0.9798952021125052
2020-03-26,0.9822118942424924
2020-03-27,0.9831283310268946
2020-03-30,0.9820319384007047
2020-03-31,0.9820051664477717
2020-04-01,0.9819649114544916
2020-04-02,0.9855286267153227
2020-04-03,0.984404491475714
2020-04-06,0.9860526092408173
2020-04-07,0.9843315689987768
2020-04-08,0.984394606981538
2020-04-09,0.9858536621448798
2020-04-10,0.9871057466830306
2020-04-13,0.987739995228265
2020-04-14,0.9883136195427039
2020-04-15,0.9898636244707557
2020-04-16,0.993453847631584
2020-04-17,0.9926518111463719
2020-04-20,0.9924466903194832
2020-04-21,0.991934536546654
2020-04-22,0.9918419092605456
2020-04-23,0.9922936380049517
2020-04-24,0.9945028185876947
2020-04-27,0.9953156165520084
2020-04-28,0.9978990954045875
2020-04-29,0.9952579397324449
2020-04-30,0.9954769682083394
2020-05-01,0.9956763683404135
2020-05-04,0.9955016980394245
2020-05-05,0.9959970666555623
2020-05-06,0.9941869432602087
2020-05-07,0.9951856471798596
2020-05-08,0.9931324941517723
2020-05-11,0.9930793824058659
2020-05-12,0.994512912725395
2020-05-13,0.9927755392832389
2020-05-14,0.9960822905490088
2020-05-15,0.9963406899853712
2020-05-18,0.9929005066210594
2020-05-19,0.9924061376442415
2020-05-20,0.9928483299086335
2020-05-21,0.9943450364336123
2020-05-22,0.9963547435959712
2020-05-25,0.9962962737148683
2020-05-26,0.9957431156442672
2020-05-27,0.9956484744546894
2020-05-28,0.9959269152589827
2020-05-29,0.9952410569545633
2020-06-01,0.9943371247141379
2020-06-02,0.9949276533842286
2020-06-03,0.9962567525586407
2020-06-04,0.9950788552296042
2020-06-05,0.996573941496927
2020-06-08,0.9972467588832538
2020-06-09,0.9976223698757182
2020-06-10,0.9994179848925595
2020-06-11,0.9975536222070263
2020-06-12,0.9969069372936563
2020-06-15,0.9968910924845172
2020-06-16,0.9967837175382765
2020-06-17,0.9956528632544688
2020-06-18,0.9964898644661709
2020-06-19,0.9959069219771215
2020-06-22,0.9961525769111629
2020-06-23,0.9957904772496393
2020-06-24,0.9953505424895162
2020-06-25,0.9951146271413456
2020-06-26,0.9955780597114116
2020-06-29,0.9945484190777311
2020-06-30,0.9933340427566736
2020-07-01,0.993044597058693
2020-07-02,0.9930319627731214
2020-07-03,0.9918370718435725
2020-07-06,0.9916471694217163
2020-07-07,0.9931661440113372
2020-07-08,0.9950301537273785
2020-07-09,0.9942484553095143
2020-07-10,0.9966183682589699
2020-07-13,0.9953052124501539
2020-07-14,0.9953523364167676
2020-07-15,0.9949464528726851
2020-07-16,0.9953512319835416
2020-07-17,0.997969028562683
2020-07-20,0.9954918978752135
2020-07-21,0.9985911159265126
2020-07-22,1.0004742767730757
2020-07-23,1.001649286465634
2020-07-24,1.002093633851049
2020-07-27,1.0007646636571743
2020-07-28,1.0005375958384082
2020-07-29,0.999830472537002
2020-07-30,1.0005230521375352
2020-07-31,0.9981738968977689
2020-08-03,0.9991420275877726
2020-08-04,0.9998170691329907
2020-08-05,0.9994818823853088
2020-08-06,0.9988398677917637
2020-08-07,1.0023432448133758
2020-08-10,1.0005374669841471
2020-08-11,1.00048730888859
2020-08-12,1.0018731250497366
2020-08-13,1.0009814109009332
2020-08-14,1.0001604104458104
2020-08-17,1.0013671889588438
2020-08-18,0.9996619482585648
2020-08-19,0.9997739706629738
2020-08-20,1.0013530930617995
2020-08-21,1.0012525276441497
2020-08-24,0.9999308269402737
2020-08-25,0.9992855890693559
2020-08-26,0.9992837164387318
2020-08-27,0.9987507211068424
2020-08-28,0.9976150131827967
2020-08-31,0.9987150199995912
2020-09-01,0.9998886957674621
2020-09-02,0.9993008994179315
2020-09-03,0.9973271123684515
2020-09-04,0.999239490856662
2020-09-07,0.9996644002715113
2020-09-08,1.0011110649885215
2020-09-09,0.99815603897388
2020-09-10,0.9994481001674322
2020-09-11,0.9993122415672429
2020-09-14,1.0001233188858019
2020-09-15,1.0020560546230202
2020-09-16,1.0030417134863137
2020-09-17,1.0032835285618347
2020-09-18,1.0075393592525583
2020-09-21,1.006354626804089
2020-09-22,1.005897642000149
2020-09-23,1.0071197146176707
2020-09-24,1.007024112174729
2020-09-25,1.0056712748643977
2020-09-28,1.009499461670303
2020-09-29,1.0099377349333671
2020-09-30,1.011044430439137
2020-10-01,1.0120721959725734
2020-10-02,1.0135712393401777
2020-10-05,1.0142540967177052
2020-10-06,1.0149180994682456
2020-10-07,1.0162451759522215
2020-10-08,1.0191833353366224
2020-10-09,1.018873416825274
2020-10-12,1.0172614223623002
2020-10-13,1.0178101373589488
2020-10-14,1.0190293132422816
2020-10-15,1.0183732300913602
2020-10-16,1.018435577991135
2020-10-19,1.0197509086667293
2020-10-20,1.016957440124178
2020-10-21,1.0155010491031657
2020-10-22,1.0153468277475535
2020-10-23,1.0170497732538513
2020-10-26,1.0171100207327584
2020-10-27,1.0155250950980157
2020-10-28,1.0139509432156237
2020-10-29,1.0131138843860972
2020-10-30,1.0139924485548786
2020-11-02,1.0153536649031776
2020-11-03,1.0122259582340256
2020-11-04,1.0131025321149743
2020-11-05,1.015006716877253
2020-11-06,1.0157111740629206
2020-11-09,1.017585703799958
2020-11-10,1.0160568316710588
2020-11-11,1.0150787197417894
2020-11-12,1.0157277457953042
2020-11-13,1.015802491041123
2020-11-16,1.0172401948495604
2020-11-17,1.017416321458144
2020-11-18,1.016207179122075
2020-11-19,1.0154303173296229
2020-11-20,1.0156950129274567
2020-11-23,1.016553522832546
2020-11-24,1.018421869405108
2020-11-25,1.0214426394138942
2020-11-26,1.0219799897385797
2020-11-27,1.022669345017784
2020-11-30,1.0251483269602337
2020-12-01,1.0221232876998192
2020-12-02,1.0216650298742607
2020-12-03,1.0210001334095389
2020-12-04,1.020828348694221
2020-12-07,1.021242570979034
2020-12-08,1.0210199477088986
2020-12-09,1.022894840672926
2020-12-10,1.02347615768009
2020-12-11,1.0233576606464398
2020-12-14,1.025346714671048
2020-12-15,1.0252788210394874
2020-12-16,1.02493869163916
2020-12-17,1.0267854993335928
2020-12-18,1.0270450536667526
2020-12-21,1.026823727137926
2020-12-22,1.0296927144820254
2020-12-23,1.0307221459337432
2020-12-24,1.0322663171028204
2020-12-25,1.033569596560172
2020-12-28,1.0327813945737012
2020-12-29,1.0323345598501588
2020-12-30,1.0342851449362547
2020-12-31,1.0340511649112252
2021-01-01,1.0342672646695636
2021-01-04,1.0330639717951253
2021-01-05,1.0333764564834054
2021-01-06,1.0349483323691495
2021-01-07,1.0338176672453723
2021-01-08,1.0329940850514576
2021-01-11,1.0309169901513577
2021-01-12,1.027692517903636
2021-01-13,1.028836748089109
2021-01-14,1.0302647106960299
2021-01-15,1.0315984187541178
2021-01-18,1.0354055471981243
2021-01-19,1.0359584986174568
2021-01-20,1.0331045225923874
2021-01-21,1.0313696007203357
2021-01-22,1.034030423883596
2021-01-25,1.0362686566915746
2021-01-26,1.0349548899757444
2021-01-27,1.035618754244036
2021-01-28,1.0344985755924947
2021-01-29,1.034782318527081
2021-02-01,1.0322576165207364
2021-02-02,1.0328105586988878
2021-02-03,1.0337119460746649
2021-02-04,1.0353966198616733
2021-02-05,1.0330216183848617
2021-02-08,1.03553533537348
2021-02-09,1.035444162211738
2021-02-10,1.0358498677446857
2021-02-11,1.0350828057645494
2021-02-12,1.0349361394857948
2021-02-15,1.0386477880760043
2021-02-16,1.0387907940526537
2021-02-17,1.0383776631989485
2021-02-18,1.0365376274410267
2021-02-19,1.0388477124564688
2021-02-22,1.0404452323140116
2021-02-23,1.036674997861356
2021-02-24,1.0371021541089773
2021-02-25,1.0366211459011327
2021-02-26,1.0358883192817785
2021-03-01,1.034976967144219
2021-03-02,1.0330929871707668
